Node,Label
YNR066C,ORF-U
YGR062C,ORF-V
YGL068W,ORF-V
YNL003C,ORF-V
YBR230C,ORF-V
YGL123W,ORF-V
YOR096W,ORF-V
YOL036W,ORF-U
YKL181W,ORF-V
YFR025C,ORF-V
YHR204W,ORF-V
YDL170W,ORF-V
YLR366W,ORF-DU
YJL054W,ORF-V
YLR189C,ORF-V
YGL241W,ORF-V
YCRCDELTA6,LTR
YKR092C,ORF-V
YGL026C,ORF-V
YMR234W,ORF-V
YJR097W,ORF-V
YDR154C,ORF-DU
YER089C,ORF-V
YLRWTY2-1,LTR
YJR080C,ORF-V
TR(UCU)M2,tRNA gene
YOLCDELTA1,LTR
YOR311C,ORF-V
YJL199C,ORF-V
YOR025W,ORF-V
YBL101C,ORF-V
YNL134C,ORF-V
YPR152C,ORF-V
YNL239W,ORF-V
YLR050C,ORF-V
YJL028W,ORF-V
YMR127C,ORF-V
YPR055W,ORF-V
YBR147W,ORF-V
YOL042W,ORF-V
YFL028C,ORF-V
YPR111W,ORF-V
YLL005C,ORF-V
YEL022W,ORF-V
YDR446W,ORF-V
YBR267W,ORF-V
YOR321W,ORF-V
YALCDELTA2,LTR
YLL053C,ORF-U
YLR033W,ORF-V
YFR029W,ORF-V
YPR030W,ORF-V
YNL242W,ORF-V
YNR043W,ORF-V
YOR109W,ORF-V
YBL051C,ORF-V
YNL230C,ORF-V
YORCDELTA21,LTR
YIL139C,ORF-V
YMR289W,ORF-V
YLR205C,ORF-V
YDR263C,ORF-V
YDL197C,ORF-V
YNL259C,ORF-V
YPL116W,ORF-V
YLRWDELTA17,LTR
YIL050W,ORF-V
YNRWSIGMA4,LTR
YBR081C,ORF-V
YORWDELTA13,LTR
TE(UUC)L,tRNA gene
YNL175C,ORF-V
YMR021C,ORF-V
YPL041C,ORF-U
YLL035W,ORF-V
YMR116C,ORF-V
YBR189W,ORF-V
YLRWSIGMA3,LTR
YOR219C,ORF-V
YHR084W,ORF-V
YPL030W,ORF-V
YGL199C,ORF-DU
YHL014C,ORF-V
YER066W,ORF-U
YEL051W,ORF-V
YOL055C,ORF-V
YHR156C,ORF-V
YAL069W,ORF-DU
YGR094W,ORF-V
YER095W,ORF-V
YCR033W,ORF-V
YORCTY2-1,LTR
YLR116W,ORF-V
YNL281W,ORF-V
YGR155W,ORF-V
YCL042W,ORF-U
YKL103C,ORF-V
YJL122W,ORF-V
YER180C,ORF-V
YOR250C,ORF-V
YIL010W,ORF-V
YML117W,ORF-V
YOR365C,ORF-U
YDR514C,ORF-V
YDRCSIGMA2,LTR
YDR482C,ORF-V
YOR203W,ORF-DU
YMR103C,ORF-U
YLR138W,ORF-V
YGLWDELTA6,LTR
YGR001C,ORF-V
YMR156C,ORF-V
YGR137W,ORF-DU
YLR029C,ORF-V
YDR527W,ORF-V
YPLCTY4-1,LTR
YHRWTAU3,LTR
YGR287C,ORF-V
YMR250W,ORF-V
YBR040W,ORF-V
YGL075C,ORF-V
YGL230C,ORF-U
YLR141W,ORF-V
YJR009C,ORF-V
YDL056W,ORF-V
YLR441C,ORF-V
TN(GUU)K,tRNA gene
YNLCDELTA2,LTR
YAL044C,ORF-V
YGL128C,ORF-V
YMR322C,ORF-V
YDL144C,ORF-V
YJL146W,ORF-V
YJL136C,ORF-V
YBL088C,ORF-V
YLRCDELTA27,LTR
YER131W,ORF-V
YML010W,ORF-V
YOR264W,ORF-V
YHR008C,ORF-V
YOR309C,ORF-DU
YPLCDELTA10,LTR
YGR198W,ORF-V
YELCTAU1,LTR
YKL169C,ORF-DU
YBR088C,ORF-V
YKR007W,ORF-V
YIL027C,ORF-V
YHR060W,ORF-V
YORWTY2-2,LTR
YDR136C,ORF-DU
YBL005W,ORF-V
YPRCTAU3,LTR
YKL074C,ORF-V
YNL061W,ORF-V
YML123C,ORF-V
YDR109C,ORF-V
YBL002W,ORF-V
YDR523C,ORF-V
YKL162C,ORF-U
YOL103W,ORF-V
YPR165W,ORF-V
YJL210W,ORF-V
YPRCDELTA19,LTR
YPR102C,ORF-V
YLR181C,ORF-V
YHL012W,ORF-U
YBL108W,ORF-DU
YHR110W,ORF-V
YGR028W,ORF-V
YDR103W,ORF-V
YJL154C,ORF-V
YBR188C,ORF-V
YHR033W,ORF-U
YFR010W,ORF-V
YEL024W,ORF-V
YKR082W,ORF-V
YAL045C,ORF-DU
YPL151C,ORF-V
YLR121C,ORF-V
YLR169W,ORF-DU
YFL056C,pseudogene
YORWDELTA17,LTR
YBR155W,ORF-V
YOR190W,ORF-V
YMR260C,ORF-V
YDR164C,ORF-V
YIR014W,ORF-V
YHR130C,ORF-U
YKR027W,ORF-V
YDR332W,ORF-V
YOR076C,ORF-V
YLR180W,ORF-V
YNR021W,ORF-U
YHR018C,ORF-V
YCR005C,ORF-V
YIL137C,ORF-V
YDL173W,ORF-V
YBR297W,ORF-V
YMR179W,ORF-V
YPL183C,ORF-V
YOR088W,ORF-M
YCRWDELTA10,LTR
YIR024C,ORF-V
YCR006C,ORF-U
YOR292C,ORF-U
YHLCOMEGA1,LTR
YCR061W,ORF-V
YPL112C,ORF-V
YIL079C,ORF-V
YGR003W,ORF-V
YIL066w-a,ORF-DU
YBR029C,ORF-V
YBR200W,ORF-V
YGR145W,ORF-V
YHR051W,ORF-V
YML016C,ORF-V
YHL020C,ORF-V
YGRWDELTA28,LTR
YDR214W,ORF-V
YGR167W,ORF-V
YOR353C,ORF-V
YGL147C,ORF-V
YCR079W,ORF-V
YDR505C,ORF-V
YOL147C,ORF-V
YER159C,ORF-V
YERWDELTA18,LTR
YNL005C,ORF-V
YPL066W,ORF-V
YMR220W,ORF-V
YJR147W,ORF-V
YIR010W,ORF-V
YFL067W,ORF-U
YJL207C,ORF-V
YHR097C,ORF-V
YDR387C,ORF-U
YLR453C,ORF-V
YJL150W,ORF-DU
YPLCTAU2,LTR
YKR010C,ORF-V
YORWDELTA12,LTR
YMR135C,ORF-V
YGL085W,ORF-U
YNR058W,ORF-V
YJR067C,ORF-V
YMR102C,ORF-U
YNR069C,ORF-V
YDR322W,ORF-V
YIL002C,ORF-V
YPL258C,ORF-V
TG(GCC)P1,tRNA gene
YCR043C,ORF-U
YCR018C-A,ORF-DU
YML036W,ORF-V
YDR085C,ORF-V
YDL015C,ORF-V
YDL216C,ORF-V
YGR210C,ORF-U
YKL085W,ORF-V
YOL058W,ORF-V
YDR053W,ORF-DU
YGLWOMEGA1,LTR
YJR010W,ORF-V
YDL047W,ORF-V
YERCDELTA14,LTR
YJR121W,ORF-V
YOR021C,ORF-V
YPL105C,ORF-V
YPR045C,ORF-V
YDR404C,ORF-V
YDR509W,ORF-DU
YER087W,ORF-V
YKR068C,ORF-V
YDR389W,ORF-V
YIL073C,ORF-V
YPRWSIGMA3,LTR
TR(UCU)K,tRNA gene
YOR090C,ORF-V
YOR172W,ORF-V
YHR149C,ORF-V
YOR322C,ORF-V
YOR297C,ORF-V
YBL099W,ORF-V
YKL118W,ORF-DU
YMR276W,ORF-V
YOR037W,ORF-V
YIL054W,ORF-U
YAR008W,ORF-V
YNL229C,ORF-V
YNL145W,ORF-V
YDRCTY1-2,LTR
YDR082W,ORF-V
YJLCDELTA5,LTR
YDL109C,ORF-U
YOR299W,ORF-V
YLR291C,ORF-V
YPR096C,ORF-V
YDR229W,ORF-V
YMR004W,ORF-V
YDL205C,ORF-V
YPL071C,ORF-U
YNL030W,ORF-V
YBR293W,ORF-V
YMR022W,ORF-V
YGR065C,ORF-V
YDR432W,ORF-V
YOL154W,ORF-V
YPL175W,ORF-V
YBL035C,ORF-V
YLR439W,ORF-V
TD(GUC)J1,tRNA gene
YDR365C,ORF-V
YHR064C,ORF-V
YPL015C,ORF-V
YBL058W,ORF-V
YPL029W,ORF-V
YKL006W,ORF-V
YAL005C,ORF-V
YMR184W,ORF-V
YMR142C,ORF-V
YIL163C,ORF-U
YHR070W,ORF-V
YGR139W,ORF-DU
YDL146W,ORF-V
YLR457C,ORF-V
YGL109W,ORF-DU
YJR110W,ORF-V
YMR154C,ORF-V
YGL143C,ORF-V
YGR122C-A,ORF-DU
YDL059C,ORF-V
YKL102C,ORF-U
YFL007W,ORF-V
YKL088W,ORF-V
YER141W,ORF-V
YKR101W,ORF-V
YFLWDELTA4,LTR
YDR098C,ORF-V
YLR079W,ORF-V
YDR019C,ORF-V
YGR286C,ORF-V
YER029C,ORF-V
YMR316C-A,ORF-U
YFL030W,ORF-V
YHR089C,ORF-V
YGRWDELTA21,LTR
YJL025W,ORF-V
YGL104C,ORF-V
YDR493W,ORF-V
YJL138C,ORF-V
TS(AGA)J,tRNA gene
TS(UGA)P,tRNA gene
YOR117W,ORF-V
YHR150W,ORF-V
SNR56,snoRNA gene
YHR026W,ORF-V
YGL082W,ORF-U
YLR361C,ORF-V
YIL066C,ORF-V
YLR001C,ORF-U
YKL156W,ORF-V
YPL227C,ORF-V
YJLWDELTA16,LTR
YOR209C,ORF-V
YDL193W,ORF-V
YOR072W,ORF-U
YML095C,ORF-V
YLR360W,ORF-V
YGR022C,ORF-DU
YDR383C,ORF-V
YMR015C,ORF-V
YMLWDELTA4,LTR
YBR300C,ORF-DU
YOR235W,ORF-U
YPL257W,ORF-U
YNL322C,ORF-V
YML010W-A,ORF-DU
YDL106C,ORF-V
TL(GAG)G,tRNA gene
YLR183C,ORF-V
YDR516C,ORF-V
YGL258W,ORF-V
YPL214C,ORF-V
YAR019C,ORF-V
YDR327W,ORF-DU
YOL143C,ORF-V
YDR339C,ORF-V
YCL052C,ORF-V
YCR020W-B,ORF-V
YHL030w-a,ORF-DU
YDR370C,ORF-V
YDR121W,ORF-V
YBR255W,ORF-V
YLR056W,ORF-V
YLR420W,ORF-V
TR(CCG)L,tRNA gene
YPL152W,ORF-V
YGR007W,ORF-V
YAR069C,ORF-DU
YML013C-A,ORF-DU
YER146W,ORF-V
YDR494W,ORF-V
YKL183W,ORF-V
YCR067C,ORF-V
YMR294W,ORF-V
YOLCDELTA8,LTR
YHR063w-a,ORF-DU
YPL274W,ORF-V
YERCTAU2,LTR
TR(ACG)K,tRNA gene
YGR148C,ORF-V
YDR417C,ORF-DU
YJRWDELTA20,LTR
YML054C,ORF-V
YGR174C,ORF-V
YJL044C,ORF-V
YFL035C,ORF-V
YMR040W,ORF-V
YBR201W,ORF-V
YJL218W,ORF-U
YLR314C,ORF-V
YHR053C,ORF-V
YDR458C,ORF-V
YOR314W,ORF-U
YKL205W,ORF-V
YJL089W,ORF-V
YIR029W,ORF-V
YLR256W,ORF-V
YCR030C,ORF-V
YGR069W,ORF-DU
YFL016C,ORF-V
YERCDELTA24,LTR
YBR202W,ORF-V
YHL003C,ORF-V
YMR169C,ORF-V
YNL140C,ORF-U
YNL300W,ORF-U
YNL113W,ORF-V
YIL058W,ORF-DU
TE(UUC)K,tRNA gene
YOR303W,ORF-V
YLR333C,ORF-V
YDL209C,ORF-V
YER001W,ORF-V
YML133C,ORF-U
YGL189C,ORF-V
YDLWTAU1,LTR
YNL296W,ORF-DU
TR(UCU)J1,tRNA gene
YLR067C,ORF-V
YMR079W,ORF-V
YPR010C,ORF-V
YOR287C,ORF-V
YOL118C,ORF-U
YIR022W,ORF-V
TI(AAU)L1,tRNA gene
YOR041C,ORF-DU
YGR006W,ORF-V
YLR127C,ORF-V
YLL027W,ORF-V
YLR467W,ORF-V
YBR028C,ORF-V
YNR036C,ORF-V
YGL010W,ORF-V
YGR122W,ORF-V
YOL011W,ORF-V
YMRCDELTA13,LTR
YPL042C,ORF-V
YIL001W,ORF-U
YNL064C,ORF-V
YPL177C,ORF-V
YPL002C,ORF-V
YLL004W,ORF-V
YJR038C,ORF-DU
YBR148W,ORF-V
YDR253C,ORF-V
YML109W,ORF-V
YBR080C,ORF-V
YPL244C,ORF-V
YNR006W,ORF-V
YPL183W-A,ORF-V
YMRCTY1-4,LTR
YER040W,ORF-V
YMRCDELTA11,LTR
CEN8,centromere
YPL045W,ORF-V
YAL002W,ORF-V
YCL012W,ORF-M
YGR030C,ORF-V
YNRCDELTA8,LTR
YKL168C,ORF-V
YNL243W,ORF-V
YKLWDELTA1,LTR
YFR054C,ORF-U
YAL067C,ORF-V
YJR066W,ORF-V
YLL056C,ORF-V
YJL212C,ORF-V
YOR310C,ORF-V
YBR144C,ORF-U
YPR194C,ORF-V
YPR117W,ORF-U
YMR301C,ORF-V
YPR018W,ORF-V
YBR115C,ORF-V
YGR209C,ORF-V
YHR159W,ORF-U
YNL305C,ORF-V
YJL120W,ORF-DU
YMLCDELTA2,LTR
YKL173W,ORF-V
YFR026C,ORF-V
YJR120W,ORF-V
YEL025C,ORF-U
YARCTY1-1,LTR
YDR213W,ORF-V
YGR168C,ORF-U
YBR125C,ORF-V
YPL135W,LTR
YLR312W-A,ORF-V
YDL127W,ORF-V
YBR245C,ORF-V
YIL100c-a,ORF-DU
YOR271C,ORF-U
YJR134C,ORF-V
YER056C-A,ORF-V
YER091C-A,ORF-DU
YER045C,ORF-V
YKL019W,ORF-V
YNL027W,ORF-V
YHR102W,ORF-V
YGR245C,ORF-V
YCR051W,ORF-U
YOR251C,ORF-V
YJL164C,ORF-V
YAR031W,ORF-V
YIL078W,ORF-V
YOR246C,ORF-V
YJL149W,ORF-V
YGL240W,ORF-V
YFL017W-A,ORF-V
YPL267W,ORF-V
YJR037W,ORF-DU
YHR040W,ORF-V
YLR417W,ORF-V
YNL125C,ORF-V
YDR014W,ORF-V
YDRCTY1-3,LTR
YKL095W,ORF-V
YOR351C,ORF-V
YOL146W,ORF-V
YOR263C,ORF-DU
YPLCDELTA1,LTR
YGR027C,ORF-V
YMR304W,ORF-V
YLL060C,ORF-V
YCL033C,ORF-V
YORWDELTA22,LTR
YOR189W,ORF-V
YBR108W,ORF-V
YBR217W,ORF-V
SNR55,snoRNA gene
YAL003W,ORF-V
YBR182C,ORF-V
YFL063W,ORF-DU
YBL097W,ORF-V
YPR107C,ORF-V
YJL061W,ORF-V
YMR148W,ORF-V
YJL121C,ORF-V
YPR070W,ORF-V
YGL142C,ORF-V
YPL248C,ORF-V
YKL138C,ORF-V
YML068W,ORF-V
YIL016W,ORF-V
YDL108W,ORF-V
YDR504C,ORF-V
YPR191W,ORF-V
TH(GUG)M,tRNA gene
YDR230W,ORF-DU
YLR351C,ORF-V
YHL021C,ORF-V
YKL090W,ORF-V
YCL002C,ORF-U
YBR268W,ORF-V
YPR129W,ORF-V
YGL173C,ORF-V
YFL031W,ORF-V
YLR249W,ORF-V
YOR051C,ORF-V
RDN37-1,rRNA gene
YPR179C,ORF-V
YNL261W,ORF-V
YOL021C,ORF-V
YOL089C,ORF-V
YLR455W,ORF-V
YBL045C,ORF-V
TA(AGC)M2,tRNA gene
YEL008W,ORF-U
YKL129C,ORF-V
YDR275W,ORF-V
YBR056W,ORF-V
YJR051W,ORF-V
YAR068W,ORF-U
YMR223W,ORF-V
YLR274W,ORF-V
YMR069W,ORF-V
YDR003W,ORF-V
YJL139C,ORF-V
YBLWDELTA8,LTR
YLR028C,ORF-V
YLL034C,ORF-V
YLR038C,ORF-V
YAR027W,ORF-V
YER148w-a,ORF-DU
YER059W,ORF-V
YGL022W,ORF-V
YNL197C,ORF-V
YDL080C,ORF-V
YDR449C,ORF-V
YOR055W,ORF-DU
YEL026W,ORF-V
YKL155C,ORF-V
YOR389W,ORF-U
YGR081C,ORF-V
YDR179W-A,ORF-V
TG(UCC)N,tRNA gene
YJL053W,ORF-V
YGR021W,ORF-U
YER130C,ORF-V
YML092C,ORF-V
YJL136w-a,ORF-U
YOL117W,ORF-V
TR(CCU)J,tRNA gene
YNL111C,ORF-V
YMR159C,ORF-V
YNR013C,ORF-V
YDL046W,ORF-V
YOL037C,ORF-DU
YDR135C,ORF-V
YDL175C,ORF-V
YHL032C,ORF-V
YOL050C,ORF-DU
YGL259W,ORF-U
YAL043C,ORF-V
YCL044C,ORF-V
YGR267C,ORF-V
YNL173C,ORF-V
YDR537C,ORF-DU
YNL207W,ORF-V
YDR283C,ORF-V
YOR290C,ORF-V
YER019C-A,ORF-V
YNL002C,ORF-V
YGLWDELTA3,LTR
YIR019C,ORF-V
YNL190W,ORF-V
YJL051W,ORF-V
YDR038C,ORF-V
YNL048W,ORF-V
YER185W,ORF-V
YHR044C,ORF-V
YOL085C,ORF-U
YDL188C,ORF-V
YMR086C-A,ORF-DU
