Fraction,LogEnergy,Strategy
0.0502035278154681,4.716976490534119,HyperDriver
0.0999547715965626,4.370788630825407,HyperDriver
0.1501582994120307,4.177767930856798,HyperDriver
0.1999095431931253,4.045460477252177,HyperDriver
0.2501130710085934,3.9413152673992653,HyperDriver
0.2998643147896879,3.857423750543795,HyperDriver
0.05,8.942584460190089,w/o Greedy
0.1,8.164927179772432,w/o Greedy
0.15,7.388102409333686,w/o Greedy
0.2,6.972225179619096,w/o Greedy
0.25,6.690128858077958,w/o Greedy
0.3,6.507348592328337,w/o Greedy
0.0502035278154681,5.893391457241746,w/o Hypergraph
0.0999547715965626,4.386584617868154,w/o Hypergraph
0.1501582994120307,3.8528913607646142,w/o Hypergraph
0.1999095431931253,3.53085136287235,w/o Hypergraph
0.2501130710085934,3.3186231514027944,w/o Hypergraph
0.2998643147896879,3.176164494270935,w/o Hypergraph
0.0502035278154681,6.987068065666341,w/o Dynamics
0.0999547715965626,6.15823053121898,w/o Dynamics
0.1501582994120307,5.7186270833029225,w/o Dynamics
0.1999095431931253,5.457673032841283,w/o Dynamics
0.2501130710085934,5.277321599981754,w/o Dynamics
0.2998643147896879,5.1485210775251256,w/o Dynamics
