Fraction,Log10_Energy,Strategy
0.05,5.183314516512505,Random
0.1,4.813873219206683,Random
0.15,4.628839881087357,Random
0.2,4.467226226173197,Random
0.25,4.345347991757511,Random
0.3,4.257957865674795,Random
0.05,5.525182797758813,DC
0.1,5.103044891602732,DC
0.15,4.852351872053854,DC
0.2,4.66814179824642,DC
0.25,4.520240981414198,DC
0.3,4.393029650860528,DC
0.05,5.431307341082401,BC
0.1,5.0613864067752985,BC
0.15,4.82681083722068,BC
0.2,4.629872782079319,BC
0.25,4.481721829604441,BC
0.3,4.360031331522101,BC
0.05,5.447401214779393,EC
0.1,4.946102682559075,EC
0.15,4.694243844130297,EC
0.2,4.520125654482526,EC
0.25,4.39105826308505,EC
0.3,4.286057615798781,EC
0.0499300978629918,5.002605456915233,HyperDriver
0.1000599161174355,4.679487851699637,HyperDriver
0.1499900139804274,4.496276641290246,HyperDriver
0.1999201118434192,4.367970572329368,HyperDriver
0.2500499300978629,4.268617419197776,HyperDriver
0.2999800279608548,4.188229658949539,HyperDriver
