Fraction,LogEnergy,Strategy
0.05,5.273757196300481,Random
0.1,4.8492258343293955,Random
0.15,4.664584414803483,Random
0.2,4.4894078564810345,Random
0.25,4.380562379577287,Random
0.3,4.286774472777743,Random
0.05,5.360823574988961,DC
0.1,4.884883045033962,DC
0.15,4.65278900611977,DC
0.2,4.492280989551203,DC
0.25,4.370925299068325,DC
0.3,4.275297044844629,DC
0.05,5.202196250180907,BC
0.1,4.8207520057492355,BC
0.15,4.627753144401927,BC
0.2,4.47052986466739,BC
0.25,4.359344301537399,BC
0.3,4.2717979680717955,BC
0.05,5.429617541965434,EC
0.1,4.829249685004778,EC
0.15,4.599777627636105,EC
0.2,4.451382415674971,EC
0.25,4.336574891117353,EC
0.3,4.244283028471603,EC
0.0499700179892064,5.014987811935355,HyperDriver
0.0999400359784129,4.698653950132019,HyperDriver
0.1499100539676194,4.515613222453898,HyperDriver
0.2000799520287827,4.386849389759905,HyperDriver
0.2500499700179892,4.287875745015007,HyperDriver
0.3000199880071957,4.207352345907673,HyperDriver
