Fraction,Log10_Energy,Strategy
0.05,5.043713190197002,Random
0.1,4.624510961765533,Random
0.15,4.274945978209807,Random
0.2,4.088113006027905,Random
0.25,3.9115670143620656,Random
0.3,3.7237481140439335,Random
0.05,5.229586645306238,DC
0.1,4.551630596035614,DC
0.15,4.260498292057769,DC
0.2,3.9778713127692806,DC
0.25,3.8338060334958306,DC
0.3,3.680786326962546,DC
0.05,4.886139977277543,BC
0.1,4.341345936914663,BC
0.15,4.04719440559995,BC
0.2,3.8637343759838716,BC
0.25,3.7229414723770637,BC
0.3,3.6237733306175746,BC
0.05,5.127590395604174,EC
0.1,4.379819835550268,EC
0.15,4.129141543081515,EC
0.2,3.9520390639931895,EC
0.25,3.8606746341758935,EC
0.3,3.7437522640513086,EC
0.0505747126436781,4.481668458125197,HyperDriver
0.1,4.075172755979979,HyperDriver
0.1494252873563218,3.848506979816048,HyperDriver
0.2,3.6945657215176992,HyperDriver
0.2505747126436781,3.5818295022790885,HyperDriver
0.3,3.492356270499296,HyperDriver
