Fraction,LogEnergy,Strategy
0.05,4.9572514158887975,Random
0.1,4.616273525076394,Random
0.15,4.378989382788336,Random
0.2,4.184935012140701,Random
0.25,3.860029309930148,Random
0.3,3.701089543856104,Random
0.05,5.518315336994286,DC
0.1,4.88778866984589,DC
0.15,4.555361686809294,DC
0.2,4.303800592182144,DC
0.25,4.09316805566167,DC
0.3,3.868432602743886,DC
0.05,5.08741160115795,BC
0.1,4.4546358687802545,BC
0.15,4.150907748285203,BC
0.2,3.951457184420838,BC
0.25,3.8045373344439617,BC
0.3,3.681605024023379,BC
0.05,5.438485953979721,EC
0.1,4.67337363291654,EC
0.15,4.400928478557438,EC
0.2,4.228687822196824,EC
0.25,4.1371648526862534,EC
0.3,3.9853429063639743,EC
0.049482163406214,4.519992093748481,HyperDriver
0.1001150747986191,4.095966527537465,HyperDriver
0.1495972382048331,3.8841420482327034,HyperDriver
0.2002301495972382,3.7345560444746906,HyperDriver
0.2497123130034522,3.6240485650661323,HyperDriver
0.3003452243958573,3.536119216147087,HyperDriver
