Fraction,Log10_Energy,Strategy
0.05,5.997764294954689,Random
0.1,5.570443697334833,Random
0.15,5.2332052185275595,Random
0.2,5.09753636167763,Random
0.25,4.845769920986002,Random
0.3,4.755217269456492,Random
0.05,5.922572133004448,DC
0.1,5.118727465023259,DC
0.15,4.795800887173372,DC
0.2,4.442525737533033,DC
0.25,4.274836217351431,DC
0.3,4.157236807619557,DC
0.05,5.525230539998842,BC
0.1,4.79524646985993,BC
0.15,4.4797349161359525,BC
0.2,4.299245063584115,BC
0.25,4.1641699673320245,BC
0.3,4.045842432623378,BC
0.05,5.82061292651609,EC
0.1,5.125754611337194,EC
0.15,4.804393556424639,EC
0.2,4.503515170040196,EC
0.25,4.330229939525783,EC
0.3,4.121348441140816,EC
0.0499410145497443,4.878081674506631,HyperDriver
0.0998820290994887,4.470201085266938,HyperDriver
0.1498230436492331,4.252810820197521,HyperDriver
0.2001572945340149,4.107562423280545,HyperDriver
0.2500983090837593,4.000268853169911,HyperDriver
0.3000393236335037,3.9145309545750404,HyperDriver
