Fraction,LogEnergy,Strategy
0.05,5.337277139412158,Random
0.1,4.948324243040029,Random
0.15,4.730071466007026,Random
0.2,4.59360338242325,Random
0.25,4.389490026812218,Random
0.3,4.2928443532533205,Random
0.05,5.574776180937164,DC
0.1,4.990273214679721,DC
0.15,4.560571924570193,DC
0.2,4.330217494579609,DC
0.25,4.192059655643717,DC
0.3,4.089171803319492,DC
0.05,5.601020412445352,BC
0.1,4.804225683285832,BC
0.15,4.459629295962991,BC
0.2,4.233045298567877,BC
0.25,4.110750268254789,BC
0.3,4.019966430972498,BC
0.05,5.590318816512781,EC
0.1,4.9933382530619745,EC
0.15,4.491309299392106,EC
0.2,4.303790981968237,EC
0.25,4.16102340057089,EC
0.3,4.04720046035058,EC
0.0499803227075954,4.828632332707402,HyperDriver
0.0999606454151908,4.469183502566921,HyperDriver
0.1499409681227863,4.269484452476735,HyperDriver
0.1999212908303817,4.132429700725898,HyperDriver
0.2499016135379771,4.028943581531582,HyperDriver
0.2998819362455726,3.945097764653054,HyperDriver
