Fraction,Log10_Energy,Strategy
0.05,4.6652255885166625,Random
0.1,3.9477157117810493,Random
0.15,3.66051606854558,Random
0.2,3.3623064199289217,Random
0.25,3.139430656418066,Random
0.3,3.011183888827477,Random
0.05,5.76679859039644,DC
0.1,5.198409363065388,DC
0.15,5.075076351452531,DC
0.2,4.118736000683235,DC
0.25,3.6446214407249418,DC
0.3,3.449558146999597,DC
0.05,4.885311983544935,BC
0.1,4.5035017072951,BC
0.15,4.399422894258936,BC
0.2,3.9794224997549357,BC
0.25,3.7193133403357685,BC
0.3,2.950350763676693,BC
0.05,5.76679859039644,EC
0.1,5.198409363065388,EC
0.15,5.075076351452531,EC
0.2,4.232136849939044,EC
0.25,3.597492040982236,EC
0.3,3.398347947542484,EC
0.0489510489510489,4.050927945184928,HyperDriver
0.0979020979020979,3.4888273162263315,HyperDriver
0.1468531468531468,3.178255058554754,HyperDriver
0.2027972027972027,2.9620033281950726,HyperDriver
0.2517482517482518,2.824819182525373,HyperDriver
0.3006993006993007,2.721970927186514,HyperDriver
