Fraction,LogEnergy,Strategy
0.05,4.362116575196587,Random
0.1,3.7081699562214134,Random
0.15,3.5110300081747168,Random
0.2,3.2129487351155954,Random
0.25,3.113537536757392,Random
0.3,3.016399835668634,Random
0.05,5.20540721394776,DC
0.1,4.898640157553478,DC
0.15,4.756565135014545,DC
0.2,4.094211383807244,DC
0.25,3.4918274790251504,DC
0.3,3.305716777726181,DC
0.05,4.662481434611711,BC
0.1,4.059115314218607,BC
0.15,3.9650806160924605,BC
0.2,3.5141574337398302,BC
0.25,3.268550277711589,BC
0.3,3.042131930436155,BC
0.05,5.20540721394776,EC
0.1,4.898640157553478,EC
0.15,4.756565135014545,EC
0.2,4.134079842221979,EC
0.25,3.5271395593695742,EC
0.3,3.1969783427360734,EC
0.0489510489510489,4.0420153418544675,HyperDriver
0.0979020979020979,3.4405339904451657,HyperDriver
0.1468531468531468,3.1765218527804704,HyperDriver
0.2027972027972027,2.9799151489733675,HyperDriver
0.2517482517482518,2.843266770281441,HyperDriver
0.3006993006993007,2.7471849436916407,HyperDriver
