Fraction,Log10_Energy,Strategy
0.05,5.226705441685414,Random
0.1,4.875860686992445,Random
0.15,4.496956042203754,Random
0.2,4.394737329292353,Random
0.25,4.130010422193385,Random
0.3,3.930486002298538,Random
0.05,5.3687031536265355,DC
0.1,4.639205311845773,DC
0.15,4.359570584416676,DC
0.2,4.172473598158002,DC
0.25,4.000854617947224,DC
0.3,3.86623463427499,DC
0.05,5.2801260018097995,BC
0.1,4.520300116996552,BC
0.15,4.247315022996945,BC
0.2,4.036916896264356,BC
0.25,3.886466160243096,BC
0.3,3.78429280755432,BC
0.05,5.3453031462393845,EC
0.1,4.697286930154596,EC
0.15,4.37789118520333,EC
0.2,4.144047990859685,EC
0.25,3.989388416651316,EC
0.3,3.8760604119278557,EC
0.0497094899935442,4.597067638042411,HyperDriver
0.1000645577792124,4.227709270107204,HyperDriver
0.1497740477727566,4.026106093392621,HyperDriver
0.2001291155584248,3.886718275507028,HyperDriver
0.249838605551969,3.782601659583742,HyperDriver
0.3001936733376372,3.696954940865502,HyperDriver
