Fraction,LogEnergy,Strategy
0.05,5.228947865065427,Random
0.1,4.755298842806066,Random
0.15,4.503513081325009,Random
0.2,4.323572910586759,Random
0.25,4.251024357824446,Random
0.3,4.120469911591619,Random
0.05,4.883349764304404,DC
0.1,4.4426225068679255,DC
0.15,4.149143722962903,DC
0.2,3.9857337092658454,DC
0.25,3.8642670023309633,DC
0.3,3.7653636278897555,DC
0.05,4.9195942205582925,BC
0.1,4.409229656240166,BC
0.15,4.1481669407404524,BC
0.2,3.972250761516994,BC
0.25,3.8437872630393266,BC
0.3,3.7482594182195226,BC
0.05,4.959822578856092,EC
0.1,4.3807208375608075,EC
0.15,4.154954921061277,EC
0.2,3.9932354111840667,EC
0.25,3.8871031315230082,EC
0.3,3.786907850033117,EC
0.0497416020671834,4.578586294880326,HyperDriver
0.1001291989664082,4.220654912576361,HyperDriver
0.1498708010335917,4.0243889727000415,HyperDriver
0.2002583979328165,3.887978716854859,HyperDriver
0.25,3.7854717743066244,HyperDriver
0.2997416020671835,3.70144144586251,HyperDriver
