Fraction,Log10_Energy,Strategy
0.05,5.1631867843952985,Random
0.1,4.658589206161792,Random
0.15,4.463459376335306,Random
0.2,4.313533466379904,Random
0.25,4.205648771329824,Random
0.3,4.051196733000055,Random
0.05,5.125797949573227,DC
0.1,4.66114529566378,DC
0.15,4.3833647217787295,DC
0.2,4.216361257785079,DC
0.25,4.080152805479592,DC
0.3,3.982543183663089,DC
0.05,4.998595018802523,BC
0.1,4.585466633989988,BC
0.15,4.351233465022769,BC
0.2,4.1899664562822565,BC
0.25,4.071710744414144,BC
0.3,3.9722029906941,BC
0.05,4.947301384891,EC
0.1,4.5022086763987055,EC
0.15,4.290842270262569,EC
0.2,4.141982207666128,EC
0.25,4.027929849520191,EC
0.3,3.9391575901489952,EC
0.050034989503149,4.73959660647314,HyperDriver
0.1000699790062981,4.414836549944866,HyperDriver
0.1501049685094471,4.228962468088427,HyperDriver
0.2001399580125962,4.09941073665134,HyperDriver
0.2498250524842547,4.000286486173162,HyperDriver
0.2998600419874038,3.919138049867976,HyperDriver
