Fraction,Log10_Energy,Strategy
0.05,6.110482002787422,Random
0.1,5.653958770854758,Random
0.15,5.394827060893076,Random
0.2,5.2949936683412515,Random
0.25,5.124265449825441,Random
0.3,5.044896016038752,Random
0.05,5.7339073275717185,DC
0.1,5.045749862866958,DC
0.15,4.605371295056944,DC
0.2,4.363456339250522,DC
0.25,4.215602952540824,DC
0.3,4.094716394759966,DC
0.05,5.4047983210426835,BC
0.1,4.7328590602074785,BC
0.15,4.4065898657927125,BC
0.2,4.236137944217234,BC
0.25,4.105083327608408,BC
0.3,3.9975745658175508,BC
0.05,5.780495663865878,EC
0.1,5.005513373400614,EC
0.15,4.636898384661928,EC
0.2,4.387243291456768,EC
0.25,4.197702004486676,EC
0.3,4.079505532242037,EC
0.0501808318264014,4.884809036438389,HyperDriver
0.0999095840867992,4.471459444214802,HyperDriver
0.1500904159132007,4.253255661864651,HyperDriver
0.1998191681735985,4.1083046668763865,HyperDriver
0.25,3.9991990471884464,HyperDriver
0.3001808318264014,3.9118192076998275,HyperDriver
