Fraction,LogEnergy,Strategy
0.05,5.052641046182553,Random
0.1,4.727614019524845,Random
0.15,4.586062763386501,Random
0.2,4.463877603392877,Random
0.25,4.33529667765483,Random
0.3,4.248484390506492,Random
0.05,5.447019354724118,DC
0.1,4.625960651582325,DC
0.15,4.3234946243547485,DC
0.2,4.161949456006662,DC
0.25,4.05344102065856,DC
0.3,3.9670516980605517,DC
0.05,5.115927308142899,BC
0.1,4.501347452060401,BC
0.15,4.247562052395791,BC
0.2,4.1003800801661665,BC
0.25,3.9920320422599023,BC
0.3,3.9079254705569175,BC
0.05,5.340865117151586,EC
0.1,4.656084236660431,EC
0.15,4.336220212733906,EC
0.2,4.155688671925922,EC
0.25,4.0288528683896505,EC
0.3,3.942000235003552,EC
0.0502035278154681,4.716976490534119,HyperDriver
0.0999547715965626,4.370788630825407,HyperDriver
0.1501582994120307,4.177767930856798,HyperDriver
0.1999095431931253,4.045460477252177,HyperDriver
0.2501130710085934,3.9413152673992653,HyperDriver
0.2998643147896879,3.857423750543795,HyperDriver
