Fraction,Log10_Energy,Strategy
0.05,6.046256706229271,Random
0.1,5.532843639503313,Random
0.15,5.233335799267174,Random
0.2,5.053147960592763,Random
0.25,4.97778702691271,Random
0.3,4.805408019048592,Random
0.05,5.693779505314963,DC
0.1,4.870557663401412,DC
0.15,4.585650015997458,DC
0.2,4.369666741091995,DC
0.25,4.234496956752148,DC
0.3,4.113610672330742,DC
0.05,5.351520057115082,BC
0.1,4.7481914952063,BC
0.15,4.401833776193228,BC
0.2,4.224552010515386,BC
0.25,4.099782293443056,BC
0.3,3.996896514545325,BC
0.05,5.726088580655385,EC
0.1,4.8481579851592675,EC
0.15,4.564800144481674,EC
0.2,4.323882947408561,EC
0.25,4.196995850187086,EC
0.3,4.091958899798697,EC
0.049952426260704,4.873217909012625,HyperDriver
0.0999048525214081,4.466207700245292,HyperDriver
0.1498572787821122,4.248407820419703,HyperDriver
0.1998097050428163,4.098789870768646,HyperDriver
0.2502378686964795,3.986047726574733,HyperDriver
0.3001902949571836,3.898069382553677,HyperDriver
