Fraction,LogEnergy,Strategy
0.05,4.884057493333134,Random
0.1,4.519276429959186,Random
0.15,4.3279945174589,Random
0.2,4.111377486671555,Random
0.25,3.894498694869033,Random
0.3,3.7673671258139128,Random
0.05,5.069940388192884,DC
0.1,4.711790471496947,DC
0.15,4.352333790187172,DC
0.2,4.107518462342423,DC
0.25,3.8857932668535,DC
0.3,3.718041342235531,DC
0.05,4.852608986997255,BC
0.1,4.375494730357979,BC
0.15,4.085418026142439,BC
0.2,3.8870265999087525,BC
0.25,3.689524741260357,BC
0.3,3.561306947175114,BC
0.05,5.116360609680917,EC
0.1,4.701967617635282,EC
0.15,4.313334654321473,EC
0.2,4.0933823096803135,EC
0.25,3.849695328860221,EC
0.3,3.6683991071182023,EC
0.0502152080344332,4.282549168116562,HyperDriver
0.1004304160688665,3.8957004901970045,HyperDriver
0.1506456241032998,3.6838657497631906,HyperDriver
0.1994261119081779,3.5457885984225452,HyperDriver
0.2496413199426111,3.436048799264193,HyperDriver
0.2998565279770445,3.3498646349827372,HyperDriver
