Fraction,Log10_Energy,Strategy
0.05,4.364380632024453,Random
0.1,4.0406267992199405,Random
0.15,3.8275436166180423,Random
0.2,3.6889817708972013,Random
0.25,3.597530302282935,Random
0.3,3.5172776417326577,Random
0.05,4.413519397098925,DC
0.1,4.031486031952016,DC
0.15,3.8266669084871614,DC
0.2,3.688940322068063,DC
0.25,3.5761547649171397,DC
0.3,3.486407887167843,DC
0.05,4.424907276357253,BC
0.1,4.009930949344415,BC
0.15,3.791990820792677,BC
0.2,3.657836596510374,BC
0.25,3.5555671040821704,BC
0.3,3.4702024049773548,BC
0.05,4.43203355064541,EC
0.1,4.028955982464755,EC
0.15,3.825443256339274,EC
0.2,3.683012382111296,EC
0.25,3.5752753894476292,EC
0.3,3.499398002176461,EC
0.0502846299810246,4.256650056943167,HyperDriver
0.0996204933586337,3.9414926679390123,HyperDriver
0.1499051233396584,3.7572438122052287,HyperDriver
0.2001897533206831,3.6288854989322,HyperDriver
0.2504743833017078,3.529790993432245,HyperDriver
0.2998102466793169,3.4507936907322367,HyperDriver
