Fraction,LogEnergy,Strategy
0.05,4.417760147945281,Random
0.1,4.121611462217488,Random
0.15,3.933076586937947,Random
0.2,3.7189679328445315,Random
0.25,3.624834791188652,Random
0.3,3.5333489661035857,Random
0.05,4.430702111576639,DC
0.1,4.090014527893386,DC
0.15,3.861919473796504,DC
0.2,3.7118210514313614,DC
0.25,3.5979404256531127,DC
0.3,3.5066596096195375,DC
0.05,4.375779157333634,BC
0.1,4.0329966066374405,BC
0.15,3.8270741774714003,BC
0.2,3.6909696433909565,BC
0.25,3.590663875141605,BC
0.3,3.502643387082349,BC
0.05,4.473529530007278,EC
0.1,4.07562011626925,EC
0.15,3.861285396832544,EC
0.2,3.717581904525802,EC
0.25,3.6096849781252502,EC
0.3,3.5243963108310226,EC
0.050332383665717,4.2782678880770595,HyperDriver
0.0997150997150997,3.9662506765289374,HyperDriver
0.1500474833808167,3.7839787185857356,HyperDriver
0.2003798670465337,3.6552822494186565,HyperDriver
0.2497625830959164,3.557322289613458,HyperDriver
0.3000949667616334,3.4764193341088814,HyperDriver
