Fraction,Log10_Energy,Strategy
0.05,4.7858015735918835,Random
0.1,4.353671145223867,Random
0.15,4.18047272830502,Random
0.2,4.017983855011983,Random
0.25,3.946104211597685,Random
0.3,3.8030855476649528,Random
0.05,4.602709502122488,DC
0.1,4.212749720749906,DC
0.15,3.9864540762062624,DC
0.2,3.8612214677731505,DC
0.25,3.6787776796880634,DC
0.3,3.6044727037361133,DC
0.05,4.75974585307074,BC
0.1,4.226196147438304,BC
0.15,4.037392343632608,BC
0.2,3.8838680556544443,BC
0.25,3.775172250697084,BC
0.3,3.6303505815608816,BC
0.05,4.480870971711355,EC
0.1,4.199920032286105,EC
0.15,4.036389661601552,EC
0.2,3.8682584853659727,EC
0.25,3.7757091785497807,EC
0.3,3.6964422509606965,EC
0.0498374864572047,4.234420742180776,HyperDriver
0.0996749729144095,3.907078068969991,HyperDriver
0.1495124593716143,3.724400491568338,HyperDriver
0.2004333694474539,3.5931798430900517,HyperDriver
0.2502708559046587,3.4941526161183347,HyperDriver
0.3001083423618635,3.4138033858085692,HyperDriver
