Fraction,LogEnergy,Strategy
0.05,4.3209695765642415,Random
0.1,3.93971049491728,Random
0.15,3.7631018931849813,Random
0.2,3.6233695682044935,Random
0.25,3.5216850313871313,Random
0.3,3.4379230713924955,Random
0.05,4.46704896195899,DC
0.1,4.053504018643666,DC
0.15,3.840243445697531,DC
0.2,3.6809983142283897,DC
0.25,3.5632197472889673,DC
0.3,3.4686703705029234,DC
0.05,4.463851323759967,BC
0.1,4.042782389688222,BC
0.15,3.824295839875943,BC
0.2,3.6670669014340214,BC
0.25,3.5615389989070123,BC
0.3,3.468974120600904,BC
0.05,4.315385159565999,EC
0.1,3.9757430067349078,EC
0.15,3.76675152549936,EC
0.2,3.629018602933728,EC
0.25,3.5225000673298097,EC
0.3,3.4356743846892894,EC
0.0498915401301518,4.222673383978023,HyperDriver
0.0997830802603036,3.9075063247243547,HyperDriver
0.1496746203904555,3.7280112044508837,HyperDriver
0.1995661605206073,3.6014116387672486,HyperDriver
0.2494577006507592,3.5028820168250223,HyperDriver
0.3004338394793926,3.4211560344696137,HyperDriver
