Fraction,Log10_Energy,Strategy
0.05,4.439330544428308,Random
0.1,4.082347760418093,Random
0.15,3.8932116261809067,Random
0.2,3.768604185147159,Random
0.25,3.677012163854197,Random
0.3,3.583845986284773,Random
0.05,4.634303334884014,DC
0.1,4.195245815939048,DC
0.15,3.9476819743551252,DC
0.2,3.790034435915754,DC
0.25,3.670020079398908,DC
0.3,3.573256183742887,DC
0.05,4.5316344612786,BC
0.1,4.1428708152655185,BC
0.15,3.925637140290517,BC
0.2,3.7732839975484693,BC
0.25,3.6546422041558535,BC
0.3,3.56596972635099,BC
0.05,4.542060799453142,EC
0.1,4.137108407155028,EC
0.15,3.908966228862944,EC
0.2,3.760928357110123,EC
0.25,3.6471187756408914,EC
0.3,3.5538341566509097,EC
0.049828178694158,4.335443726143779,HyperDriver
0.0996563573883161,4.005759605194077,HyperDriver
0.1503436426116838,3.8182135725901136,HyperDriver
0.2001718213058419,3.689855826705903,HyperDriver
0.25,3.590329248060139,HyperDriver
0.299828178694158,3.509308123757571,HyperDriver
