Fraction,LogEnergy,Strategy
0.05,4.567745937963433,Random
0.1,4.096890344978094,Random
0.15,3.906280602690447,Random
0.2,3.769005817152427,Random
0.25,3.677442270245499,Random
0.3,3.5923191644591967,Random
0.05,4.6367937951605445,DC
0.1,4.21732926723648,DC
0.15,3.9799543887405493,DC
0.2,3.815996770241508,DC
0.25,3.6909349629695063,DC
0.3,3.590157671978319,DC
0.05,4.555550176136509,BC
0.1,4.169595579196973,BC
0.15,3.9624887438116976,BC
0.2,3.8083328134297267,BC
0.25,3.687128474372573,BC
0.3,3.5864762907901064,BC
0.05,4.676218690311879,EC
0.1,4.155437269481031,EC
0.15,3.950150690796869,EC
0.2,3.790725387496685,EC
0.25,3.6714486059402835,EC
0.3,3.5777172713753247,EC
0.0498710232158211,4.346598739680061,HyperDriver
0.0997420464316423,4.0237516739909305,HyperDriver
0.1496130696474634,3.839149927986881,HyperDriver
0.2003439380911436,3.708453847223659,HyperDriver
0.2502149613069647,3.608488180243118,HyperDriver
0.3000859845227859,3.5276649121788455,HyperDriver
