Dataset,Strategy,LogEnergy
Hazbun,HyperDriver,3.2049063413377588
Hazbun,w/o Dynamics,4.6025388784870875
Hazbun,w/o Greedy,6.129944422050546
Hazbun,w/o Hypergraph,7.345722960612768
Babu,HyperDriver,4.51855541086731
Babu,w/o Dynamics,5.517773878460765
Babu,w/o Greedy,7.647374298654899
Babu,w/o Hypergraph,3.9237851698468416
Breitkreutz,HyperDriver,3.89913741586776
Breitkreutz,w/o Dynamics,5.734136391141874
Breitkreutz,w/o Greedy,7.157038743180924
Breitkreutz,w/o Hypergraph,3.942822407110031
Gavin,HyperDriver,4.278961889110265
Gavin,w/o Dynamics,6.010195181053331
Gavin,w/o Greedy,7.866265330799444
Gavin,w/o Hypergraph,4.108992928859448
Ho,HyperDriver,4.033087019530121
Ho,w/o Dynamics,5.563109796562029
Ho,w/o Greedy,6.622292392977433
Ho,w/o Hypergraph,3.656725535718707
Ito,HyperDriver,4.228950591187471
Ito,w/o Dynamics,4.639709595260184
Ito,w/o Greedy,6.380359465850012
Ito,w/o Hypergraph,4.536702397328618
Krogan_LCMS,HyperDriver,4.184955424568593
Krogan_LCMS,w/o Dynamics,5.791240231756068
Krogan_LCMS,w/o Greedy,7.4442194465536
Krogan_LCMS,w/o Hypergraph,4.026417740736766
Krogan_MALDI,HyperDriver,4.191108861559745
Krogan_MALDI,w/o Dynamics,5.72150831172964
Krogan_MALDI,w/o Greedy,7.794659187843627
Krogan_MALDI,w/o Hypergraph,4.139129039736081
Lambert,HyperDriver,3.6989695734577057
Lambert,w/o Dynamics,4.458166419062299
Lambert,w/o Greedy,6.6573979354478015
Lambert,w/o Hypergraph,3.2185735116017185
Tarassov,HyperDriver,3.786253526055455
Tarassov,w/o Dynamics,4.417394666820113
Tarassov,w/o Greedy,4.189743036443834
Tarassov,w/o Hypergraph,4.732024926370307
Uetz,HyperDriver,3.730606767202524
Uetz,w/o Dynamics,4.114579880617177
Uetz,w/o Greedy,4.676621861522386
Uetz,w/o Hypergraph,7.49978159439301
Yu,HyperDriver,3.8423512135505824
Yu,w/o Dynamics,4.283517790995199
Yu,w/o Greedy,4.791468234041102
Yu,w/o Hypergraph,5.448461102506023
