Dataset,Strategy,EssentialFrac
Hazbun,HyperDriver,0.85
Hazbun,DC,0.9
Hazbun,BC,0.85
Hazbun,EC,0.9
Hazbun,Random,0.7202797202797203
Babu,HyperDriver,0.2
Babu,DC,0.2
Babu,BC,0.25
Babu,EC,0.2
Babu,Random,0.23846614739364888
Breitkreutz,HyperDriver,0.4
Breitkreutz,DC,0.45
Breitkreutz,BC,0.3
Breitkreutz,EC,0.5
Breitkreutz,Random,0.3689655172413793
Gavin,HyperDriver,0.2
Gavin,DC,0.3
Gavin,BC,0.25
Gavin,EC,0.35
Gavin,Random,0.3448682658277625
Ho,HyperDriver,0.45
Ho,DC,0.5
Ho,BC,0.4
Ho,EC,0.45
Ho,Random,0.3473208521626856
Ito,HyperDriver,0.35
Ito,DC,0.15
Ito,BC,0.2
Ito,EC,0.3
Ito,Random,0.23547935619314206
Krogan_LCMS,HyperDriver,0.35
Krogan_LCMS,DC,0.3
Krogan_LCMS,BC,0.45
Krogan_LCMS,EC,0.35
Krogan_LCMS,Random,0.3268535262206148
Krogan_MALDI,HyperDriver,0.4
Krogan_MALDI,DC,0.25
Krogan_MALDI,BC,0.3
Krogan_MALDI,EC,0.3
Krogan_MALDI,Random,0.3472882968601332
Lambert,HyperDriver,0.35
Lambert,DC,0.5
Lambert,BC,0.35
Lambert,EC,0.5
Lambert,Random,0.41917024320457796
Tarassov,HyperDriver,0.15
Tarassov,DC,0.2
Tarassov,BC,0.3
Tarassov,EC,0.05
Tarassov,Random,0.29127134724857684
Uetz,HyperDriver,0.25
Uetz,DC,0.3
Uetz,BC,0.4
Uetz,EC,0.35
Uetz,Random,0.2914409534127844
Yu,HyperDriver,0.3
Yu,DC,0.25
Yu,BC,0.4
Yu,EC,0.3
Yu,Random,0.29467353951890035
