Dataset,Strategy,DegreeFrac
Hazbun,HyperDriver,0.1222222222221317
Hazbun,DC,0.2637037037035084
Hazbun,BC,0.1948148148146705
Hazbun,EC,0.2637037037035084
Hazbun,Random,0.07333333333327902
Babu,HyperDriver,0.0849997890562367
Babu,DC,0.3957410454372822
Babu,BC,0.35944817111757627
Babu,EC,0.33493650592751617
Babu,Random,0.10923722735518596
Breitkreutz,HyperDriver,0.09989290495314325
Breitkreutz,DC,0.3247389558232845
Breitkreutz,BC,0.28337349397589606
Breitkreutz,EC,0.2915662650602332
Breitkreutz,Random,0.08896921017402708
Gavin,HyperDriver,0.10088871933988852
Gavin,DC,0.5250932519498098
Gavin,BC,0.4704136995591693
Gavin,EC,0.5114374929354548
Gavin,Random,0.11008675257149239
Ho,HyperDriver,0.09890218769815912
Ho,DC,0.39441978440075315
Ho,BC,0.36673668357640365
Ho,EC,0.3462666455294795
Ho,Random,0.10924619530754381
Ito,HyperDriver,0.17383933229001383
Ito,DC,0.45839853938439507
Ito,BC,0.4346635367761561
Ito,EC,0.37506520605107263
Ito,Random,0.0872456964006146
Krogan_LCMS,HyperDriver,0.0831995661605197
Krogan_LCMS,DC,0.5691757049891478
Krogan_LCMS,BC,0.46633405639912723
Krogan_LCMS,EC,0.5524403470715775
Krogan_LCMS,Random,0.103698481561821
Krogan_MALDI,HyperDriver,0.1111839736666138
Krogan_MALDI,DC,0.4719179139021695
Krogan_MALDI,BC,0.420614102761914
Krogan_MALDI,EC,0.42996194002982524
Krogan_MALDI,Random,0.0810188756879072
Lambert,HyperDriver,0.19057519057515754
Lambert,DC,0.6136521136520073
Lambert,BC,0.558905058904962
Lambert,EC,0.5573458073457107
Lambert,Random,0.12439362439360284
Tarassov,HyperDriver,0.07354149548067511
Tarassov,DC,0.4800739523417255
Tarassov,BC,0.3654478225143045
Tarassov,EC,0.42666392769095585
Tarassov,Random,0.09408381265404804
Uetz,HyperDriver,0.07816229116940444
Uetz,DC,0.3269689737468216
Uetz,BC,0.2941527446298961
Uetz,EC,0.22255369928387675
Uetz,Random,0.08472553699278955
Yu,HyperDriver,0.11452879581148084
Yu,DC,0.4276832460731585
Yu,BC,0.39332460732971425
Yu,EC,0.30530104712031897
Yu,Random,0.12467277486906915
