Dataset,Strategy,MeanLogEnergy
Hazbun,BC,4.072887198144395
Hazbun,DC,4.542199982220356
Hazbun,EC,4.544710190563021
Hazbun,HyperDriver,3.2044672929788285
Hazbun,Random,3.631063055669626
Babu,BC,4.798521754714041
Babu,DC,4.843665331989424
Babu,EC,4.7141648791391875
Babu,HyperDriver,4.5005312667303
Babu,Random,4.616093283402008
Breitkreutz,BC,4.080854916461778
Breitkreutz,DC,4.25569653443788
Breitkreutz,EC,4.198836289409392
Breitkreutz,HyperDriver,3.862349948036218
Breitkreutz,Random,4.277766377434374
Gavin,BC,4.5515782315890405
Gavin,DC,4.78528320795085
Gavin,EC,4.784309107497453
Gavin,HyperDriver,4.270575968499431
Gavin,Random,5.249989460489534
Ho,BC,4.292569500977511
Ho,DC,4.401173650044867
Ho,EC,4.404996346839361
Ho,HyperDriver,4.036192979583085
Ho,Random,4.509125987444315
Ito,BC,4.361529218200963
Ito,DC,4.408227535657249
Ito,EC,4.3082369964812655
Ito,HyperDriver,4.233705149533152
Ito,Random,4.475935722933697
Krogan_LCMS,BC,4.480507180781012
Krogan_LCMS,DC,4.6764673620078225
Krogan_LCMS,EC,4.6812263750189835
Krogan_LCMS,HyperDriver,4.271474510713751
Krogan_LCMS,Random,5.437237161456783
Krogan_MALDI,BC,4.47046269116973
Krogan_MALDI,DC,4.644626925814786
Krogan_MALDI,EC,4.6253140679484455
Krogan_MALDI,HyperDriver,4.261790068262446
Krogan_MALDI,Random,5.27479652525897
Lambert,BC,4.210173196453886
Lambert,DC,4.559376947868508
Lambert,EC,4.51959257286867
Lambert,HyperDriver,3.7464086910330194
Lambert,Random,4.3592070521982125
Tarassov,BC,3.8184058586773744
Tarassov,DC,3.837195885281858
Tarassov,EC,3.8406864271974706
Tarassov,HyperDriver,3.760809453364015
Tarassov,Random,3.839390127129205
Uetz,BC,4.05212087200901
Uetz,DC,3.9910641917126637
Uetz,EC,4.009598430079244
Uetz,HyperDriver,3.7278391912893434
Uetz,Random,4.181186510232565
Yu,BC,3.9323397241483247
Yu,DC,3.9684236373726223
Yu,EC,3.92500278747884
Yu,HyperDriver,3.8248183504085973
Yu,Random,3.9073920443855727
