Dataset,Strategy,LogEnergy
Hazbun,BC,3.7519195011350583
Hazbun,DC,4.292061357845726
Hazbun,EC,4.2864683751405686
Hazbun,HyperDriver,3.2049063413377588
Hazbun,Random,3.487367107855723
Babu,BC,4.625395589101442
Babu,DC,4.672833159934474
Babu,EC,4.6484808649783735
Babu,HyperDriver,4.51855541086731
Babu,Random,4.657385359044904
Breitkreutz,BC,4.188425793518598
Breitkreutz,DC,4.537811157372862
Breitkreutz,EC,4.4773306077834585
Breitkreutz,HyperDriver,3.89913741586776
Breitkreutz,Random,4.28309469828008
Gavin,BC,4.538106231581557
Gavin,DC,4.622845045621649
Gavin,EC,4.597830201976095
Gavin,HyperDriver,4.278961889110265
Gavin,Random,4.715268435158
Ho,BC,4.173548043385792
Ho,DC,4.1817467222703
Ho,EC,4.193790788369728
Ho,HyperDriver,4.033087019530121
Ho,Random,4.530471161533221
Ito,BC,4.335757228535857
Ito,DC,4.362096990861768
Ito,EC,4.290823455497552
Ito,HyperDriver,4.228950591187471
Ito,Random,4.42392824738483
Krogan_LCMS,BC,4.310862400930346
Krogan_LCMS,DC,4.429819467564494
Krogan_LCMS,EC,4.409951890310841
Krogan_LCMS,HyperDriver,4.184955424568593
Krogan_LCMS,Random,4.568996083441349
Krogan_MALDI,BC,4.3564391297601075
Krogan_MALDI,DC,4.485450366354198
Krogan_MALDI,EC,4.410052171709883
Krogan_MALDI,HyperDriver,4.191108861559745
Krogan_MALDI,Random,4.5790027824382475
Lambert,BC,4.075230005306983
Lambert,DC,4.307569620218076
Lambert,EC,4.290523271216068
Lambert,HyperDriver,3.6989695734577057
Lambert,Random,4.250761958017621
Tarassov,BC,3.8366878078428974
Tarassov,DC,3.8665095333284234
Tarassov,EC,3.877016372765191
Tarassov,HyperDriver,3.786253526055455
Tarassov,Random,3.8915999812062476
Uetz,BC,3.8380849290443453
Uetz,DC,3.8456141430534116
Uetz,EC,3.774178791125516
Uetz,HyperDriver,3.730606767202524
Uetz,Random,3.767793272608437
Yu,BC,3.9615953462895974
Yu,DC,3.988527809387818
Yu,EC,3.9702829859003455
Yu,HyperDriver,3.8423512135505824
Yu,Random,3.9349473562481827
