Dataset,Total_Nodes_N,Identified_Drivers_K,Identification_Rate(%),HD_Log10_Energy(LCE),DC_Log10_Energy_Base,Energy_Reduction_Magnitude(MER),"Edge_Driver_Specificity(EDS,%)",Topo_Concentration_Ratio(TCR),Mean_Marginal_Gain(MEG)
Hazbun,143,16,11.19%,3.3651,4.8649,1.5,50.00%,1.28,0.755
Babu,5003,977,19.53%,4.3992,4.5074,0.11,77.28%,0.89,0.6055
Breitkreutz,869,149,17.15%,3.8195,4.4474,0.63,59.06%,1.03,0.6507
Gavin,2541,457,17.99%,4.1875,4.423,0.24,72.87%,0.94,0.6204
Ho,1548,282,18.22%,3.9369,4.044,0.11,70.21%,0.97,0.6317
Ito,2856,561,19.64%,4.1058,4.1977,0.09,80.21%,1.4,0.6198
Krogan_LCMS,2211,403,18.23%,4.0924,4.2192,0.13,75.68%,0.93,0.624
Krogan_MALDI,2099,377,17.96%,4.1015,4.3057,0.2,69.23%,1.03,0.6251
Lambert,697,124,17.79%,3.6067,4.2157,0.61,73.39%,1.52,0.6545
Tarassov,1053,208,19.75%,3.6626,3.7192,0.06,77.40%,0.97,0.6403
Uetz,922,184,19.96%,3.6014,3.6824,0.08,70.11%,0.91,0.6427
Yu,1163,228,19.60%,3.7195,3.829,0.11,78.07%,1.06,0.6368
