src_idx,dst_idx,t,weight
8,1816,0,0.9801
8,3601,0,0.9801
12,423,0,0.4624000000000001
12,1137,0,0.4624000000000001
12,1764,0,0.4624000000000001
13,2822,0,0.9801
13,4457,0,0.9801
15,106,0,0.9801
15,1478,0,0.9405
15,3062,0,0.9405
15,3079,0,0.9405
15,3706,0,0.9405
16,751,0,0.9801
16,1004,0,0.9405
16,2862,0,0.6732
16,3573,0,0.9801
18,471,0,0.9405
18,526,0,0.6732
18,2388,0,0.9801
31,802,0,0.9801
31,1099,0,0.9801
31,1689,0,0.6732
31,2532,0,0.9801
31,2969,0,0.9801
31,3711,0,0.9801
31,4480,0,0.9801
31,4759,0,0.9801
35,2140,0,0.9801
35,4284,0,0.6732
43,370,0,0.9801
45,287,0,0.9801
45,1756,0,0.6732
45,2625,0,0.9405
49,277,0,0.9405
49,1227,0,0.9025
49,1713,0,0.9405
49,3005,0,0.9405
49,4999,0,0.9405
52,4028,0,0.9801
52,4916,0,0.9801
53,1161,0,0.9801
54,3960,0,0.6732
57,944,0,0.9801
59,1215,0,0.9801
61,1620,0,0.9405
61,3606,0,0.6732
66,2532,0,0.9801
69,4419,0,0.9405
69,4422,0,0.9405
69,4867,0,0.9405
70,3421,0,0.9801
70,4678,0,0.9801
70,4958,0,0.9801
71,4069,0,0.9801
71,4864,0,0.6732
80,752,0,0.6732
80,1548,0,0.9801
80,1591,0,0.9801
80,2282,0,0.9801
80,3311,0,0.9801
80,3479,0,0.9801
80,3519,0,0.9801
80,4520,0,0.9801
80,4658,0,0.9801
92,4182,0,0.6732
93,453,0,0.9025
93,750,0,0.646
93,3465,0,0.9405
93,3575,0,0.9405
96,1287,0,0.6732
96,4454,0,0.9801
99,177,0,0.6732
99,4847,0,0.6732
103,256,0,0.9405
103,398,0,0.9405
103,850,0,0.9025
103,937,0,0.646
103,993,0,0.646
103,1028,0,0.646
103,1119,0,0.646
103,1316,0,0.9405
103,1692,0,0.646
103,1702,0,0.9025
103,2134,0,0.646
103,2453,0,0.646
103,3022,0,0.646
103,3251,0,0.9025
103,3557,0,0.9025
103,4089,0,0.646
103,4104,0,0.646
103,4166,0,0.646
103,4194,0,0.9025
103,4779,0,0.9025
103,4870,0,0.9025
103,4897,0,0.646
103,4946,0,0.9025
106,728,0,0.9801
106,2736,0,0.6732
106,3001,0,0.9801
106,3931,0,0.9405
107,234,0,0.646
107,263,0,0.9025
107,1829,0,0.9405
107,2099,0,0.9405
107,2186,0,0.9405
107,2730,0,0.9405
107,2896,0,0.9405
107,3952,0,0.9405
107,4083,0,0.646
107,4613,0,0.9405
108,1157,0,0.9801
108,1472,0,0.9801
108,2013,0,0.9801
108,3107,0,0.9801
108,4436,0,0.9801
108,4520,0,0.9801
109,1357,0,0.6732
109,2221,0,0.9801
109,3362,0,0.9801
112,1816,0,0.9801
112,3506,0,0.9801
122,622,0,0.6732
122,2781,0,0.9801
125,307,0,0.6732
125,727,0,0.4624000000000001
125,1188,0,0.6732
128,2244,0,0.9405
128,4573,0,0.646
131,1684,0,0.6732
131,2331,0,0.6732
131,4775,0,0.6732
133,485,0,0.9801
133,2737,0,0.9801
135,439,0,0.9801
135,1607,0,0.6732
135,3827,0,0.9801
140,237,0,0.646
140,531,0,0.646
140,1341,0,0.9025
140,2856,0,0.646
140,4210,0,0.646
140,4902,0,0.9405
141,1053,0,0.9405
141,1497,0,0.9405
141,3274,0,0.646
141,3810,0,0.9405
145,187,0,0.646
145,263,0,0.9025
145,313,0,0.9025
145,328,0,0.9405
145,436,0,0.9405
145,479,0,0.9025
145,861,0,0.9405
145,908,0,0.646
145,937,0,0.646
145,993,0,0.646
145,1028,0,0.646
145,1692,0,0.646
145,1702,0,0.9025
145,2134,0,0.646
145,2240,0,0.9025
145,2453,0,0.646
145,2659,0,0.646
145,2778,0,0.9405
145,2963,0,0.9405
145,3022,0,0.646
145,3086,0,0.9025
145,3176,0,0.646
145,3352,0,0.646
145,3557,0,0.9025
145,3642,0,0.9025
145,3762,0,0.9025
145,4022,0,0.9405
145,4089,0,0.646
145,4101,0,0.646
145,4104,0,0.646
145,4166,0,0.646
145,4168,0,0.9025
145,4179,0,0.646
145,4194,0,0.9025
145,4201,0,0.646
145,4598,0,0.646
145,4694,0,0.9025
145,4779,0,0.9025
145,4830,0,0.9405
145,4844,0,0.646
145,4897,0,0.646
145,4946,0,0.9025
149,4022,0,0.6732
149,4552,0,0.6732
151,737,0,0.9801
151,949,0,0.9801
151,1339,0,0.9801
151,2327,0,0.9801
151,4337,0,0.9801
152,1597,0,0.6732
152,2050,0,0.6732
152,3523,0,0.646
160,2335,0,0.6732
162,1468,0,0.9801
163,749,0,0.6732
163,2293,0,0.4624000000000001
163,3975,0,0.6732
163,4453,0,0.4624000000000001
168,2737,0,0.9801
168,3421,0,0.9801
171,2078,0,0.6732
171,4484,0,0.6732
183,1095,0,0.9801
183,2053,0,0.6732
183,3220,0,0.9801
183,3366,0,0.9801
183,4897,0,0.6732
185,948,0,0.9801
185,1507,0,0.9801
185,2221,0,0.9801
185,2732,0,0.9801
185,4013,0,0.9801
187,263,0,0.646
187,313,0,0.646
187,328,0,0.6732
187,479,0,0.646
187,861,0,0.6732
187,908,0,0.4624000000000001
187,1028,0,0.4624000000000001
187,1033,0,0.6732
187,1476,0,0.6732
187,1692,0,0.4624000000000001
187,1702,0,0.646
187,2134,0,0.4624000000000001
187,2240,0,0.646
187,2453,0,0.4624000000000001
187,2659,0,0.4624000000000001
187,2963,0,0.6732
187,3022,0,0.4624000000000001
187,3176,0,0.4624000000000001
187,3251,0,0.646
187,3352,0,0.4624000000000001
187,3557,0,0.646
187,3642,0,0.646
187,3762,0,0.646
187,4022,0,0.6732
187,4101,0,0.4624000000000001
187,4104,0,0.4624000000000001
187,4166,0,0.4624000000000001
187,4168,0,0.646
187,4179,0,0.4624000000000001
187,4194,0,0.646
187,4201,0,0.4624000000000001
187,4598,0,0.4624000000000001
