src_idx,dst_idx,weight
463,150,3.3614
80,684,3.3614
80,156,3.3614
80,743,3.3614
38,833,3.3614
38,71,3.3614
354,485,3.3614
354,848,3.3614
354,496,3.3614
106,234,3.3614
106,144,3.3614
482,256,3.3614
234,144,3.3614
850,231,3.3614
518,523,3.3614
176,595,3.3614
176,243,3.3614
176,697,3.3614
176,628,3.3614
398,223,3.3614
398,194,3.3614
398,200,3.3614
852,88,3.3614
852,79,3.3614
852,846,3.3614
852,254,3.3614
852,231,3.3614
852,646,3.3614
852,771,3.3614
852,498,3.3614
548,252,3.3614
595,243,3.3614
595,697,3.3614
595,628,3.3614
661,576,3.3614
661,721,3.3614
661,539,3.3614
806,684,3.3614
806,378,3.3614
658,72,3.3614
85,254,3.3614
593,833,3.3614
296,6,3.3614
485,848,3.3614
485,496,3.3614
88,846,3.3614
88,355,3.3614
583,792,3.3614
684,434,3.3614
684,645,3.3614
684,156,3.3614
684,743,3.3614
434,645,3.3614
833,191,3.3614
833,370,3.3614
193,687,3.3614
569,689,3.3614
79,645,3.3614
79,846,3.3614
79,254,3.3614
79,231,3.3614
79,355,3.3614
79,771,3.3614
79,498,3.3614
461,846,3.3614
461,35,3.3614
461,355,3.3614
461,788,3.3614
283,792,3.3614
191,780,3.3614
645,254,3.3614
645,378,3.3614
576,721,3.3614
576,616,3.3614
576,89,3.3614
576,351,3.3614
576,17,3.3614
576,104,3.3614
767,450,3.3614
156,743,3.3614
379,425,3.3614
721,616,3.3614
139,780,3.3614
848,496,3.3614
243,697,3.3614
243,628,3.3614
149,780,3.3614
149,262,3.3614
149,843,3.3614
149,396,3.3614
846,254,3.3614
846,250,3.3614
846,524,3.3614
846,797,3.3614
846,35,3.3614
846,355,3.3614
846,788,3.3614
195,859,3.3614
254,231,3.3614
254,646,3.3614
254,355,3.3614
254,771,3.3614
254,498,3.3614
223,194,3.3614
141,378,3.3614
780,262,3.3614
780,843,3.3614
780,396,3.3614
697,628,3.3614
231,771,3.3614
231,498,3.3614
194,200,3.3614
250,355,3.3614
250,788,3.3614
378,355,3.3614
165,104,3.3614
725,472,3.3614
616,17,3.3614
616,104,3.3614
524,35,3.3614
524,355,3.3614
204,72,3.3614
89,17,3.3614
262,843,3.3614
262,396,3.3614
797,35,3.3614
797,355,3.3614
797,788,3.3614
35,355,3.3614
35,788,3.3614
355,788,3.3614
17,104,3.3614
771,498,3.3614
482,165,3.36139999999999
612,399,3.36139999999999
743,378,3.36139999999999
661,17,3.3613999999998
658,204,3.3613999999998
583,283,3.3613999999998
576,539,3.3613999999998
721,539,3.3613999999998
223,200,3.3613999999998
539,17,3.3613999999998
89,104,3.36139999999965
833,378,3.36139999999915
850,852,3.36139999999808
852,722,3.36139999999808
249,551,3.36139999999795
249,167,3.36139999999795
623,526,3.36139999999795
494,382,3.36139999999795
494,230,3.36139999999795
2,839,3.36139999999795
2,766,3.36139999999795
2,794,3.36139999999795
2,786,3.36139999999795
2,395,3.36139999999795
382,230,3.36139999999795
839,766,3.36139999999795
839,794,3.36139999999795
839,786,3.36139999999795
839,395,3.36139999999795
766,794,3.36139999999795
766,786,3.36139999999795
766,395,3.36139999999795
469,336,3.36139999999795
794,786,3.36139999999795
794,395,3.36139999999795
629,68,3.36139999999795
551,167,3.36139999999795
786,395,3.36139999999795
294,355,3.36139999999782
80,806,3.36139999999736
80,434,3.36139999999736
806,156,3.36139999999736
862,811,3.36139999999736
862,138,3.36139999999736
434,156,3.36139999999736
231,646,3.36139999999736
631,524,3.36139999999736
593,191,3.36139999999663
846,231,3.36139999999663
461,797,3.3613999999958
88,250,3.36139999999161
463,635,3.36139999998681
80,141,3.36139999998681
156,141,3.36139999998681
139,149,3.36139999998585
165,86,3.36139999998585
482,86,3.36139999998289
607,149,3.36139999998289
837,616,3.36139999998289
616,351,3.36139999998289
86,662,3.36139999998289
384,266,3.36139999996067
384,375,3.36139999996067
530,512,3.36139999995668
25,625,3.36139999995668
249,728,3.36139999995668
482,239,3.36139999995668
548,2,3.36139999995668
548,839,3.36139999995668
548,766,3.36139999995668
548,794,3.36139999995668
548,786,3.36139999995668
548,395,3.36139999995668
2,830,3.36139999995668
239,662,3.36139999995668
728,551,3.36139999995668
728,167,3.36139999995668
839,830,3.36139999995668
766,830,3.36139999995668
614,629,3.36139999995668
614,68,3.36139999995668
508,469,3.36139999995668
508,336,3.36139999995668
712,186,3.36139999995668
712,263,3.36139999995668
712,512,3.36139999995668
794,830,3.36139999995668
786,830,3.36139999995668
89,690,3.36139999995668
395,830,3.36139999995668
539,104,3.36139999995421
806,743,3.3613999999537
593,370,3.3613999999537
434,743,3.3613999999537
231,250,3.3613999999537
250,771,3.3613999999537
593,645,3.36139999995167
282,658,3.36139999993366
88,788,3.36139999993366
576,462,3.36139999993366
721,17,3.36139999993366
462,17,3.36139999993366
607,780,3.36139999991811
254,250,3.36139999990588
852,355,3.36139999990485
86,104,3.36139999989538
461,524,3.36139999987061
106,503,3.36139999982371
635,560,3.36139999982371
767,144,3.36139999982371
743,141,3.36139999982371
165,256,3.36139999982371
25,646,3.36139999969981
477,283,3.36139999969981
661,690,3.36139999969981
2,252,3.36139999969981
839,252,3.36139999969981
766,252,3.36139999969981
794,252,3.36139999969981
629,21,3.36139999969981
68,21,3.36139999969981
114,247,3.36139999969981
539,690,3.36139999969981
786,252,3.36139999969981
97,215,3.36139999969981
395,252,3.36139999969981
294,846,3.36139999968864
282,72,3.36139999968742
613,654,3.36139999968742
866,689,3.36139999968742
88,231,3.36139999968742
123,318,3.36139999968742
231,788,3.36139999968742
631,35,3.36139999968742
645,141,3.36139999961784
38,370,3.36139999946064
593,378,3.36139999943452
79,646,3.36139999943074
661,616,3.36139999929142
539,616,3.36139999929142
530,712,3.36139999919772
482,662,3.36139999919772
850,722,3.36139999919772
176,618,3.36139999919772
548,830,3.36139999919772
595,618,3.36139999919772
804,837,3.36139999919772
243,618,3.36139999919772
195,529,3.36139999919772
77,356,3.36139999919772
697,618,3.36139999919772
837,89,3.36139999919772
628,618,3.36139999919772
576,165,3.36139999888969
721,165,3.36139999888969
852,191,3.3613999987495
249,716,3.36139999872249
477,792,3.36139999872249
709,560,3.36139999872249
494,716,3.36139999872249
449,716,3.36139999872249
239,256,3.36139999872249
361,57,3.36139999872249
382,716,3.36139999872249
560,84,3.36139999872249
577,381,3.36139999872249
716,551,3.36139999872249
716,230,3.36139999872249
716,167,3.36139999872249
256,215,3.36139999872249
593,231,3.36139999861086
852,250,3.3613999985788
461,250,3.3613999985788
645,797,3.36139999816045
137,254,3.36139999808103
254,788,3.36139999808103
451,799,3.36139999672581
721,104,3.36139999672581
462,104,3.36139999672581
477,583,3.36139999590939
866,629,3.36139999590939
866,68,3.36139999590939
784,493,3.36139999590939
576,690,3.36139999590939
721,690,3.36139999590939
123,752,3.36139999590939
513,647,3.36139999590939
462,690,3.36139999590939
690,17,3.36139999590939
589,165,3.36139999520325
139,396,3.36139999520325
843,396,3.36139999520325
152,625,3.36139999461422
661,89,3.36139999461422
661,351,3.36139999461422
625,646,3.36139999461422
614,21,3.36139999461422
859,529,3.36139999461422
539,89,3.36139999461422
539,351,3.36139999461422
252,830,3.36139999461422
86,256,3.36139999274795
852,788,3.36139999156152
88,461,3.36139999156152
61,11,3.36139999092081
231,355,3.36139999019083
631,355,3.36139999019083
850,254,3.3613999895026
254,722,3.3613999895026
25,231,3.36139998915449
280,186,3.36139998915449
862,834,3.36139998915449
569,278,3.36139998915449
569,430,3.36139998915449
589,717,3.36139998915449
589,215,3.36139998915449
278,689,3.36139998915449
487,725,3.36139998915449
689,430,3.36139998915449
498,855,3.36139998915449
191,149,3.36139998863173
79,191,3.36139998848614
38,593,3.3613999860807
631,797,3.3613999860807
234,767,3.36139998536539
234,503,3.36139998536539
829,846,3.36139998536539
38,378,3.36139998500516
378,797,3.36139998500516
833,645,3.36139997890713
150,560,3.36139997738788
147,767,3.36139997738788
728,716,3.36139997738788
767,677,3.36139997738788
503,450,3.36139997738788
256,662,3.36139997738788
709,635,3.36139997487826
239,165,3.36139997487826
141,46,3.36139997487826
141,366,3.36139997487826
144,499,3.36139997487826
165,717,3.36139997487826
80,378,3.36139997487172
156,378,3.36139997487172
716,780,3.36139997211982
829,79,3.36139997014327
79,250,3.36139997014327
852,593,3.36139996449137
561,811,3.36139996417038
561,138,3.36139996417038
811,138,3.36139996417038
539,247,3.36139996417038
137,85,3.36139995798719
79,797,3.36139995510885
451,144,3.36139995304813
139,425,3.36139995304813
257,645,3.36139994940327
645,370,3.36139994940327
344,104,3.3613999474391
690,104,3.3613999474391
141,355,3.36139994689394
354,71,3.3613999281416
482,721,3.3613999281416
485,71,3.3613999281416
866,614,3.3613999281416
799,195,3.3613999281416
799,529,3.3613999281416
576,837,3.3613999281416
721,89,3.3613999281416
721,351,3.3613999281416
837,17,3.3613999281416
462,89,3.3613999281416
462,351,3.3613999281416
351,17,3.3613999281416
645,355,3.36139992283867
806,833,3.36139991803935
668,817,3.36139991803935
684,689,3.36139991803935
153,11,3.36139991191527
25,852,3.36139989843413
461,497,3.36139989843413
765,557,3.36139989843413
557,758,3.36139989843413
294,797,3.36139986571103
463,560,3.36139985026449
153,352,3.36139985026449
250,524,3.36139985026449
97,256,3.36139985026449
780,472,3.36139984837788
684,378,3.36139984102018
593,616,3.36139982540457
589,86,3.36139982540457
684,278,3.36139981589019
817,271,3.36139981589019
530,280,3.36139981043996
280,712,3.36139981043996
850,593,3.36139981043996
176,668,3.36139981043996
595,668,3.36139981043996
593,722,3.36139981043996
625,231,3.36139981043996
668,243,3.36139981043996
668,697,3.36139981043996
668,628,3.36139981043996
668,266,3.36139981043996
668,618,3.36139981043996
569,756,3.36139981043996
756,689,3.36139981043996
607,396,3.36139981043996
722,231,3.36139981043996
79,461,3.36139977514782
79,557,3.36139977514782
378,370,3.36139975931255
684,141,3.36139972641048
137,645,3.36139971218303
239,86,3.36139968333706
344,616,3.36139968333706
86,717,3.36139968333706
294,461,3.36139966087387
451,254,3.36139965456443
191,396,3.36139965180468
846,631,3.36139965180468
846,771,3.36139965180468
102,720,3.36139964844659
159,383,3.36139964844659
159,471,3.36139964844659
159,371,3.36139964844659
159,542,3.36139964844659
404,187,3.36139964844659
404,363,3.36139964844659
404,224,3.36139964844659
404,443,3.36139964844659
404,838,3.36139964844659
404,746,3.36139964844659
404,337,3.36139964844659
404,824,3.36139964844659
404,738,3.36139964844659
404,109,3.36139964844659
187,363,3.36139964844659
187,224,3.36139964844659
187,443,3.36139964844659
187,838,3.36139964844659
187,746,3.36139964844659
187,337,3.36139964844659
187,824,3.36139964844659
187,738,3.36139964844659
187,109,3.36139964844659
745,304,3.36139964844659
642,615,3.36139964844659
642,545,3.36139964844659
642,322,3.36139964844659
220,405,3.36139964844659
220,284,3.36139964844659
63,306,3.36139964844659
63,424,3.36139964844659
363,224,3.36139964844659
363,443,3.36139964844659
363,838,3.36139964844659
363,746,3.36139964844659
363,337,3.36139964844659
363,824,3.36139964844659
363,738,3.36139964844659
363,109,3.36139964844659
224,443,3.36139964844659
224,838,3.36139964844659
224,746,3.36139964844659
224,337,3.36139964844659
224,824,3.36139964844659
224,738,3.36139964844659
224,109,3.36139964844659
443,838,3.36139964844659
443,746,3.36139964844659
443,337,3.36139964844659
443,824,3.36139964844659
443,738,3.36139964844659
443,109,3.36139964844659
168,75,3.36139964844659
742,10,3.36139964844659
132,357,3.36139964844659
838,746,3.36139964844659
838,337,3.36139964844659
838,824,3.36139964844659
838,738,3.36139964844659
838,109,3.36139964844659
519,270,3.36139964844659
519,798,3.36139964844659
519,520,3.36139964844659
519,64,3.36139964844659
405,284,3.36139964844659
706,403,3.36139964844659
706,293,3.36139964844659
615,545,3.36139964844659
615,322,3.36139964844659
746,337,3.36139964844659
746,824,3.36139964844659
746,738,3.36139964844659
746,109,3.36139964844659
306,424,3.36139964844659
383,471,3.36139964844659
383,371,3.36139964844659
383,542,3.36139964844659
120,559,3.36139964844659
120,307,3.36139964844659
337,824,3.36139964844659
337,738,3.36139964844659
337,109,3.36139964844659
471,371,3.36139964844659
471,542,3.36139964844659
559,307,3.36139964844659
400,854,3.36139964844659
824,738,3.36139964844659
824,109,3.36139964844659
460,678,3.36139964844659
251,372,3.36139964844659
403,293,3.36139964844659
270,798,3.36139964844659
270,520,3.36139964844659
270,64,3.36139964844659
798,520,3.36139964844659
798,64,3.36139964844659
545,322,3.36139964844659
520,64,3.36139964844659
738,109,3.36139964844659
371,542,3.36139964844659
137,79,3.36139961029004
88,79,3.36139961029004
79,788,3.36139961029004
106,450,3.36139956258344
150,635,3.36139956258344
147,144,3.36139956258344
607,843,3.36139956258344
4,144,3.36139956258344
379,266,3.36139956258344
379,375,3.36139956258344
144,677,3.36139956258344
165,351,3.36139956258344
165,662,3.36139956258344
61,698,3.36139952566778
661,462,3.36139952566778
866,21,3.36139952566778
88,524,3.36139952566778
583,500,3.36139952566778
71,848,3.36139952566778
71,496,3.36139952566778
799,859,3.36139952566778
539,462,3.36139952566778
247,17,3.36139952566778
524,788,3.36139952566778
234,499,3.36139947876509
234,366,3.36139947876509
623,384,3.36139947876509
526,384,3.36139947876509
191,278,3.36139947876509
165,616,3.36139941928116
829,250,3.36139937604314
153,560,3.36139937604314
767,503,3.36139937604314
850,79,3.36139935194297
79,722,3.36139935194297
487,472,3.36139917346402
684,79,3.36139910062348
354,425,3.36139908765482
482,104,3.36139908765482
485,425,3.36139908765482
425,375,3.36139908765482
837,104,3.36139908765482
351,104,3.36139908765482
797,208,3.36139908765482
797,649,3.36139908765482
191,378,3.36139896117633
