src_idx,dst_idx,weight
53,29,4.1867
53,41,4.1867
53,75,4.1867
53,139,4.1867
53,9,4.1867
53,43,4.1867
53,113,4.1867
53,71,4.1867
53,89,4.1867
53,131,4.1867
53,66,4.1867
53,126,4.1867
53,76,4.1867
53,6,4.1867
53,106,4.1867
53,46,4.1867
53,130,4.1867
53,83,4.1867
53,69,4.1867
53,1,4.1867
53,84,4.1867
53,55,4.1867
53,4,4.1867
53,138,4.1867
53,42,4.1867
111,19,4.1867
111,73,4.1867
111,96,4.1867
111,102,4.1867
111,88,4.1867
111,40,4.1867
111,78,4.1867
111,14,4.1867
31,123,4.1867
31,134,4.1867
31,122,4.1867
31,65,4.1867
31,98,4.1867
31,80,4.1867
31,90,4.1867
31,82,4.1867
31,85,4.1867
31,16,4.1867
19,73,4.1867
19,96,4.1867
19,102,4.1867
19,88,4.1867
19,40,4.1867
19,78,4.1867
19,14,4.1867
118,130,4.1867
118,20,4.1867
29,41,4.1867
29,75,4.1867
29,139,4.1867
29,9,4.1867
29,43,4.1867
29,113,4.1867
29,71,4.1867
29,89,4.1867
29,131,4.1867
29,66,4.1867
29,126,4.1867
29,76,4.1867
29,6,4.1867
29,106,4.1867
29,46,4.1867
29,130,4.1867
29,83,4.1867
29,69,4.1867
29,1,4.1867
29,84,4.1867
29,55,4.1867
29,4,4.1867
29,138,4.1867
29,42,4.1867
137,119,4.1867
137,35,4.1867
137,86,4.1867
132,50,4.1867
132,128,4.1867
132,59,4.1867
132,24,4.1867
132,68,4.1867
132,127,4.1867
132,36,4.1867
132,26,4.1867
132,87,4.1867
132,7,4.1867
132,18,4.1867
132,67,4.1867
123,134,4.1867
123,122,4.1867
123,65,4.1867
123,98,4.1867
123,80,4.1867
123,90,4.1867
123,82,4.1867
123,85,4.1867
123,16,4.1867
73,96,4.1867
73,102,4.1867
73,88,4.1867
73,40,4.1867
73,78,4.1867
73,14,4.1867
141,103,4.1867
141,57,4.1867
141,124,4.1867
141,104,4.1867
141,22,4.1867
50,128,4.1867
50,59,4.1867
50,24,4.1867
50,68,4.1867
50,127,4.1867
50,36,4.1867
50,26,4.1867
50,87,4.1867
50,7,4.1867
50,18,4.1867
50,67,4.1867
109,121,4.1867
63,100,4.1867
63,8,4.1867
63,51,4.1867
63,30,4.1867
63,28,4.1867
63,135,4.1867
63,44,4.1867
128,59,4.1867
128,24,4.1867
128,68,4.1867
128,127,4.1867
128,36,4.1867
128,26,4.1867
128,87,4.1867
128,7,4.1867
128,18,4.1867
128,67,4.1867
41,75,4.1867
41,139,4.1867
41,9,4.1867
41,43,4.1867
41,113,4.1867
41,71,4.1867
41,89,4.1867
41,131,4.1867
41,66,4.1867
41,126,4.1867
41,76,4.1867
41,6,4.1867
41,106,4.1867
41,46,4.1867
41,130,4.1867
41,83,4.1867
41,69,4.1867
41,1,4.1867
41,84,4.1867
41,55,4.1867
41,4,4.1867
41,138,4.1867
41,42,4.1867
58,52,4.1867
58,10,4.1867
58,99,4.1867
116,54,4.1867
116,94,4.1867
116,142,4.1867
116,49,4.1867
103,57,4.1867
103,124,4.1867
103,104,4.1867
103,22,4.1867
107,3,4.1867
107,37,4.1867
107,112,4.1867
107,114,4.1867
107,39,4.1867
107,115,4.1867
107,45,4.1867
107,117,4.1867
107,11,4.1867
107,74,4.1867
107,62,4.1867
56,60,4.1867
56,61,4.1867
56,15,4.1867
134,122,4.1867
134,65,4.1867
134,98,4.1867
134,80,4.1867
134,90,4.1867
134,82,4.1867
134,85,4.1867
134,16,4.1867
100,8,4.1867
100,30,4.1867
100,28,4.1867
100,44,4.1867
27,12,4.1867
27,0,4.1867
27,47,4.1867
27,32,4.1867
27,79,4.1867
27,125,4.1867
3,37,4.1867
3,112,4.1867
3,114,4.1867
3,39,4.1867
3,115,4.1867
3,45,4.1867
3,117,4.1867
3,11,4.1867
3,74,4.1867
3,62,4.1867
37,112,4.1867
37,114,4.1867
37,39,4.1867
37,115,4.1867
37,45,4.1867
37,117,4.1867
37,11,4.1867
37,74,4.1867
37,62,4.1867
75,139,4.1867
75,9,4.1867
75,43,4.1867
75,113,4.1867
75,71,4.1867
75,89,4.1867
75,131,4.1867
75,66,4.1867
75,126,4.1867
75,76,4.1867
75,6,4.1867
75,106,4.1867
75,46,4.1867
75,130,4.1867
75,83,4.1867
75,69,4.1867
75,1,4.1867
75,84,4.1867
75,55,4.1867
75,4,4.1867
75,138,4.1867
75,42,4.1867
12,0,4.1867
12,47,4.1867
12,32,4.1867
12,79,4.1867
12,125,4.1867
122,65,4.1867
122,98,4.1867
122,80,4.1867
122,90,4.1867
122,82,4.1867
122,85,4.1867
122,16,4.1867
139,9,4.1867
139,43,4.1867
139,113,4.1867
139,71,4.1867
139,89,4.1867
139,131,4.1867
139,66,4.1867
139,126,4.1867
139,76,4.1867
139,6,4.1867
139,106,4.1867
139,46,4.1867
139,130,4.1867
139,83,4.1867
139,69,4.1867
139,1,4.1867
139,84,4.1867
139,55,4.1867
139,4,4.1867
139,138,4.1867
139,42,4.1867
96,102,4.1867
96,88,4.1867
96,40,4.1867
96,78,4.1867
96,14,4.1867
52,10,4.1867
52,99,4.1867
112,114,4.1867
112,39,4.1867
112,115,4.1867
112,45,4.1867
112,117,4.1867
112,11,4.1867
112,74,4.1867
112,62,4.1867
8,51,4.1867
8,30,4.1867
8,28,4.1867
8,135,4.1867
8,44,4.1867
60,61,4.1867
60,15,4.1867
9,43,4.1867
9,113,4.1867
9,71,4.1867
9,89,4.1867
9,131,4.1867
9,66,4.1867
9,126,4.1867
9,76,4.1867
9,6,4.1867
9,106,4.1867
9,46,4.1867
9,130,4.1867
9,83,4.1867
9,69,4.1867
9,1,4.1867
9,84,4.1867
9,55,4.1867
9,4,4.1867
9,138,4.1867
9,42,4.1867
51,28,4.1867
51,135,4.1867
51,44,4.1867
21,108,4.1867
21,81,4.1867
21,38,4.1867
0,47,4.1867
0,32,4.1867
0,79,4.1867
0,125,4.1867
17,129,4.1867
17,23,4.1867
43,113,4.1867
43,71,4.1867
43,89,4.1867
43,131,4.1867
43,66,4.1867
43,126,4.1867
43,76,4.1867
43,6,4.1867
43,106,4.1867
43,46,4.1867
43,130,4.1867
43,83,4.1867
43,69,4.1867
43,1,4.1867
43,84,4.1867
43,55,4.1867
43,4,4.1867
43,138,4.1867
43,42,4.1867
114,39,4.1867
114,115,4.1867
114,45,4.1867
114,117,4.1867
114,11,4.1867
114,74,4.1867
114,62,4.1867
129,23,4.1867
113,71,4.1867
113,89,4.1867
113,131,4.1867
113,66,4.1867
113,126,4.1867
113,76,4.1867
113,6,4.1867
113,106,4.1867
113,46,4.1867
113,130,4.1867
113,83,4.1867
113,69,4.1867
113,1,4.1867
113,84,4.1867
113,55,4.1867
113,4,4.1867
113,138,4.1867
113,42,4.1867
71,89,4.1867
71,131,4.1867
71,66,4.1867
71,126,4.1867
71,76,4.1867
71,6,4.1867
71,106,4.1867
71,46,4.1867
71,130,4.1867
71,83,4.1867
71,69,4.1867
71,1,4.1867
71,84,4.1867
71,55,4.1867
71,4,4.1867
71,138,4.1867
71,42,4.1867
77,97,4.1867
39,115,4.1867
39,45,4.1867
39,117,4.1867
39,11,4.1867
39,74,4.1867
39,62,4.1867
102,88,4.1867
102,40,4.1867
102,78,4.1867
102,14,4.1867
70,133,4.1867
89,131,4.1867
89,66,4.1867
89,126,4.1867
89,76,4.1867
89,6,4.1867
89,106,4.1867
89,46,4.1867
89,130,4.1867
89,83,4.1867
89,69,4.1867
89,1,4.1867
89,84,4.1867
89,55,4.1867
89,4,4.1867
89,138,4.1867
131,66,4.1867
131,126,4.1867
131,76,4.1867
131,6,4.1867
131,106,4.1867
131,46,4.1867
131,130,4.1867
131,83,4.1867
131,69,4.1867
131,1,4.1867
131,84,4.1867
131,55,4.1867
131,4,4.1867
131,138,4.1867
47,32,4.1867
47,79,4.1867
47,125,4.1867
61,15,4.1867
65,98,4.1867
65,80,4.1867
65,90,4.1867
65,82,4.1867
