src_idx,dst_idx,weight
214,117,2.9495
214,5,2.9495
214,94,2.9495
214,370,2.9495
214,662,2.9495
78,162,2.9495
78,138,2.9495
78,417,2.9495
392,471,2.9495
242,652,2.9495
242,692,2.9495
385,540,2.9495
27,686,2.9495
354,540,2.9495
354,485,2.9495
52,501,2.9495
52,693,2.9495
52,279,2.9495
52,53,2.9495
52,690,2.9495
52,395,2.9495
52,557,2.9495
52,644,2.9495
52,474,2.9495
52,357,2.9495
52,367,2.9495
52,425,2.9495
52,22,2.9495
52,258,2.9495
52,47,2.9495
52,686,2.9495
52,7,2.9495
52,140,2.9495
52,467,2.9495
52,106,2.9495
52,79,2.9495
52,377,2.9495
52,671,2.9495
52,419,2.9495
165,112,2.9495
165,413,2.9495
54,540,2.9495
675,652,2.9495
675,377,2.9495
648,295,2.9495
648,123,2.9495
648,411,2.9495
648,129,2.9495
648,593,2.9495
648,652,2.9495
648,121,2.9495
648,117,2.9495
648,5,2.9495
648,682,2.9495
648,370,2.9495
648,540,2.9495
648,69,2.9495
648,53,2.9495
648,416,2.9495
648,39,2.9495
648,461,2.9495
648,347,2.9495
648,410,2.9495
648,290,2.9495
648,372,2.9495
648,585,2.9495
648,413,2.9495
648,628,2.9495
648,60,2.9495
648,408,2.9495
648,317,2.9495
648,168,2.9495
648,25,2.9495
648,357,2.9495
648,517,2.9495
648,549,2.9495
648,261,2.9495
648,442,2.9495
648,619,2.9495
648,286,2.9495
648,161,2.9495
648,686,2.9495
648,687,2.9495
648,566,2.9495
648,355,2.9495
648,115,2.9495
648,138,2.9495
648,662,2.9495
648,504,2.9495
648,88,2.9495
648,548,2.9495
648,575,2.9495
648,104,2.9495
295,123,2.9495
295,163,2.9495
295,411,2.9495
295,211,2.9495
295,129,2.9495
295,602,2.9495
295,76,2.9495
295,109,2.9495
295,567,2.9495
295,271,2.9495
295,684,2.9495
295,656,2.9495
295,593,2.9495
295,652,2.9495
295,199,2.9495
295,252,2.9495
295,172,2.9495
295,651,2.9495
295,117,2.9495
295,273,2.9495
295,682,2.9495
295,61,2.9495
295,288,2.9495
295,152,2.9495
295,215,2.9495
295,370,2.9495
295,141,2.9495
295,69,2.9495
295,183,2.9495
295,670,2.9495
295,416,2.9495
295,482,2.9495
295,363,2.9495
295,250,2.9495
295,232,2.9495
295,461,2.9495
295,347,2.9495
295,448,2.9495
295,410,2.9495
295,290,2.9495
295,372,2.9495
295,585,2.9495
295,606,2.9495
295,668,2.9495
295,23,2.9495
295,220,2.9495
295,659,2.9495
295,628,2.9495
295,60,2.9495
295,296,2.9495
295,114,2.9495
295,434,2.9495
295,485,2.9495
295,118,2.9495
295,317,2.9495
295,168,2.9495
295,649,2.9495
295,50,2.9495
295,25,2.9495
295,357,2.9495
295,67,2.9495
295,517,2.9495
295,549,2.9495
295,653,2.9495
295,598,2.9495
295,30,2.9495
295,261,2.9495
295,442,2.9495
295,362,2.9495
295,619,2.9495
295,550,2.9495
295,616,2.9495
295,66,2.9495
295,390,2.9495
295,583,2.9495
295,208,2.9495
295,431,2.9495
295,505,2.9495
295,225,2.9495
295,687,2.9495
295,566,2.9495
295,158,2.9495
295,355,2.9495
295,115,2.9495
295,138,2.9495
295,662,2.9495
295,89,2.9495
295,420,2.9495
295,660,2.9495
295,302,2.9495
295,504,2.9495
295,56,2.9495
295,88,2.9495
295,655,2.9495
295,597,2.9495
295,377,2.9495
295,594,2.9495
295,575,2.9495
295,240,2.9495
295,437,2.9495
295,591,2.9495
295,104,2.9495
295,17,2.9495
295,340,2.9495
295,235,2.9495
480,317,2.9495
480,25,2.9495
123,129,2.9495
123,679,2.9495
123,478,2.9495
123,651,2.9495
123,117,2.9495
123,565,2.9495
123,53,2.9495
123,97,2.9495
123,482,2.9495
123,363,2.9495
123,678,2.9495
123,220,2.9495
123,628,2.9495
123,401,2.9495
123,312,2.9495
123,168,2.9495
123,208,2.9495
123,566,2.9495
123,62,2.9495
123,355,2.9495
123,660,2.9495
123,56,2.9495
123,212,2.9495
123,597,2.9495
123,591,2.9495
123,104,2.9495
206,347,2.9495
163,129,2.9495
163,593,2.9495
163,121,2.9495
163,117,2.9495
163,5,2.9495
163,370,2.9495
163,416,2.9495
163,347,2.9495
163,372,2.9495
163,413,2.9495
163,628,2.9495
163,60,2.9495
163,317,2.9495
163,168,2.9495
163,25,2.9495
163,633,2.9495
163,517,2.9495
163,549,2.9495
163,66,2.9495
163,566,2.9495
163,33,2.9495
163,662,2.9495
163,104,2.9495
163,627,2.9495
19,628,2.9495
82,147,2.9495
228,147,2.9495
217,445,2.9495
411,129,2.9495
411,567,2.9495
411,117,2.9495
411,97,2.9495
411,372,2.9495
411,23,2.9495
411,317,2.9495
411,168,2.9495
411,25,2.9495
411,505,2.9495
411,566,2.9495
411,591,2.9495
411,340,2.9495
486,692,2.9495
486,53,2.9495
486,378,2.9495
486,686,2.9495
105,377,2.9495
579,104,2.9495
35,290,2.9495
307,272,2.9495
307,377,2.9495
129,406,2.9495
129,344,2.9495
129,567,2.9495
129,271,2.9495
129,593,2.9495
129,652,2.9495
129,121,2.9495
129,31,2.9495
129,310,2.9495
129,651,2.9495
129,117,2.9495
129,273,2.9495
129,179,2.9495
129,5,2.9495
129,12,2.9495
129,382,2.9495
129,682,2.9495
129,288,2.9495
129,346,2.9495
129,152,2.9495
129,215,2.9495
129,370,2.9495
129,540,2.9495
129,141,2.9495
129,183,2.9495
129,327,2.9495
129,565,2.9495
129,195,2.9495
129,53,2.9495
129,97,2.9495
129,391,2.9495
129,416,2.9495
129,573,2.9495
129,363,2.9495
129,298,2.9495
129,461,2.9495
129,347,2.9495
129,234,2.9495
129,678,2.9495
129,410,2.9495
129,38,2.9495
129,290,2.9495
129,372,2.9495
129,585,2.9495
129,42,2.9495
129,564,2.9495
129,560,2.9495
129,358,2.9495
129,677,2.9495
129,23,2.9495
129,352,2.9495
129,156,2.9495
129,176,2.9495
129,220,2.9495
129,659,2.9495
129,628,2.9495
129,26,2.9495
129,317,2.9495
129,168,2.9495
129,649,2.9495
129,275,2.9495
129,451,2.9495
129,25,2.9495
129,67,2.9495
129,517,2.9495
129,549,2.9495
129,465,2.9495
129,30,2.9495
129,145,2.9495
129,261,2.9495
129,442,2.9495
129,619,2.9495
129,66,2.9495
129,390,2.9495
129,583,2.9495
129,269,2.9495
129,534,2.9495
129,208,2.9495
129,270,2.9495
129,161,2.9495
129,431,2.9495
129,505,2.9495
129,566,2.9495
129,193,2.9495
129,355,2.9495
129,33,2.9495
129,138,2.9495
129,662,2.9495
129,660,2.9495
129,24,2.9495
129,302,2.9495
129,504,2.9495
129,56,2.9495
129,14,2.9495
129,597,2.9495
129,594,2.9495
129,575,2.9495
129,240,2.9495
129,437,2.9495
129,591,2.9495
129,384,2.9495
129,104,2.9495
129,17,2.9495
129,340,2.9495
129,237,2.9495
8,652,2.9495
8,377,2.9495
602,147,2.9495
245,652,2.9495
245,692,2.9495
245,272,2.9495
245,39,2.9495
245,377,2.9495
194,117,2.9495
194,566,2.9495
194,104,2.9495
216,416,2.9495
216,347,2.9495
216,290,2.9495
216,524,2.9495
216,137,2.9495
406,117,2.9495
406,355,2.9495
406,104,2.9495
254,162,2.9495
254,138,2.9495
254,417,2.9495
612,692,2.9495
612,39,2.9495
612,168,2.9495
612,377,2.9495
681,153,2.9495
681,514,2.9495
681,469,2.9495
681,693,2.9495
681,279,2.9495
681,53,2.9495
681,694,2.9495
681,329,2.9495
