src_idx,dst_idx,weight
579,42,194897
221,708,182953
34,594,164425
310,893,152047
694,880,151519
143,277,150576
739,383,148157
440,949,148063
152,137,143088
594,388,136012
999,926,134179
976,431,134088
123,196,133929
265,949,133232
579,493,131181
914,39,131077
705,724,129491
976,708,127207
914,342,126808
375,691,124904
692,914,124087
1045,976,123325
117,376,121993
438,283,121608
579,1013,120787
80,361,119478
319,383,119455
394,470,117849
943,582,117656
124,787,115494
574,275,114924
726,248,113901
159,907,112584
357,376,111599
159,49,110690
832,320,110208
123,183,110085
401,383,109304
1019,526,108686
899,431,108474
991,975,107944
993,949,107845
646,143,107447
991,191,106925
315,604,106875
791,651,106603
304,595,106515
364,687,104913
152,610,104882
523,421,104611
692,949,103812
772,335,103439
831,143,101977
914,949,101589
822,492,101467
247,740,100980
551,376,100787
975,316,100682
143,70,100490
608,953,100223
431,221,100213
677,820,100064
61,562,100000
843,311,99891
914,794,99307
10,453,99173
190,293,99070
756,285,97827
914,787,97798
618,383,97012
629,651,96901
692,738,96822
582,651,96799
377,651,96592
117,610,96180
818,691,96030
357,766,95624
515,285,95489
938,604,95079
211,595,94547
822,143,94466
643,691,93173
759,891,92894
542,914,92837
927,35,92741
794,949,92723
890,403,92418
993,692,92209
622,949,92201
544,310,92197
692,794,91540
544,893,91174
364,504,90648
332,417,90425
706,437,89883
739,145,89764
117,766,89628
315,70,89574
739,192,89348
122,456,89246
643,70,88699
722,247,88639
117,729,88563
993,787,88519
117,118,87958
766,376,87880
515,361,87815
159,285,87654
145,713,87568
914,449,87313
176,567,86964
787,39,86897
853,610,86662
159,126,86554
622,738,86544
176,192,86278
143,604,86245
900,578,86091
579,161,86090
315,938,85944
861,145,85554
440,449,85471
124,738,85270
228,320,85108
1000,383,84770
747,149,84492
311,288,84234
667,949,83816
399,29,83747
756,159,83638
342,823,83621
80,904,83292
707,708,82950
972,576,82759
117,357,82654
342,440,82593
492,691,82309
755,57,82177
143,733,82124
692,1003,82049
952,421,81730
914,738,81014
499,579,80889
772,642,80637
117,595,80166
993,738,80003
557,738,79946
1006,715,79895
406,313,79835
594,1052,79723
80,774,79467
583,458,79414
290,10,79402
507,635,79270
581,586,78872
594,757,78838
991,422,78752
1051,164,78646
118,729,78644
80,715,78556
449,949,78259
462,507,78011
579,255,77875
207,818,77784
691,389,77710
993,794,77656
437,651,77549
39,596,77478
118,828,77383
143,788,77369
124,794,77003
695,622,76904
814,284,76662
145,439,76602
787,794,76512
993,914,76437
67,723,76339
329,926,76220
643,492,75992
439,192,75832
823,321,75828
49,744,75815
230,803,75593
692,1,75548
583,473,75424
143,96,75275
159,774,75175
542,738,75084
207,848,74912
822,71,74547
463,145,74349
688,437,74166
695,794,74111
794,449,74005
822,733,73842
563,994,73681
991,316,73401
810,145,73153
297,467,73134
976,221,73063
440,775,72945
861,192,72901
808,959,72698
542,36,72676
394,563,72453
864,648,72022
692,449,72016
204,49,71949
440,65,71831
794,440,71664
655,729,71528
542,794,71466
124,692,71329
143,954,71295
189,949,71034
861,739,70956
189,449,70942
590,341,70938
959,467,70876
153,914,70749
670,792,70706
123,365,70684
342,949,70543
1006,774,70504
706,39,70489
359,604,70474
256,807,70463
993,449,70393
504,687,70253
907,285,70180
342,321,70146
241,799,69963
822,691,69806
265,440,69718
573,383,69559
594,472,69531
759,39,69512
196,411,69453
542,774,69424
692,440,69403
875,356,69387
810,167,69346
794,738,69238
381,221,69189
695,993,69071
290,453,69048
334,953,69031
688,377,68867
1006,361,68403
907,540,68353
34,238,68332
802,794,68287
967,381,68028
80,159,67928
941,228,67883
362,233,67716
802,342,67703
614,1019,67544
463,192,67354
256,451,67334
688,651,67321
480,341,67234
359,315,67187
850,744,67181
791,629,67143
634,49,67122
245,143,67090
914,440,67031
449,693,67031
709,594,66994
681,383,66871
670,164,66371
825,372,66340
695,153,66281
853,376,66281
265,342,66276
1038,946,66244
895,178,66231
492,733,66124
993,1,66066
604,70,66049
92,545,65885
810,375,65868
375,700,65804
143,302,65779
440,1,65743
914,667,65729
721,311,65679
304,376,65666
849,20,65635
196,388,65477
563,482,65469
473,735,65445
534,45,65421
145,192,65264
441,721,65262
334,167,65162
738,39,64966
172,967,64684
353,594,64570
622,577,64306
822,402,64262
899,708,64031
774,361,64018
80,1006,63938
595,376,63933
152,766,63927
399,313,63906
931,199,63735
797,438,63621
810,651,63457
594,196,63447
688,953,63325
247,381,63315
810,736,63270
620,766,63257
124,577,63099
172,722,62795
729,610,62758
791,198,62512
953,672,62383
159,337,62381
802,321,62370
186,766,62370
62,949,62366
822,848,62332
334,145,62300
239,733,62271
967,740,62262
534,1024,62229
353,388,62210
810,23,62068
198,994,61926
622,914,61925
397,949,61908
1044,725,61815
293,624,61812
265,775,61796
562,300,61788
95,526,61767
756,49,61752
159,515,61692
869,403,61689
556,49,61618
80,49,61596
643,818,61592
1003,794,61587
35,309,61413
634,891,61361
124,914,61256
88,308,61229
454,984,61096
679,651,61040
551,729,60905
394,482,60855
738,449,60711
172,247,60702
232,80,60683
1,449,60600
808,1021,60547
949,284,60521
143,207,60497
863,26,60477
822,775,60471
715,361,60384
914,1,60342
441,843,60303
861,439,60288
818,733,60263
363,160,60173
334,23,60143
953,662,60128
914,596,60128
845,313,60117
943,651,60082
27,244,60064
3,746,59987
634,159,59959
569,1019,59866
1039,740,59826
700,733,59788
172,740,59712
629,437,59708
67,101,59667
823,949,59440
375,207,59403
739,319,59352
953,914,59341
207,1041,59315
920,49,59300
1045,1019,59276
850,49,59069
143,83,59036
927,309,58998
914,1003,58975
1039,967,58973
914,177,58896
756,1006,58888
143,374,58802
159,343,58794
695,124,58754
740,381,58613
808,467,58532
421,123,58503
143,511,58483
794,775,58473
738,949,58358
907,49,58278
791,394,58268
629,375,58245
198,723,58227
438,145,58185
794,1,58159
42,417,58031
774,904,57934
713,192,57887
86,71,57872
622,794,57837
822,599,57833
174,58,57821
239,691,57801
34,709,57714
791,943,57623
196,365,57623
153,692,57586
412,738,57441
202,313,57385
153,794,57383
101,723,57383
383,1008,57383
22,377,57360
462,635,57277
896,975,57245
667,738,57178
124,511,56979
124,622,56954
791,688,56938
512,496,56929
312,949,56912
265,321,56846
551,766,56802
67,688,56744
691,70,56699
211,933,56683
422,372,56644
931,914,56623
492,90,56621
313,29,56600
335,642,56592
394,980,56493
36,774,56359
802,914,56291
853,357,56283
124,596,56242
569,517,56231
974,594,56215
929,869,56159
791,563,56145
395,480,56085
540,744,56079
594,891,56017
892,293,55999
608,199,55992
374,691,55976
342,65,55974
2,376,55904
993,570,55879
190,468,55839
545,431,55811
1006,904,55787
383,306,55784
153,787,55771
1006,49,55724
505,953,55646
49,904,55586
706,651,55567
159,850,55566
438,861,55495
117,234,55455
80,36,55353
594,365,55346
166,836,55327
980,563,55295
787,872,55284
377,953,55172
781,183,55145
492,375,55110
232,515,55035
622,1003,55019
43,485,54914
976,899,54905
212,1006,54904
914,321,54882
608,790,54880
542,715,54862
176,145,54846
440,663,54830
143,799,54815
583,735,54777
312,914,54769
835,673,54701
108,411,54635
534,416,54609
413,949,54523
1034,788,54474
943,679,54434
265,105,54394
152,376,54366
343,285,54342
408,383,54316
354,272,54271
972,1025,54183
313,714,54055
189,596,53989
750,792,53986
229,691,53964
557,787,53863
697,668,53863
622,412,53846
833,39,53674
