src_idx,dst_idx,weight
465,723,3.6326
736,206,3.6326
756,907,3.6326
756,761,3.6326
28,397,3.6326
28,18,3.6326
28,490,3.6326
456,669,3.6326
122,41,3.6326
78,665,3.6326
82,798,3.6326
200,135,3.6326
200,247,3.6326
80,696,3.6326
893,307,3.6326
893,148,3.6326
730,340,3.6326
730,480,3.6326
111,326,3.6326
15,48,3.6326
532,437,3.6326
4,501,3.6326
417,409,3.6326
245,420,3.6326
245,791,3.6326
10,662,3.6326
10,649,3.6326
189,133,3.6326
189,535,3.6326
189,352,3.6326
189,888,3.6326
189,593,3.6326
189,831,3.6326
189,373,3.6326
189,737,3.6326
189,901,3.6326
189,485,3.6326
189,609,3.6326
257,712,3.6326
138,296,3.6326
394,390,3.6326
394,481,3.6326
311,36,3.6326
685,360,3.6326
742,772,3.6326
423,822,3.6326
423,7,3.6326
426,259,3.6326
319,284,3.6326
23,696,3.6326
606,104,3.6326
76,125,3.6326
76,91,3.6326
547,52,3.6326
547,666,3.6326
547,220,3.6326
288,30,3.6326
83,890,3.6326
83,738,3.6326
503,373,3.6326
816,705,3.6326
816,803,3.6326
33,655,3.6326
418,884,3.6326
618,740,3.6326
101,455,3.6326
101,1,3.6326
101,376,3.6326
612,241,3.6326
286,686,3.6326
286,681,3.6326
8,735,3.6326
121,584,3.6326
493,148,3.6326
177,660,3.6326
177,345,3.6326
279,199,3.6326
27,810,3.6326
218,128,3.6326
130,607,3.6326
515,137,3.6326
515,665,3.6326
515,182,3.6326
515,369,3.6326
191,909,3.6326
340,36,3.6326
340,835,3.6326
340,73,3.6326
340,608,3.6326
646,907,3.6326
699,751,3.6326
627,313,3.6326
634,345,3.6326
653,773,3.6326
711,651,3.6326
508,910,3.6326
221,44,3.6326
525,241,3.6326
525,776,3.6326
525,13,3.6326
525,605,3.6326
906,701,3.6326
906,788,3.6326
787,386,3.6326
885,898,3.6326
642,856,3.6326
410,104,3.6326
410,378,3.6326
284,211,3.6326
645,87,3.6326
601,357,3.6326
66,104,3.6326
670,166,3.6326
655,126,3.6326
762,87,3.6326
434,47,3.6326
164,832,3.6326
237,595,3.6326
56,753,3.6326
537,500,3.6326
537,225,3.6326
824,902,3.6326
295,72,3.6326
295,828,3.6326
229,828,3.6326
59,610,3.6326
159,732,3.6326
159,625,3.6326
159,600,3.6326
159,638,3.6326
159,19,3.6326
159,398,3.6326
159,147,3.6326
159,353,3.6326
58,208,3.6326
512,614,3.6326
512,482,3.6326
458,754,3.6326
458,436,3.6326
327,800,3.6326
476,213,3.6326
476,416,3.6326
476,650,3.6326
476,664,3.6326
476,285,3.6326
476,626,3.6326
246,355,3.6326
246,106,3.6326
805,719,3.6326
805,133,3.6326
805,51,3.6326
805,838,3.6326
805,450,3.6326
805,39,3.6326
805,758,3.6326
805,432,3.6326
805,785,3.6326
763,463,3.6326
727,538,3.6326
727,335,3.6326
125,355,3.6326
125,731,3.6326
743,874,3.6326
88,696,3.6326
217,764,3.6326
877,81,3.6326
150,134,3.6326
136,317,3.6326
359,572,3.6326
260,153,3.6326
590,261,3.6326
564,330,3.6326
210,170,3.6326
210,349,3.6326
55,888,3.6326
662,115,3.6326
320,158,3.6326
320,332,3.6326
719,836,3.6326
719,833,3.6326
719,383,3.6326
719,671,3.6326
719,667,3.6326
377,789,3.6326
287,494,3.6326
706,544,3.6326
706,411,3.6326
95,32,3.6326
297,470,3.6326
740,623,3.6326
740,823,3.6326
740,414,3.6326
740,741,3.6326
262,64,3.6326
133,303,3.6326
133,485,3.6326
190,556,3.6326
757,332,3.6326
283,358,3.6326
283,45,3.6326
855,697,3.6326
46,445,3.6326
195,388,3.6326
619,3,3.6326
639,269,3.6326
639,864,3.6326
594,652,3.6326
114,243,3.6326
896,651,3.6326
904,847,3.6326
904,764,3.6326
904,431,3.6326
829,242,3.6326
520,856,3.6326
84,513,3.6326
65,780,3.6326
879,296,3.6326
726,548,3.6326
521,31,3.6326
212,636,3.6326
17,108,3.6326
118,750,3.6326
591,293,3.6326
884,216,3.6326
313,765,3.6326
48,729,3.6326
174,731,3.6326
633,462,3.6326
633,97,3.6326
222,405,3.6326
222,768,3.6326
746,496,3.6326
296,644,3.6326
391,691,3.6326
486,615,3.6326
31,34,3.6326
31,148,3.6326
449,868,3.6326
845,67,3.6326
510,447,3.6326
54,799,3.6326
536,696,3.6326
444,277,3.6326
444,724,3.6326
444,683,3.6326
155,836,3.6326
247,390,3.6326
185,446,3.6326
185,24,3.6326
185,894,3.6326
368,811,3.6326
158,549,3.6326
853,355,3.6326
853,209,3.6326
669,555,3.6326
231,269,3.6326
231,843,3.6326
231,424,3.6326
523,549,3.6326
523,641,3.6326
523,843,3.6326
523,148,3.6326
544,321,3.6326
544,652,3.6326
704,696,3.6326
421,366,3.6326
421,499,3.6326
421,723,3.6326
411,819,3.6326
411,414,3.6326
411,236,3.6326
666,374,3.6326
666,361,3.6326
666,485,3.6326
666,370,3.6326
747,67,3.6326
747,626,3.6326
60,361,3.6326
85,96,3.6326
475,714,3.6326
334,856,3.6326
331,453,3.6326
331,668,3.6326
331,489,3.6326
331,448,3.6326
331,50,3.6326
331,338,3.6326
331,511,3.6326
202,624,3.6326
176,365,3.6326
487,167,3.6326
419,526,3.6326
233,314,3.6326
387,744,3.6326
707,228,3.6326
585,509,3.6326
585,457,3.6326
553,18,3.6326
553,483,3.6326
553,490,3.6326
553,67,3.6326
459,22,3.6326
143,263,3.6326
143,373,3.6326
143,557,3.6326
143,349,3.6326
567,380,3.6326
567,776,3.6326
836,384,3.6326
836,241,3.6326
836,916,3.6326
836,252,3.6326
836,546,3.6326
836,688,3.6326
836,667,3.6326
836,179,3.6326
836,37,3.6326
836,720,3.6326
836,396,3.6326
836,708,3.6326
549,702,3.6326
549,157,3.6326
549,298,3.6326
309,782,3.6326
698,492,3.6326
208,467,3.6326
535,812,3.6326
535,831,3.6326
621,471,3.6326
412,376,3.6326
909,79,3.6326
909,643,3.6326
909,342,3.6326
277,201,3.6326
624,255,3.6326
902,716,3.6326
902,457,3.6326
68,696,3.6326
68,376,3.6326
660,640,3.6326
660,551,3.6326
660,679,3.6326
178,293,3.6326
453,350,3.6326
367,617,3.6326
367,438,3.6326
367,269,3.6326
44,346,3.6326
308,374,3.6326
308,171,3.6326
308,793,3.6326
478,207,3.6326
478,903,3.6326
478,495,3.6326
543,529,3.6326
543,858,3.6326
513,873,3.6326
406,739,3.6326
406,113,3.6326
