src_idx,dst_idx,weight
346,978,3.2738
346,203,3.2738
346,1079,3.2738
296,714,3.2738
967,180,3.2738
606,203,3.2738
858,316,3.2738
105,1047,3.2738
346,237,3.2738
346,1160,3.2738
346,265,3.2738
346,1029,3.2738
346,937,3.2738
346,453,3.2738
815,203,3.2738
679,942,3.2738
139,232,3.2738
346,716,3.2738
491,1044,3.2738
810,943,3.2738
769,1029,3.2738
1087,778,3.2738
310,203,3.2738
672,746,3.2738
346,232,3.2738
346,1015,3.2738
346,807,3.2738
1162,178,3.2738
112,1044,3.2738
1146,862,3.2738
440,1127,3.2738
510,714,3.2738
292,1142,3.2738
824,203,3.2738
403,844,3.2738
583,656,3.2738
1036,521,3.2738
558,1013,3.2738
1150,247,3.2738
145,203,3.2738
63,978,3.2738
390,778,3.2738
440,203,3.2738
954,1142,3.2738
954,978,3.2738
808,646,3.2738
171,174,3.2738
429,1001,3.2738
621,646,3.2738
171,590,3.2738
189,778,3.2738
253,373,3.2738
849,137,3.2738
410,1008,3.2738
1077,965,3.2738
1137,968,3.2738
1077,546,3.2738
307,1055,3.2738
888,889,3.2738
1153,595,3.2738
1116,595,3.2738
218,392,3.2738
143,737,3.2738
185,131,3.2738
892,422,3.2738
483,604,3.2738
692,839,3.2738
336,780,3.2738
346,1158,3.2738
346,685,3.2738
346,255,3.2738
346,761,3.2738
346,400,3.2738
346,1066,3.2738
346,512,3.2738
346,998,3.2738
524,595,3.2738
830,869,3.2738
407,473,3.2738
407,646,3.2738
346,880,3.2738
346,840,3.2738
1162,889,3.2738
641,637,3.2738
716,925,3.2738
1137,549,3.2738
69,299,3.2738
1137,637,3.2738
444,637,3.2738
22,676,3.2738
605,806,3.2738
825,637,3.2738
218,8,3.2738
1116,1156,3.2738
698,637,3.2738
454,637,3.2738
172,573,3.2738
386,773,3.2738
1056,920,3.2738
561,475,3.2738
48,631,3.2738
1003,106,3.2738
1003,467,3.2738
1003,165,3.2738
721,203,3.2738
918,453,3.2738
822,933,3.2738
1143,165,3.2738
384,53,3.2738
278,349,3.2738
966,954,3.2738
641,676,3.2738
618,203,3.2738
363,165,3.2738
1143,59,3.2738
1069,559,3.2738
618,1066,3.2738
222,596,3.2738
975,778,3.2738
726,1015,3.2738
