Dataset,Case,Protein,DriverScore,Degree,EnergyEff,Essential
Hazbun,1_Hidden_Driver,YKL195W,0.1965907006549551,3.0,2.4744763410227235,1
Hazbun,1_Hidden_Driver,YEL026W,0.1912444277081147,3.0,2.4298675634596805,1
Hazbun,1_Hidden_Driver,YBR121C,0.1758984591290418,3.0,2.306239406812,1
Hazbun,2_True_Leader,YHR165C,0.8867251929169038,26.0,1.6195221236359916,1
Hazbun,2_True_Leader,YLL036C,0.8755480731835422,28.0,1.5583612249963412,1
Hazbun,2_True_Leader,YPR101W,0.8565834614666789,25.0,1.624005163089013,1
Hazbun,3_Inefficient_Hub,YLR424W,0.731555444580319,25.0,1.521114397761825,1
Hazbun,3_Inefficient_Hub,YMR213W,0.7915942723575071,25.0,1.5696828053082243,1
Hazbun,3_Inefficient_Hub,YKR022C,0.7921143007764894,25.0,1.570110186091103,1
Babu,1_Hidden_Driver,YDL154W,0.8484988044178783,7.0,1.3043470393506795,0
Babu,1_Hidden_Driver,YIR036C,0.8477464877349277,7.0,1.270394810941996,0
Babu,1_Hidden_Driver,YPR094W,0.847706432757458,7.0,1.268612106369737,1
Babu,2_True_Leader,YLR110C,0.9999999999964344,224.0,1.2193223968748128,0
Babu,2_True_Leader,YJR145C,0.9835737478174614,222.0,1.1965166743498818,0
Babu,2_True_Leader,YGR085C,0.968791473916678,168.0,1.2364078234872222,0
Babu,3_Inefficient_Hub,YNL204C,0.0,188.0,0.28711360948241,0
Babu,3_Inefficient_Hub,YJR150C,0.1155330731366619,176.0,0.3168232362990874,0
Babu,3_Inefficient_Hub,YDR179W-A,0.1612414210690495,183.0,0.3548671036263409,0
Breitkreutz,1_Hidden_Driver,YLR327C,0.7721538062668574,14.0,1.629909824753469,0
Breitkreutz,1_Hidden_Driver,YLR248W,0.7702580473988759,13.0,1.6186000815254329,0
Breitkreutz,1_Hidden_Driver,YFL021W,0.7701089595368119,14.0,1.5626532323305755,0
Breitkreutz,2_True_Leader,YDR071C,0.999999999996765,173.0,1.5634395645552213,0
Breitkreutz,2_True_Leader,YER133W,0.9917032644878144,167.0,1.5645258229138463,1
Breitkreutz,2_True_Leader,YOR323C,0.9668184244594378,144.0,1.592855768469136,0
Breitkreutz,3_Inefficient_Hub,YFR028C,0.0,349.0,0.5163251807781021,1
Breitkreutz,3_Inefficient_Hub,YDR217C,0.1870266379570286,202.0,0.4253277434503223,0
Breitkreutz,3_Inefficient_Hub,YGL158W,0.243762396870606,151.0,0.3583108638815806,0
Gavin,1_Hidden_Driver,YPR080W,0.7213009175229947,7.0,1.851172934236601,0
Gavin,1_Hidden_Driver,YGL103W,0.721263692236486,8.0,1.706133096411777,1
Gavin,1_Hidden_Driver,YLL024C,0.7212412280749113,8.0,1.692631598181117,0
Gavin,2_True_Leader,YGR085C,0.9999999999996858,1506.0,1.8074797165850596,0
Gavin,2_True_Leader,YNL067W,0.8947077312381976,1088.0,1.6675890609347075,0
Gavin,2_True_Leader,YAL038W,0.8389572046743493,646.0,1.7975982710520937,1
Gavin,3_Inefficient_Hub,YJR101W,0.0,1202.0,0.1489085458783931,0
Gavin,3_Inefficient_Hub,YMR106C,0.2044983324350743,806.0,0.1310300102629809,0
Gavin,3_Inefficient_Hub,YAR014C,0.2857473746573961,934.0,0.2282060364675982,0
Ho,1_Hidden_Driver,YDR032C,0.7152043332996693,8.0,1.5782817116348753,0
Ho,1_Hidden_Driver,YFL038C,0.714863669654265,8.0,1.560629965820466,1
Ho,1_Hidden_Driver,YIL125W,0.7143259558674742,8.0,1.5331687865232468,0
Ho,2_True_Leader,YBR011C,0.9999999999966346,184.0,1.615471501256605,1
Ho,2_True_Leader,YDR342C,0.9940885058501284,173.0,1.6484790382916938,0
Ho,2_True_Leader,YNL208W,0.9571665134926738,154.0,1.6328793581024763,0
Ho,3_Inefficient_Hub,YJL165C,0.0,211.0,0.3741653714589401,0
Ho,3_Inefficient_Hub,YPR015C,0.0059748145586031,201.0,0.359538235384399,1
Ho,3_Inefficient_Hub,YLR320W,0.069479736818158,224.0,0.434090466765914,0
Ito,1_Hidden_Driver,YGR192C,0.98137995270165,1.0,1.4550297381324202,0
Ito,1_Hidden_Driver,YGL189C,0.9813495718826608,1.0,1.4491805089735863,1
Ito,1_Hidden_Driver,YJL052W,0.9812969915564848,1.0,1.439112711034353,0
Ito,2_True_Leader,YCL009C,0.9999999999962288,23.0,1.2674207091248764,0
Ito,2_True_Leader,YBR221C,0.999251338615595,32.0,1.18096982879473,0
Ito,2_True_Leader,YEL034W,0.998044054830845,13.0,1.4465920648060038,1
Ito,3_Inefficient_Hub,YOL006C,0.0,228.0,0.3220236424084769,0
Ito,3_Inefficient_Hub,YOR190W,0.675844227715498,82.0,0.3801797754759159,0
Ito,3_Inefficient_Hub,YNL182C,0.7140361388155485,81.0,0.4251136432049739,1
Krogan_LCMS,1_Hidden_Driver,YNR043W,0.9257789363083602,5.0,1.392776210445426,1
Krogan_LCMS,1_Hidden_Driver,YDR429C,0.9257657742607578,5.0,1.3849722007069911,1
Krogan_LCMS,1_Hidden_Driver,YPR033C,0.9257611031613028,5.0,1.3822131492492618,1
Krogan_LCMS,2_True_Leader,YGR286C,0.9999999999996096,626.0,1.3584988213212286,0
Krogan_LCMS,2_True_Leader,YIL062C,0.9908939343951612,568.0,1.3453017069355977,1
Krogan_LCMS,2_True_Leader,YBL027W,0.9900809048112618,500.0,1.394758301620135,0
Krogan_LCMS,3_Inefficient_Hub,YDL074C,0.0,1242.0,0.1486524332354592,0
Krogan_LCMS,3_Inefficient_Hub,YCR014C,0.2005649815953109,819.0,0.1040451725249308,0
Krogan_LCMS,3_Inefficient_Hub,YMR240C,0.3703906422167863,698.0,0.1310287127908407,1
Krogan_MALDI,1_Hidden_Driver,YIL142W,0.9125427752698324,6.0,1.385605017520931,1
Krogan_MALDI,1_Hidden_Driver,YJL008C,0.912542553284249,6.0,1.385548399709742,1
Krogan_MALDI,1_Hidden_Driver,YBR126C,0.912503089097104,6.0,1.3755196659852849,0
Krogan_MALDI,2_True_Leader,YPL198W,0.999999999999224,412.0,1.3209995806204575,0
Krogan_MALDI,2_True_Leader,YHR200W,0.9897714682483488,392.0,1.2956592855662723,0
Krogan_MALDI,2_True_Leader,YBL072C,0.9772101858458214,302.0,1.3264925297177113,0
Krogan_MALDI,3_Inefficient_Hub,YJR066W,0.0,674.0,0.1757652244967926,0
Krogan_MALDI,3_Inefficient_Hub,YJL165C,0.2099765352981497,451.0,0.1356358394202163,0
Krogan_MALDI,3_Inefficient_Hub,YMR106C,0.3100455781736398,431.0,0.1666609271443694,0
Lambert,1_Hidden_Driver,YML028W,0.6791876924670578,1.0,1.704492537842062,0
Lambert,1_Hidden_Driver,YBR196C,0.6790439072023688,1.0,1.678295420800595,1
Lambert,1_Hidden_Driver,YDL137W,0.6790426836896867,1.0,1.6780742380336842,0
Lambert,2_True_Leader,YDR224C,0.9999999999953584,185.0,1.4583856598734506,1
Lambert,2_True_Leader,YFL039C,0.9483664117236188,140.0,1.5202278263765256,1
Lambert,2_True_Leader,YBL003C,0.9151573769666196,106.0,1.6243211171222562,1
Lambert,3_Inefficient_Hub,YPR018W,0.0,136.0,0.3463548942680965,0
Lambert,3_Inefficient_Hub,YKR008W,0.2060970190791728,112.0,0.4096115933792546,1
Lambert,3_Inefficient_Hub,YKR029C,0.2483804724131406,114.0,0.4503146616698265,0
Tarassov,1_Hidden_Driver,YNL322C,0.1138822553110558,1.0,1.517501694658955,0
Tarassov,1_Hidden_Driver,YBL041W,0.1133800457928509,1.0,1.5083054993397669,1
Tarassov,1_Hidden_Driver,YBR101C,0.113296035863528,1.0,1.5067726040773757,0
Tarassov,2_True_Leader,YHR007C,0.9999999999586898,57.0,1.468461866303398,1
Tarassov,2_True_Leader,YGL077C,0.8410311407493637,58.0,1.3668105853741397,0
Tarassov,2_True_Leader,YML012W,0.7886444713871879,43.0,1.4772556788781497,0
Tarassov,3_Inefficient_Hub,YHR083W,0.0,52.0,0.9643740161663014,1
Tarassov,3_Inefficient_Hub,YHR094C,0.0113284876886314,37.0,0.9575484147989782,0
Tarassov,3_Inefficient_Hub,YML038C,0.0150728101099616,46.0,0.9673993566213024,0
Uetz,1_Hidden_Driver,YLR340W,0.6504537896524414,1.0,1.5711455129634104,1
Uetz,1_Hidden_Driver,YFL039C,0.6494204635099611,1.0,1.5647219160013794,1
Uetz,1_Hidden_Driver,YML028W,0.6485900421511291,1.0,1.5595787005979884,0
Uetz,2_True_Leader,YMR308C,0.999999999873888,10.0,1.3967112031513014,1
Uetz,2_True_Leader,YPL031C,0.9253763194605794,9.0,1.3611906507664329,0
Uetz,2_True_Leader,YBR052C,0.8813427186714621,7.0,1.4074849578061115,0
Uetz,3_Inefficient_Hub,YML064C,0.0,22.0,0.831135387284174,1
Uetz,3_Inefficient_Hub,YHR140W,0.5504637293385797,15.0,1.0069454127057818,0
Uetz,3_Inefficient_Hub,YMR159C,0.5658966050043179,14.0,1.0156625171298377,1
Yu,1_Hidden_Driver,YOL109W,0.7165882627867804,1.0,1.5221412765354925,0
Yu,1_Hidden_Driver,YML028W,0.7164915404680591,1.0,1.518300224187545,0
Yu,1_Hidden_Driver,YMR186W,0.7163275222052173,1.0,1.5118088460157184,0
Yu,2_True_Leader,YIR038C,0.9999999999808596,44.0,1.4158283008211412,0
Yu,2_True_Leader,YDR510W,0.9258052431293357,39.0,1.342147467330277,1
Yu,2_True_Leader,YDR100W,0.8630662865018358,27.0,1.3543507917118436,0
Yu,3_Inefficient_Hub,YLR423C,0.0,57.0,0.5320583610222065,1
Yu,3_Inefficient_Hub,YLR291C,0.225390315354929,82.0,0.7415099108814658,1
Yu,3_Inefficient_Hub,YPR152C,0.5626025529596806,38.0,0.8313218681455292,0
