Dataset,Case,Protein,DriverScore,Degree,EnergyEff,Essential
Hazbun,1_Hidden_Driver,YKL195W,0.1971107539171694,3.0,2.4737133732069734,1
Hazbun,1_Hidden_Driver,YEL026W,0.192382685014846,3.0,2.434248365950781,1
Hazbun,1_Hidden_Driver,YBR121C,0.1784221757784619,3.0,2.321356663685282,1
Hazbun,2_True_Leader,YHR165C,0.8882037763471404,26.0,1.6200181726082354,1
Hazbun,2_True_Leader,YLL036C,0.8729635778233135,28.0,1.5558400232917882,1
Hazbun,2_True_Leader,YPR101W,0.853227592050216,25.0,1.6204266976652122,1
Hazbun,3_Inefficient_Hub,YLR424W,0.7336355062404425,25.0,1.522123822678734,1
Hazbun,3_Inefficient_Hub,YKR022C,0.7896739116122411,25.0,1.5674211305160306,1
Hazbun,3_Inefficient_Hub,YMR213W,0.7912095464612154,25.0,1.5686812200063578,1
Babu,1_Hidden_Driver,YDL154W,0.8615941951736907,7.0,1.2976357602761448,0
Babu,1_Hidden_Driver,YIR036C,0.8608336284635736,7.0,1.263964125152883,0
Babu,1_Hidden_Driver,YPR094W,0.8607946309301354,7.0,1.2622613794113584,1
Babu,2_True_Leader,YLR110C,0.999999999996384,224.0,1.1964690715569084,0
Babu,2_True_Leader,YJR145C,0.9768323041340397,222.0,1.1644551860108985,0
Babu,2_True_Leader,YDL185W,0.9712001492159678,200.0,1.17488349080132,0
Babu,3_Inefficient_Hub,YNL204C,0.0,188.0,0.286607358357915,0
Babu,3_Inefficient_Hub,YJR150C,0.117330077796922,176.0,0.3163047469188576,0
Babu,3_Inefficient_Hub,YDR179W-A,0.1631091287436465,183.0,0.354000879261895,0
Breitkreutz,1_Hidden_Driver,YLR327C,0.7828037745950581,14.0,1.632979375406761,0
Breitkreutz,1_Hidden_Driver,YOR027W,0.7808155627643286,13.0,1.6189023278944463,0
Breitkreutz,1_Hidden_Driver,YFL021W,0.7799042932164425,14.0,1.5387084630228798,0
Breitkreutz,2_True_Leader,YDR071C,0.9999999999967492,173.0,1.5315277015027828,0
Breitkreutz,2_True_Leader,YER133W,0.9955103166696092,167.0,1.5422903480005392,1
Breitkreutz,2_True_Leader,YOR323C,0.9658226076192784,144.0,1.5511718722173289,0
Breitkreutz,3_Inefficient_Hub,YFR028C,0.0,349.0,0.513244720153502,1
Breitkreutz,3_Inefficient_Hub,YDR217C,0.1903128897441066,202.0,0.422481787248383,0
Breitkreutz,3_Inefficient_Hub,YGL158W,0.2476031394678308,151.0,0.3553130380738375,0
Gavin,1_Hidden_Driver,YHR179W,0.7321605515747667,8.0,1.6797454316604896,0
Gavin,1_Hidden_Driver,YPR080W,0.7321398766964599,7.0,1.7777767181077606,0
Gavin,1_Hidden_Driver,YGL103W,0.7321113423454934,8.0,1.6511734056764478,1
Gavin,2_True_Leader,YGR085C,0.9999999999996813,1506.0,1.752011050812298,0
Gavin,2_True_Leader,YNL067W,0.9026282284726818,1088.0,1.6412393752941916,0
Gavin,2_True_Leader,YNL069C,0.8429499030983445,720.0,1.630061194787395,0
Gavin,3_Inefficient_Hub,YJR101W,0.0,1202.0,0.1487077822612607,0
Gavin,3_Inefficient_Hub,YMR106C,0.2073062543940179,806.0,0.1306916965852254,0
Gavin,3_Inefficient_Hub,YAR014C,0.2886302732147492,934.0,0.2268589430037,0
Ho,1_Hidden_Driver,YDR032C,0.7065180253919815,8.0,1.6215765988819,0
Ho,1_Hidden_Driver,YFL038C,0.7061974849759991,8.0,1.6036665832790562,1
Ho,1_Hidden_Driver,YIL125W,0.7056641054362388,8.0,1.574301670678838,0
Ho,2_True_Leader,YBR011C,0.9999999999967932,184.0,1.6790220921793286,1
Ho,2_True_Leader,YDR342C,0.9975293714105228,173.0,1.7272736782325562,0
Ho,2_True_Leader,YNL208W,0.94758461821027,154.0,1.6703923951380633,0
Ho,3_Inefficient_Hub,YPR015C,0.0,201.0,0.3433009022022827,1
Ho,3_Inefficient_Hub,YJL165C,0.0067929094032326,211.0,0.3646838177223541,0
Ho,3_Inefficient_Hub,YLR320W,0.0538611145936906,224.0,0.4126279772864849,0
Ito,1_Hidden_Driver,YGR192C,0.9814486153949508,1.0,1.4570159215040848,0
Ito,1_Hidden_Driver,YGL189C,0.98141329917902,1.0,1.4501845281681642,1
Ito,1_Hidden_Driver,YJL052W,0.9813601859189428,1.0,1.4399708236596742,0
Ito,2_True_Leader,YCL009C,0.9999999999962428,23.0,1.2675556702967468,0
Ito,2_True_Leader,YBR221C,0.998907519113864,32.0,1.177764856754809,0
Ito,2_True_Leader,YEL034W,0.998112535780132,13.0,1.44854421230662,1
Ito,3_Inefficient_Hub,YOL006C,0.0,228.0,0.3206630546524928,0
Ito,3_Inefficient_Hub,YOR190W,0.675994222158864,82.0,0.3789329369013492,0
Ito,3_Inefficient_Hub,YNL182C,0.7145334936668966,81.0,0.4243725339344971,1
Krogan_LCMS,1_Hidden_Driver,YNR043W,0.9271495305162804,5.0,1.3989046736614787,1
Krogan_LCMS,1_Hidden_Driver,YDR429C,0.9271362774365592,5.0,1.3910181166231346,1
Krogan_LCMS,1_Hidden_Driver,YKL160W,0.927133795045192,5.0,1.389545862719123,0
Krogan_LCMS,2_True_Leader,YGR286C,0.9999999999996092,626.0,1.350671487061169,0
Krogan_LCMS,2_True_Leader,YIL062C,0.9938043916539986,568.0,1.3544201992996547,1
Krogan_LCMS,2_True_Leader,YBL027W,0.9910244431658056,500.0,1.3914516643025234,0
Krogan_LCMS,3_Inefficient_Hub,YDL074C,0.0,1242.0,0.1484470066046626,0
Krogan_LCMS,3_Inefficient_Hub,YCR014C,0.2041371852930067,819.0,0.1049425845727955,0
Krogan_LCMS,3_Inefficient_Hub,YMR240C,0.3709790151870686,698.0,0.1308567004222405,1
Krogan_MALDI,1_Hidden_Driver,YIL142W,0.910683028450902,6.0,1.389185099684456,1
Krogan_MALDI,1_Hidden_Driver,YJL008C,0.9106672489192408,6.0,1.3851762899390818,1
Krogan_MALDI,1_Hidden_Driver,YNL186W,0.9106391863303598,6.0,1.378075513380813,0
Krogan_MALDI,2_True_Leader,YPL198W,0.99999999999922,412.0,1.3268674410132002,0
Krogan_MALDI,2_True_Leader,YHR200W,0.9889843268356004,392.0,1.2985909748017583,0
Krogan_MALDI,2_True_Leader,YBL072C,0.9767592032991306,302.0,1.3326414971760725,0
Krogan_MALDI,3_Inefficient_Hub,YJR066W,0.0,674.0,0.1779578149812199,0
Krogan_MALDI,3_Inefficient_Hub,YJL165C,0.2048334310432554,451.0,0.1357565294983429,0
Krogan_MALDI,3_Inefficient_Hub,YMR106C,0.3087636401190217,431.0,0.1684831729995538,0
Lambert,1_Hidden_Driver,YML028W,0.6647822422848022,1.0,1.7097667676579498,0
Lambert,1_Hidden_Driver,YBR196C,0.6646843116805142,1.0,1.6916471109310145,1
