Protein,HyperDriver,Degree,Random
YBR088C,0,0,0
YBR223C,0,0,0
YBR249C,0,0,1
YBR254C,1,0,0
YBR289W,0,0,0
YDL013W,0,0,0
YDL055C,0,0,0
YDL064W,0,0,0
YDL084W,0,1,0
YDL105W,0,0,0
YDL166C,0,0,0
YDL208W,0,1,0
YDR174W,0,0,0
YDR446W,0,0,0
YDR472W,0,0,0
YDR510W,1,1,0
YER038C,0,0,1
YER047C,1,1,0
YER063W,1,0,0
YER090W,1,0,0
YFL039C,0,1,0
YFL045C,0,0,0
YGL015C,1,0,0
YGL026C,0,0,0
YGL250W,0,1,1
YGR010W,0,0,1
YHL039W,0,0,1
YHR107C,0,0,0
YHR134W,0,0,0
YHR193C,1,0,0
YJR070C,0,0,0
YJR076C,0,1,1
YKL032C,0,0,1
YKL043W,0,0,0
YKL197C,0,0,0
YKL211C,0,0,0
YKL214C,0,0,0
YKR068C,0,1,0
YLL019C,0,0,0
YLR082C,0,0,0
YLR146C,0,0,0
YLR175W,1,0,0
YLR328W,0,0,0
YLR335W,0,0,0
YML023C,1,0,0
YML077W,0,0,0
YMR092C,0,0,0
YMR111C,1,1,0
YMR219W,0,0,1
YMR233W,0,0,0
YNL042W,0,0,0
YNL088W,0,0,0
YNL124W,0,0,0
YNL138W,0,0,0
YNL329C,0,0,1
YOL034W,0,1,0
YOR028C,0,0,1
YOR115C,0,0,0
YOR144C,0,0,0
YPL037C,0,0,0
YPL129W,0,0,0
YPR069C,0,0,0
YPR105C,0,0,0
