dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
116,580240,S000000001,TFC3,E,,SGD
116,580240,S000000002,VPS8,NE,,SGD
116,580240,S000000003,EFB1,E,,SGD
116,580240,S000000004,SSA1,NE,,SGD
116,580240,S000000005,ERP2,NE,,SGD
116,580240,S000000006,FUN14,NE,,SGD
116,580240,S000000007,SPO7,NE,,SGD
116,580240,S000000008,MDM10,NE,,SGD
116,580240,S000000009,SWC3,NE,,SGD
116,580240,S000000010,CYS3,C,,SGD
116,580240,S000000011,DEP1,NE,,SGD
116,580240,S000000012,SYN8,NE,,SGD
116,580240,S000000013,NTG1,NE,,SGD
116,580240,S000000014,TPD3,NE,,SGD
116,580240,S000000015,PSK1,NE,,SGD
116,580240,S000000016,LDS1,NE,,SGD
116,580240,S000000017,FUN30,NE,,SGD
116,580240,S000000018,ATS1,NE,,SGD
116,580240,S000000019,CCR4,NE,,SGD
116,580240,S000000020,FUN26,NE,,SGD
116,580240,S000000021,PMT2,NE,,SGD
116,580240,S000000022,LTE1,NE,,SGD
116,580240,S000000023,MAK16,E,,SGD
116,580240,S000000024,DRS2,C,,SGD
116,580240,S000000025,SAW1,NE,,SGD
116,580240,S000000026,FRT2,NE,,SGD
116,580240,S000000027,MYO4,NE,,SGD
116,580240,S000000028,SNC1,NE,,SGD
116,580240,S000000029,GIP4,NE,,SGD
116,580240,S000000030,PRP45,E,,SGD
116,580240,S000000031,POP5,E,,SGD
116,580240,S000000032,MTW1,E,,SGD
116,580240,S000000033,FUN12,C,,SGD
116,580240,S000000034,RBG1,NE,,SGD
116,580240,S000000035,,NE,,SGD
116,580240,S000000036,CDC19,E,,SGD
116,580240,S000000037,CYC3,NE,,SGD
116,580240,S000000038,CLN3,NE,,SGD
116,580240,S000000039,CDC24,E,,SGD
116,580240,S000000040,ERV46,NE,,SGD
116,580240,S000000041,PTA1,E,,SGD
116,580240,S000000042,GCV3,NE,,SGD
116,580240,S000000043,,NE,,SGD
116,580240,S000000044,BOL3,NE,,SGD
116,580240,S000000045,SPC72,NE,,SGD
116,580240,S000000046,GEM1,NE,,SGD
116,580240,S000000047,AIM2,NE,,SGD
116,580240,S000000048,OAF1,NE,,SGD
116,580240,S000000049,FLC2,NE,,SGD
116,580240,S000000050,ACS1,NE,,SGD
116,580240,S000000051,PEX22,NE,,SGD
116,580240,S000000052,GPB2,NE,,SGD
116,580240,S000000054,CNE1,NE,,SGD
116,580240,S000000055,ECM1,NE,,SGD
116,580240,S000000056,BDH1,NE,,SGD
116,580240,S000000057,BDH2,NE,,SGD
116,580240,S000000058,GDH3,NE,,SGD
116,580240,S000000061,,NE,,SGD
116,580240,S000000062,SEO1,NE,,SGD
116,580240,S000000063,NUP60,NE,,SGD
116,580240,S000000064,SWD1,NE,,SGD
116,580240,S000000065,RFA1,E,,SGD
116,580240,S000000066,SEN34,E,,SGD
116,580240,S000000069,BUD14,NE,,SGD
116,580240,S000000070,ADE1,NE,,SGD
116,580240,S000000071,KIN3,NE,,SGD
116,580240,S000000072,CDC15,E,,SGD
116,580240,S000000073,PAU7,NE,,SGD
116,580240,S000000074,,NE,,SGD
116,580240,S000000075,UIP3,NE,,SGD
116,580240,S000000076,,NE,,SGD
116,580240,S000000077,,NE,,SGD
116,580240,S000000078,PRM9,NE,,SGD
116,580240,S000000080,YAT1,NE,,SGD
116,580240,S000000081,SWH1,NE,,SGD
116,580240,S000000083,,NE,,SGD
116,580240,S000000084,FLO1,NE,,SGD
116,580240,S000000095,IMD1,NE,,SGD
116,580240,S000000097,ECM15,NE,,SGD
116,580240,S000000098,HTB2,NE,,SGD
116,580240,S000000099,HTA2,C,,SGD
116,580240,S000000100,UTP20,E,,SGD
116,580240,S000000101,PDR3,NE,,SGD
116,580240,S000000102,LDB7,NE,,SGD
116,580240,S000000103,SLA1,NE,,SGD
116,580240,S000000104,HIR1,NE,,SGD
116,580240,S000000105,ALK2,NE,,SGD
116,580240,S000000106,,NE,,SGD
116,580240,S000000107,SCT1,NE,,SGD
116,580240,S000000108,,NE,,SGD
116,580240,S000000109,FMT1,NE,,SGD
116,580240,S000000110,RRN6,E,,SGD
116,580240,S000000111,ACH1,NE,,SGD
116,580240,S000000112,FUS3,NE,,SGD
116,580240,S000000113,PEP1,NE,,SGD
116,580240,S000000114,POP8,E,,SGD
116,580240,S000000115,APN2,NE,,SGD
116,580240,S000000116,RFT1,E,,SGD
116,580240,S000000117,HAP3,NE,,SGD
116,580240,S000000118,PIM1,NE,,SGD
116,580240,S000000119,MCM2,E,,SGD
116,580240,S000000120,NCL1,NE,,SGD
116,580240,S000000121,RRN10,NE,,SGD
116,580240,S000000122,LSM2,E,,SGD
116,580240,S000000123,RPL19B,NE,,SGD
116,580240,S000000124,,NE,,SGD
116,580240,S000000125,,NE,,SGD
116,580240,S000000126,PET9,C,,SGD
116,580240,S000000127,SHE1,NE,,SGD
116,580240,S000000128,HEK2,NE,,SGD
116,580240,S000000129,RIB1,NE,,SGD
116,580240,S000000130,STU1,E,,SGD
116,580240,S000000131,POL12,E,,SGD
116,580240,S000000132,,NE,,SGD
116,580240,S000000133,APL3,NE,,SGD
