Node,Label,SGD,OGEE,DEG,SOD,essential
YNR066C,ORF-U,0,0,0,0,0
YGR062C,ORF-V,0,0,0,0,0
YGL068W,ORF-V,1,0,1,2,1
YNL003C,ORF-V,0,0,0,0,0
YBR230C,ORF-V,0,0,0,0,0
YGL123W,ORF-V,1,1,1,3,1
YOR096W,ORF-V,0,0,0,0,0
YOL036W,ORF-U,0,0,0,0,0
YKL181W,ORF-V,0,0,0,0,0
YFR025C,ORF-V,0,0,0,0,0
YHR204W,ORF-V,0,0,0,0,0
YDL170W,ORF-V,0,0,0,0,0
YLR366W,ORF-DU,0,0,0,0,0
YJL054W,ORF-V,1,0,1,2,1
YLR189C,ORF-V,0,0,0,0,0
YGL241W,ORF-V,0,0,0,0,0
YCRCDELTA6,LTR,0,0,0,0,0
YKR092C,ORF-V,0,0,0,0,0
YGL026C,ORF-V,0,0,0,0,0
YMR234W,ORF-V,0,0,0,0,0
YJR097W,ORF-V,0,0,0,0,0
YDR154C,ORF-DU,0,0,0,0,0
YER089C,ORF-V,0,0,0,0,0
YLRWTY2-1,LTR,0,0,0,0,0
YJR080C,ORF-V,0,0,0,0,0
TR(UCU)M2,tRNA gene,0,0,0,0,0
YOLCDELTA1,LTR,0,0,0,0,0
YOR311C,ORF-V,0,0,0,0,0
YJL199C,ORF-V,0,0,0,0,0
YOR025W,ORF-V,0,0,0,0,0
YBL101C,ORF-V,0,0,0,0,0
YNL134C,ORF-V,0,0,0,0,0
YPR152C,ORF-V,0,0,0,0,0
YNL239W,ORF-V,0,0,0,0,0
YLR050C,ORF-V,0,0,0,0,0
YJL028W,ORF-V,0,0,0,0,0
YMR127C,ORF-V,0,0,0,0,0
YPR055W,ORF-V,1,1,1,3,1
YBR147W,ORF-V,0,0,0,0,0
YOL042W,ORF-V,0,0,0,0,0
YFL028C,ORF-V,0,0,0,0,0
YPR111W,ORF-V,1,0,1,2,1
YLL005C,ORF-V,0,0,0,0,0
YEL022W,ORF-V,0,0,0,0,0
YDR446W,ORF-V,0,0,0,0,0
YBR267W,ORF-V,0,0,0,0,0
YOR321W,ORF-V,0,0,0,0,0
YALCDELTA2,LTR,0,0,0,0,0
YLL053C,ORF-U,0,0,0,0,0
YLR033W,ORF-V,1,1,1,3,1
YFR029W,ORF-V,1,0,1,2,1
YPR030W,ORF-V,0,0,0,0,0
YNL242W,ORF-V,1,0,0,1,1
YNR043W,ORF-V,1,1,1,3,1
YOR109W,ORF-V,0,0,0,0,0
YBL051C,ORF-V,0,0,0,0,0
YNL230C,ORF-V,0,0,0,0,0
YORCDELTA21,LTR,0,0,0,0,0
YIL139C,ORF-V,0,0,0,0,0
YMR289W,ORF-V,0,0,0,0,0
YLR205C,ORF-V,0,0,0,0,0
YDR263C,ORF-V,0,0,0,0,0
YDL197C,ORF-V,0,0,0,0,0
YNL259C,ORF-V,0,0,0,0,0
YPL116W,ORF-V,1,0,0,1,1
YLRWDELTA17,LTR,0,0,0,0,0
YIL050W,ORF-V,0,0,0,0,0
YNRWSIGMA4,LTR,0,0,0,0,0
YBR081C,ORF-V,0,0,0,0,0
YORWDELTA13,LTR,0,0,0,0,0
TE(UUC)L,tRNA gene,0,0,0,0,0
YNL175C,ORF-V,0,0,0,0,0
YMR021C,ORF-V,0,0,0,0,0
YPL041C,ORF-U,0,0,0,0,0
YLL035W,ORF-V,1,1,1,3,1
YMR116C,ORF-V,0,0,0,0,0
YBR189W,ORF-V,0,0,0,0,0
YLRWSIGMA3,LTR,0,0,0,0,0
YOR219C,ORF-V,0,0,0,0,0
YHR084W,ORF-V,1,0,1,2,1
YPL030W,ORF-V,0,0,0,0,0
YGL199C,ORF-DU,0,0,0,0,0
YHL014C,ORF-V,0,0,0,0,0
YER066W,ORF-U,0,0,0,0,0
YEL051W,ORF-V,0,0,0,0,0
YOL055C,ORF-V,0,0,0,0,0
YHR156C,ORF-V,0,0,0,0,0
YAL069W,ORF-DU,0,0,0,0,0
YGR094W,ORF-V,1,1,1,3,1
YER095W,ORF-V,1,0,0,1,1
YCR033W,ORF-V,0,0,0,0,0
YORCTY2-1,LTR,0,0,0,0,0
YLR116W,ORF-V,1,1,1,3,1
YNL281W,ORF-V,0,0,0,0,0
YGR155W,ORF-V,1,0,0,1,1
YCL042W,ORF-U,0,0,0,0,0
YKL103C,ORF-V,0,0,0,0,0
YJL122W,ORF-V,0,0,0,0,0
YER180C,ORF-V,0,0,0,0,0
YOR250C,ORF-V,1,1,1,3,1
YIL010W,ORF-V,0,0,0,0,0
YML117W,ORF-V,0,0,0,0,0
YOR365C,ORF-U,0,0,0,0,0
YDR514C,ORF-V,0,0,0,0,0
YDRCSIGMA2,LTR,0,0,0,0,0
YDR482C,ORF-V,0,0,0,0,0
YOR203W,ORF-DU,1,1,0,2,1
YMR103C,ORF-U,0,0,0,0,0
YLR138W,ORF-V,0,0,0,0,0
YGLWDELTA6,LTR,0,0,0,0,0
YGR001C,ORF-V,0,0,0,0,0
YMR156C,ORF-V,0,0,0,0,0
YGR137W,ORF-DU,0,0,0,0,0
YLR029C,ORF-V,1,1,1,3,1
YDR527W,ORF-V,1,1,1,3,1
YPLCTY4-1,LTR,0,0,0,0,0
YHRWTAU3,LTR,0,0,0,0,0
YGR287C,ORF-V,0,0,0,0,0
YMR250W,ORF-V,0,0,0,0,0
YBR040W,ORF-V,0,0,0,0,0
YGL075C,ORF-V,1,1,1,3,1
YGL230C,ORF-U,0,0,0,0,0
YLR141W,ORF-V,1,1,1,3,1
YJR009C,ORF-V,0,0,0,0,0
YDL056W,ORF-V,0,0,0,0,0
YLR441C,ORF-V,0,0,0,0,0
TN(GUU)K,tRNA gene,0,0,0,0,0
YNLCDELTA2,LTR,0,0,0,0,0
YAL044C,ORF-V,0,0,0,0,0
YGL128C,ORF-V,1,1,1,3,1
YMR322C,ORF-V,0,0,0,0,0
YDL144C,ORF-V,0,0,0,0,0
YJL146W,ORF-V,0,0,0,0,0
YJL136C,ORF-V,0,0,0,0,0
YBL088C,ORF-V,0,0,0,0,0
YLRCDELTA27,LTR,0,0,0,0,0
YER131W,ORF-V,0,0,0,0,0
YML010W,ORF-V,1,1,1,3,1
YOR264W,ORF-V,0,0,0,0,0
YHR008C,ORF-V,0,0,0,0,0
YOR309C,ORF-DU,0,0,0,0,0
YPLCDELTA10,LTR,0,0,0,0,0
YGR198W,ORF-V,1,1,1,3,1
YELCTAU1,LTR,0,0,0,0,0
YKL169C,ORF-DU,0,0,0,0,0
YBR088C,ORF-V,1,1,1,3,1
YKR007W,ORF-V,0,0,0,0,0
YIL027C,ORF-V,0,0,0,0,0
YHR060W,ORF-V,0,0,0,0,0
YORWTY2-2,LTR,0,0,0,0,0
YDR136C,ORF-DU,0,0,0,0,0
YBL005W,ORF-V,0,0,0,0,0
YPRCTAU3,LTR,0,0,0,0,0
YKL074C,ORF-V,0,0,0,0,0
YNL061W,ORF-V,1,1,1,3,1
YML123C,ORF-V,0,0,0,0,0
YDR109C,ORF-V,0,0,0,0,0
YBL002W,ORF-V,0,0,0,0,0
YDR523C,ORF-V,0,0,0,0,0
YKL162C,ORF-U,0,0,0,0,0
YOL103W,ORF-V,0,0,0,0,0
YPR165W,ORF-V,1,1,1,3,1
YJL210W,ORF-V,0,0,0,0,0
YPRCDELTA19,LTR,0,0,0,0,0
YPR102C,ORF-V,0,0,0,0,0
YLR181C,ORF-V,0,0,0,0,0
YHL012W,ORF-U,0,0,0,0,0
YBL108W,ORF-DU,0,0,0,0,0
YHR110W,ORF-V,0,0,0,0,0
YGR028W,ORF-V,0,0,0,0,0
YDR103W,ORF-V,0,0,0,0,0
YJL154C,ORF-V,0,0,0,0,0
YBR188C,ORF-V,0,0,0,0,0
YHR033W,ORF-U,0,0,0,0,0
YFR010W,ORF-V,0,0,0,0,0
YEL024W,ORF-V,0,0,0,0,0
YKR082W,ORF-V,0,0,0,0,0
YAL045C,ORF-DU,0,0,0,0,0
YPL151C,ORF-V,1,1,1,3,1
YLR121C,ORF-V,0,0,0,0,0
YLR169W,ORF-DU,0,0,0,0,0
YFL056C,pseudogene,0,0,0,0,0
YORWDELTA17,LTR,0,0,0,0,0
YBR155W,ORF-V,1,1,1,3,1
YOR190W,ORF-V,0,0,0,0,0
YMR260C,ORF-V,1,1,1,3,1
YDR164C,ORF-V,1,1,1,3,1
YIR014W,ORF-V,0,0,0,0,0
YHR130C,ORF-U,0,0,0,0,0
YKR027W,ORF-V,0,0,0,0,0
YDR332W,ORF-V,0,0,0,0,0
