index,protein,ec
0,YOR140W,1.1121808967281449e-05
1,YLR443W,3.223144192254929e-06
2,YBR011C,0.0008903059925051053
3,YDR502C,0.0002015359845106257
4,YDL182W,0.004053387448634195
5,YPL143W,0.07947848209363828
6,YCR017C,7.0453698597542155e-06
7,YLL011W,0.025707328599438906
8,YLR084C,0.0006036615482895751
9,YPL133C,4.7159243164613445e-05
10,YFL005W,0.0003553808068013545
11,YPL176C,1.2460515815073935e-05
12,YDR150W,0.0004454438354965859
13,YJL102W,1.9646380443446465e-05
14,YLR149C,1.3639960432317938e-05
15,YJR032W,2.0859606256309618e-05
16,YBR229C,0.00010034637708985326
17,YPL202C,0.0003640828046859704
18,YBL031W,0.00016753219435855068
19,YCR093W,0.00032919940098076743
20,YJL002C,0.0001716294831523116
21,YMR111C,8.697349289065578e-06
22,YIL031W,0.0005273534971518342
23,YCR092C,1.991067557844898e-05
24,YCR065W,4.237368662741723e-05
25,YBR055C,0.002468106706307036
26,YMR028W,2.714570047747469e-05
27,YPL081W,0.039309191845154835
28,YJL122W,0.0001526889769331744
29,YMR015C,6.3498131363191315e-06
30,YJR084W,0.0007361288919768563
31,YER157W,2.888001048260528e-05
32,YER137C,1.0087073363848207e-06
33,YOL081W,8.245721336380395e-05
34,YER151C,0.0012325077972566618
35,YLR445W,0.00020990385450804543
36,YOR324C,8.573668739237804e-05
37,YDL003W,0.0018474047411753025
38,YNL311C,6.943484128459264e-06
39,YAR033W,5.539809513426782e-06
40,YOR304C-A,0.00039338748677973775
41,YDR369C,0.0004090885749668565
42,YML123C,1.6048689786512942e-05
43,YGL124C,1.9116809588507966e-05
44,YNL022C,6.489783221330981e-06
45,YDR393W,0.0006132017014800254
46,YBL092W,0.08053815275165739
47,YKL197C,0.0005709176594840956
48,YPL147W,1.0593424674703001e-05
49,YER065C,0.0005115378106450701
50,YOR066W,5.706469215927645e-07
51,YHR117W,0.006061217611981335
52,YOR367W,3.18704333443754e-05
53,YMR299C,0.00011294991011529525
54,YDR146C,4.473682678744164e-05
55,YBR010W,0.012605169266744473
56,YNL158W,1.0824011922902239e-06
57,YKL134C,0.00040722361043097575
58,YPL110C,7.609074652817188e-05
59,YNR008W,6.271431827055868e-06
60,YDL085W,0.00031470386778818387
61,YDR530C,0.00038897192533734326
62,YBR154C,0.0007404439956754217
63,YDR255C,6.488541707668467e-05
64,YPL167C,2.1926937480436433e-06
65,YGL153W,1.8239340376434794e-05
66,YHL022C,1.2619275562120824e-06
67,YMR031C,0.00011259480124422592
68,YNL292W,2.6778501874900616e-05
69,YKL178C,4.326733038553039e-05
70,YPR194C,7.320531705203618e-05
71,YAR003W,0.0003909384668054512
72,YGR277C,1.2992812800485814e-06
73,YML075C,5.795397105411969e-05
74,YMR308C,0.002974039317605574
75,YKL091C,1.8645204289377686e-05
76,YML106W,2.3750810765461398e-05
77,YBR254C,0.0008673000522601787
78,YMR228W,1.4073963672698596e-05
79,YDL204W,0.00043291230981729013
80,YKR037C,0.00012793945145821533
81,YDL126C,0.0006005495782570094
82,YML043C,0.0005278436457926245
83,YLR270W,0.00019547594606791118
84,YMR033W,0.0019262710004018463
85,YER168C,0.0002542323241866783
86,YHR107C,0.0005145184887159698
87,YOR201C,6.348841960397677e-05
88,YBR065C,0.0007065089597160973
89,YER180C,1.3059299345353047e-05
90,YIL130W,0.0005481002555522845
91,YDL093W,4.894522147726219e-05
92,YPL265W,0.0008453730690274032
93,YMR002W,0.0003296531477973441
94,YPR178W,0.0014938397289267207
95,YDL084W,0.0008975497220311792
96,YNR041C,1.781461481936116e-05
97,YDL203C,0.0002316013489765125
98,YBR059C,0.0018681585300502075
99,YAL024C,3.4212938878455033e-06
100,YMR095C,3.604219174767816e-05
101,YOL003C,5.141738811142025e-06
102,YCR048W,1.3215806263681754e-05
103,YKL138C,0.00012179222761365622
104,YLR419W,0.0017364081231344862
105,YMR005W,0.0005082919531469464
106,YJR092W,0.00018659941673006795
107,YKL192C,0.0002712984441078498
108,YGL100W,0.00027181124937972835
109,YER128W,1.6452385558911635e-06
110,YDL048C,0.00024846700418836254
111,YDR435C,8.089840699984141e-06
112,YHR033W,1.7833719574689602e-05
113,YNL232W,0.0003128951544919611
114,YPR089W,1.7130887204685437e-05
115,YER100W,1.2634800217821275e-05
116,YBR049C,0.001119182514640414
117,YDL022W,2.1556681137655174e-05
118,YER146W,0.0009452521361041304
119,YER070W,0.0008041961601882981
120,YDR473C,0.0009952174567751959
121,YPR002W,1.2747160443881628e-06
122,YKL220C,7.47431749703232e-05
123,YLR146C,2.077297216614112e-05
124,YMR068W,2.1470953906358182e-05
125,YDL135C,3.202199863741237e-05
126,YOR188W,0.0021148448288379035
127,YOR220W,0.0002016405296120536
128,YLR118C,1.870435754324658e-06
129,YGL083W,1.531903067404042e-05
130,YPL100W,6.588245318037945e-08
131,YIL065C,5.805785487603875e-06
132,YDR490C,3.5848418703139075e-05
133,YMR060C,1.118708860042483e-06
134,YGL087C,0.0004170410633761736
135,YDR460W,0.00012157765859598671
136,YPR167C,0.0016379006435984233
137,YGL237C,0.0007508876445973336
138,YBR187W,3.944970802970095e-06
139,YOR298W,1.331119957373121e-07
140,YIL129C,0.001344328251268177
141,YIL083C,0.00017993616991129752
142,YGL080W,0.0001274160757805318
143,YNL062C,7.89454382702621e-06
144,YHR162W,2.4732940088239314e-06
145,YKR085C,0.0016565214622179924
146,YGR196C,0.0007231425993127044
147,YHR128W,7.620855353168993e-05
148,YDR233C,5.5646658057377675e-05
149,YGR239C,0.0003214115267081375
150,YBR036C,0.0001941807583748205
151,YPL137C,0.0001591128747759878
152,YFR011C,3.9887118688627746e-05
153,YJL203W,0.0010821102092842478
154,YPL198W,0.11846972580835183
155,YBL093C,0.00048034929519903777
156,YOL142W,0.0010653726840067902
157,YML102W,9.152330253226414e-06
158,YIL162W,4.1743147124173133e-07
159,YKL028W,0.0007170793300211719
160,YMR056C,3.2192358884027993e-07
161,YGL213C,0.0005925309436373045
162,YDR108W,0.00022001246906501627
163,YBL030C,0.0022042099771129786
164,YHR066W,0.003099677109521312
165,YCR051W,0.0003188555669454033
166,YDL075W,0.10356301954478576
167,YIL090W,0.0008613674367319309
168,YFL012W,0.00042214920355722606
169,YOL102C,3.0101821477503383e-05
170,YOR099W,1.7356896097002493e-05
171,YGR023W,1.335585999299733e-05
172,YDR123C,6.402835602191882e-05
173,YNR013C,0.0002822874274745642
174,YAL038W,0.00011987607508063182
175,YEL044W,0.00041603071927641644
176,YPL241C,6.25253170612136e-07
