selected_frac,energy_cost,strategy
0.05,152515.6874130511,Random
0.1,65143.81961401123,Random
0.15,42544.15292745908,Random
0.2,29324.203599436332,Random
0.25,22148.687301853202,Random
0.3,18111.643687877775,Random
0.35,15301.815962490684,Random
0.4,13173.907558928593,Random
0.45,11689.625821054937,Random
0.5,10024.167561211943,Random
0.55,9012.146593319918,Random
0.6,8054.202277212976,Random
0.65,7388.057546777934,Random
0.7,6814.46969679659,Random
0.75,6309.142143179361,Random
0.8,5904.849034336056,Random
0.85,5552.191843818016,Random
0.9,5240.390556773587,Random
0.95,4887.176099943206,Random
1.0,4633.588139410688,Random
0.05,335106.4582639719,DC
0.1,126778.29056651046,DC
0.15,71178.99832569768,DC
0.2,46573.813337902946,DC
0.25,33131.49105752259,DC
0.3,24718.929043552453,DC
0.35,19651.392646813805,DC
0.4,16149.998415827602,DC
0.45,13627.495261068332,DC
0.5,11754.075827778752,DC
0.55,10236.830688673826,DC
0.6,9043.006605784074,DC
0.65,8040.542760756565,DC
0.7,7229.8572911067895,DC
0.75,6575.039369420666,DC
0.8,6018.3895790442375,DC
0.85,5551.936147980269,DC
0.9,5176.732801345482,DC
0.95,4869.2948317219325,DC
1.0,4633.588139410688,DC
0.05,269964.92416609253,BC
0.1,115182.47513685065,BC
0.15,67113.64667756911,BC
0.2,42645.457912590864,BC
0.25,30319.48565699986,BC
0.3,22910.329299301622,BC
0.35,18040.323613505265,BC
0.4,14737.527231818895,BC
0.45,12521.384082199984,BC
0.5,10957.956562424944,BC
0.55,9680.580582188897,BC
0.6,8637.343985612835,BC
0.65,7780.50092234184,BC
0.7,7052.19240135869,BC
0.75,6463.078267080481,BC
0.8,5956.461862151735,BC
0.85,5528.149458516182,BC
0.9,5164.292277276683,BC
0.95,4871.515468194964,BC
1.0,4633.588139410688,BC
0.05,280156.8300604846,EC
0.1,88328.87163908429,EC
0.15,49458.830645785405,EC
0.2,33122.69415569148,EC
0.25,24606.976986545837,EC
0.3,19322.246391355304,EC
0.35,15862.34864359157,EC
0.4,13396.974798893996,EC
0.45,11608.11685777822,EC
0.5,10262.742892859776,EC
0.55,9170.701830425836,EC
0.6,8212.15491791712,EC
0.65,7449.747462022799,EC
0.7,6823.723641995484,EC
0.75,6283.828084825403,EC
0.8,5840.8927295982285,EC
0.85,5455.812148091385,EC
0.9,5136.016038752131,EC
0.95,4861.850254908419,EC
1.0,4633.588139410689,EC
0.04993009786299181,100601.73180124107,HyperDriver (Full)
0.10005991611743559,47806.59932633133,HyperDriver (Full)
0.1499900139804274,31352.822321472595,HyperDriver (Full)
0.1999201118434192,23332.99953182735,HyperDriver (Full)
0.25004993009786297,18561.685896198924,HyperDriver (Full)
0.2999800279608548,15425.159340441984,HyperDriver (Full)
0.3499101258238466,13204.541141364558,HyperDriver (Full)
0.05,20805778.997591037,w/o Greedy
0.1,5958788.138493017,w/o Greedy
0.15,3387704.378463667,w/o Greedy
0.2,1760379.0945789113,w/o Greedy
0.25,1123823.056392294,w/o Greedy
0.3,809784.0929298302,w/o Greedy
0.35,636342.1487965832,w/o Greedy
0.4,477244.45728239714,w/o Greedy
0.45,381875.73202923173,w/o Greedy
0.5,315598.055969463,w/o Greedy
0.55,256919.44654496294,w/o Greedy
0.6,218999.9152872743,w/o Greedy
0.65,187899.21671793773,w/o Greedy
0.7,157144.7659720561,w/o Greedy
0.75,137954.05712702975,w/o Greedy
0.8,121243.05404313779,w/o Greedy
0.85,102294.60854860267,w/o Greedy
0.9,69627.46935986714,w/o Greedy
0.95,33804.82965635755,w/o Greedy
1.0,4633.588139410688,w/o Greedy
0.04993009786299181,31213.98359644918,w/o Hypergraph
0.10005991611743559,12002.609126454681,w/o Hypergraph
0.1499900139804274,7229.498589542071,w/o Hypergraph
0.1999201118434192,5097.425480994981,w/o Hypergraph
0.25004993009786297,3911.1380437925013,w/o Hypergraph
0.2999800279608548,3155.7937561615654,w/o Hypergraph
0.3499101258238466,2638.5651967220115,w/o Hypergraph
0.04993009786299181,1267883.2956480123,w/o Dynamics
0.10005991611743559,535500.823165245,w/o Dynamics
0.1499900139804274,335576.29638254823,w/o Dynamics
0.1999201118434192,243475.9693018941,w/o Dynamics
0.25004993009786297,190769.57295069587,w/o Dynamics
0.2999800279608548,156976.27449924863,w/o Dynamics
0.3499101258238466,133453.70889140677,w/o Dynamics
