selected_frac,energy,strategy
0.05,187826.64291888272,Random
0.1,70668.49368525566,Random
0.15,46193.877125635205,Random
0.2,30860.84806872096,Random
0.25,24019.412442224588,Random
0.3,19354.166495523637,Random
0.35,16245.180976769192,Random
0.4,14150.182898185187,Random
0.45,12644.230698151845,Random
0.5,11208.99903289988,Random
0.55,9963.193651506232,Random
0.6,8707.577041573168,Random
0.65,8042.222891490928,Random
0.7,7335.117036301292,Random
0.75,6722.83124870081,Random
0.8,6292.491422891946,Random
0.85,5765.011422545491,Random
0.9,5411.124554567361,Random
0.95,5108.63886837105,Random
1.0,4837.077901708582,Random
0.05,229521.6064816025,DC
0.1,76715.48676859439,DC
0.15,44956.13908058258,DC
0.2,31065.688954265293,DC
0.25,23492.287064193355,DC
0.3,18849.378916012538,DC
0.35,15703.058528074722,DC
0.4,13465.51784137299,DC
0.45,11839.03203748234,DC
0.5,10531.953929241015,DC
0.55,9423.830695415485,DC
0.6,8519.992320480258,DC
0.65,7770.610302245874,DC
0.7,7146.736083145632,DC
0.75,6590.898276613676,DC
0.8,6122.501508012152,DC
0.85,5711.710481088105,DC
0.9,5365.0615523702745,DC
0.95,5074.415096083761,DC
1.0,4837.077901708582,DC
0.05,159292.83812824875,BC
0.1,66183.84675703575,BC
0.15,42437.827621103876,BC
0.2,29548.12071916673,BC
0.25,22874.115070401924,BC
0.3,18698.121094493647,BC
0.35,15495.754261661725,BC
0.4,13223.268441450462,BC
0.45,11602.23540780822,BC
0.5,10279.688821513158,BC
0.55,9253.777295444123,BC
0.6,8401.46068713106,BC
0.65,7674.5015599163635,BC
0.7,7078.039830111002,BC
0.75,6559.197230191596,BC
0.8,6099.276031207523,BC
0.85,5698.716140571929,BC
0.9,5359.718239911582,BC
0.95,5074.007527834488,BC
1.0,4837.077901708582,BC
0.05,268916.55682565365,EC
0.1,67491.59395044827,EC
0.15,39790.337940348734,EC
0.2,28273.685032843714,EC
0.25,21705.75472213343,EC
0.3,17550.238732734004,EC
0.35,14696.251522448263,EC
0.4,12642.446597583112,EC
0.45,11103.25019938988,EC
0.5,9903.481719158444,EC
0.55,8956.958370490953,EC
0.6,8163.615929170024,EC
0.65,7500.20587472043,EC
0.7,6937.549053653733,EC
0.75,6449.176172894095,EC
0.8,6028.090842097696,EC
0.85,5663.382076590057,EC
0.9,5346.617360629002,EC
0.95,5071.892835818789,EC
1.0,4837.077901708582,EC
0.04997001798920648,103511.31167992685,HyperDriver
0.09994003597841296,49963.62615205185,HyperDriver
0.14991005396761942,32780.32253880045,HyperDriver
0.20007995202878273,24369.65549475766,HyperDriver
0.25004997001798923,19403.306546750726,HyperDriver
0.3000199880071957,16119.528925672888,HyperDriver
0.3499900059964022,13785.910471869207,HyperDriver
0.05,4275922047.615126,w/o Greedy
0.1,679533631.8836521,w/o Greedy
0.15,20584321.4292246,w/o Greedy
0.2,9558084.878584156,w/o Greedy
0.25,4760554.595872885,w/o Greedy
0.3,2814751.562403724,w/o Greedy
0.35,1736677.4743760324,w/o Greedy
0.4,1207259.203953039,w/o Greedy
0.45,845844.8203455686,w/o Greedy
0.5,610139.1945594416,w/o Greedy
0.55,435325.94754443446,w/o Greedy
0.6,317353.08156663727,w/o Greedy
0.65,240977.1198733187,w/o Greedy
0.7,177958.42147378286,w/o Greedy
0.75,133329.5019581397,w/o Greedy
0.8,98197.38662903827,w/o Greedy
0.85,73751.04008415718,w/o Greedy
0.9,49775.61396279768,w/o Greedy
0.95,30614.201907715065,w/o Greedy
1.0,4837.077901708582,w/o Greedy
0.04997001798920648,33884.33591899208,w/o Hypergraph
0.09994003597841296,13523.183272320239,w/o Hypergraph
0.14991005396761942,8178.469108903486,w/o Hypergraph
0.20007995202878273,5791.010711415654,w/o Hypergraph
0.25004997001798923,4454.744116014114,w/o Hypergraph
0.3000199880071957,3608.9757006841483,w/o Hypergraph
0.3499900059964022,3022.3319624712667,w/o Hypergraph
0.04997001798920648,1171706.1442326533,w/o Dynamics
0.09994003597841296,510879.41672442073,w/o Dynamics
0.14991005396761942,323470.20864614437,w/o Dynamics
0.20007995202878273,235161.1533325808,w/o Dynamics
0.25004997001798923,184687.79594461678,w/o Dynamics
0.3000199880071957,152008.57560542546,w/o Dynamics
0.3499900059964022,129346.43656256501,w/o Dynamics
