rank,protein,driver_score
1,YNL175C,0.999999999954826
2,YLR121C,0.8993122495175464
3,YOL010W,0.8637619135659834
4,YPL158C,0.8456881575031946
5,YLR460C,0.8251847597534182
6,YMR169C,0.8073546392245233
7,YBR152W,0.8026262581628935
8,YHL012W,0.7906793300103075
9,YNL327W,0.7810235512544746
10,YHR073W,0.7753240134544669
11,YNL245C,0.7670057747904473
12,YNL182C,0.7622404072611997
13,YLR056W,0.7598090013134312
14,YOL104C,0.7547891101372537
15,YOR195W,0.7479224998113986
16,YAL017W,0.7468732710919611
17,YPL003W,0.7408993433297826
18,YBL102W,0.7370239752297881
19,YKL116C,0.7348372837574547
20,YIL079C,0.7309671907116516
21,YML064C,0.7295946089536585
22,YDL237W,0.7255022911873302
23,YPR112C,0.724996603913034
24,YGR177C,0.7232211031586948
25,YAL023C,0.719971794102674
26,YNL025C,0.7185953660844188
27,YLR343W,0.7172421348497658
28,YLR350W,0.7140758817649935
29,YJR131W,0.7134770772304728
30,YCL059C,0.7105165100698336
31,YBR093C,0.7101789320754838
32,YPR151C,0.7088768922390841
33,YLR445W,0.707974072909991
34,YIL013C,0.7058648492502322
35,YPR006C,0.7045536826931726
36,YLR068W,0.7031705696780609
37,YDL099W,0.7014969270985381
38,YGR075C,0.7002902300330798
39,YOL107W,0.6994614843666735
40,YAL030W,0.6981415765845308
41,YGR288W,0.6968089043665157
42,YBR094W,0.6961533078820005
43,YHR066W,0.6944896866116484
44,YDR481C,0.6944037749700057
45,YDL093W,0.692566093244094
46,YLL041C,0.6908948944039551
47,YEL072W,0.6903992259648248
48,YML056C,0.6894390542897819
49,YOR266W,0.6885154780095726
50,YBL031W,0.6876875944939889
51,YBR295W,0.6872519726698344
52,YKR103W,0.6865296755949125
53,YOL081W,0.685189593429893
54,YMR068W,0.6845910148776462
55,YPR160W,0.6830592992984389
56,YER184C,0.682801819273201
57,YJR147W,0.6818100659021888
58,YNL101W,0.68043954797966
59,YPL069C,0.6800996583947041
60,YAL009W,0.678912067769978
61,YJL107C,0.6784101635348091
62,YMR262W,0.6774685047212686
63,YBL074C,0.6774021532798765
64,YBL052C,0.6770759019150885
65,YKL170W,0.6766439072757328
66,YPL267W,0.6752122487727226
67,YGR237C,0.6744442590924357
68,YNL307C,0.6743008939280756
69,YOL041C,0.6739801872218497
70,YMR115W,0.6729677905786385
71,YOR060C,0.6724344241527435
72,YNL196C,0.6714129161430663
73,YAL049C,0.671213400776875
74,YGR170W,0.6703271851254514
75,YMR117C,0.669591689013561
76,YOR084W,0.6693433723815067
77,YBL014C,0.6685627629250849
78,YEL038W,0.6676637185827087
79,YJL045W,0.6669173500186453
80,YML005W,0.6667497655634481
81,YIL061C,0.6661882662270753
82,YAR033W,0.6658319397683691
83,YJR047C,0.6651742352437657
84,YGR284C,0.6651450158484093
85,YBR073W,0.6645982109739654
86,YHR137W,0.6638730093814434
87,YPL077C,0.6633144308203293
88,YHR192W,0.6629309402466158
89,YOR269W,0.6620894335662684
90,YDL171C,0.6617378106476642
91,YPR045C,0.661525365286241
92,YDR247W,0.6608181295559323
93,YBL035C,0.6603771072245131
94,YKR091W,0.6596804870988783
95,YNR036C,0.6589775279306742
96,YCR016W,0.6589335520057115
97,YKL218C,0.6586443025574009
98,YPR116W,0.6581719374015039
99,YGR007W,0.6575804573356069
100,YKR084C,0.6571272678637784
101,YOR164C,0.6568387099186492
102,YDR294C,0.6565075639230018
103,YGR225W,0.6562366915957348
104,YDL193W,0.6555749660591405
105,YNL148C,0.6550383080058039
106,YLL007C,0.6544628317691259
107,YMR062C,0.6543008110335348
108,YGL128C,0.6539430457958735
109,YCL054W,0.6537099779920996
110,YDR530C,0.6535651217511429
111,YKL048C,0.6532925578438418
112,YAL060W,0.6529986364559708
113,YHR105W,0.6524786165143196
114,YKL095W,0.6519857395143037
115,YFR053C,0.6518884727017268
116,YPR030W,0.6513923750058214
117,YOR245C,0.6507073845264165
118,YML097C,0.6503599170050728
119,YGL022W,0.649899181484471
120,YBR098W,0.6497510839464967
121,YPL038W,0.6494340965166345
122,YPR166C,0.6489664220831761
123,YLL035W,0.6486216875954699
124,YER022W,0.6485610734417385
125,YLR353W,0.648133994868229
126,YDL070W,0.6475709935670073
127,YOR285W,0.6473234012958735
128,YJL035C,0.6472786332907492
129,YKR055W,0.6467264743860388
130,YNR063W,0.6464900947834475
131,YMR283C,0.6459399134690456
132,YHR146W,0.6455977480153836
133,YLR453C,0.6452674566877888
134,YEL057C,0.6449091647543906
135,YML116W,0.6444956285344533
136,YNL293W,0.644267897835123
137,YOR093C,0.6440512540321485
138,YOR241W,0.6436206864598172
139,YOR078W,0.643617986927344
140,YGL124C,0.6432163831082065
141,YIL078W,0.6429534244180259
142,YML108W,0.6425591876599165
143,YHL048W,0.6420703504177829
144,YOR362C,0.6419663133501959
145,YHR118C,0.6416750412317697
146,YDR425W,0.6414442251507456
147,YBL010C,0.6410834073124831
148,YPR026W,0.6406525341268721
149,YJL027C,0.640517687575222
150,YPR144C,0.6404479442270468
151,YPL188W,0.6401605267516393
152,YLR010C,0.6397770150827393
153,YGR059W,0.6396240251428523
154,YBR189W,0.6395215480082914
155,YLR210W,0.6391051782264051
156,YAL042W,0.6388723203181255
157,YNL240C,0.6384833130716911
158,YPR186C,0.6383825341549222
159,YNL279W,0.6380487019255773
160,YBL017C,0.6377107785837878
161,YNL247W,0.6373041144102636
162,YDR531W,0.6370825128256481
163,YPL007C,0.636868151081389
164,YOR214C,0.6366277667814394
165,YOR018W,0.6363953304681876
166,YJL180C,0.6361179095563757
167,YEL011W,0.6357755942469738
168,YDR493W,0.6355431836340161
169,YOR294W,0.6354922828563819
170,YLL005C,0.6352652714643006
171,YHR199C,0.6349703102784826
172,YDR336W,0.6346125074763123
173,YHR085W,0.6343060572234056
174,YJR144W,0.6342369726745394
175,YLR392C,0.633962833514163
176,YOR370C,0.6337052252356541
177,YML043C,0.633500461674788
178,YOL129W,0.6332727249716847
179,YML119W,0.6331539847455965
180,YLR233C,0.6327055511236815
181,YOL084W,0.6325635483444737
182,YBR227C,0.6321290913153429
183,YLR027C,0.6318942145450159
184,YOR349W,0.6318174912605021
185,YDR244W,0.6314758938189553
186,YIL159W,0.6313481857383465
187,YDL180W,0.6311380219119456
188,YOR360C,0.630879025260403
189,YBR065C,0.6307862613708718
190,YPL013C,0.6305722941117606
191,YGL169W,0.6303144101177269
192,YBL060W,0.6301164474500053
193,YBR294W,0.6299339125207696
194,YGL111W,0.6298183219273364
195,YGL162W,0.6296999649224334
196,YNL132W,0.6295799682818445
197,YPL180W,0.6293784701497284
198,YBR219C,0.6291027369074278
199,YHR054C,0.6288813986391938
200,YAL040C,0.6286226909193606
201,YDL202W,0.6283888867056532
202,YBR141C,0.6282140730120406
203,YAL044C,0.6280256179512533
204,Q0115,0.6278317036923943
205,YPL068C,0.6274380872567348
206,YDL021W,0.6274049762609041
207,YFL055W,0.6271213780169019
208,YJL097W,0.6270252807464104
209,YBR203W,0.6266936288214018
210,YIL124W,0.6265306976733276
211,YNL169C,0.6262799676957711
212,YDR218C,0.6260298550760869
213,YCL005W,0.6258744689309558
214,YJR138W,0.6258472363194685
215,YEL004W,0.6256724786710001
216,YLR165C,0.6253682771529044
217,YMR078C,0.6251253377812823
218,YKL201C,0.6250176164092544
219,YLR336C,0.6248856494821023
220,YOR198C,0.6245603569255853
221,YDR181C,0.6243280867154237
222,YGR289C,0.6241312413189689
223,YNL325C,0.6240497161311861
224,YBR135W,0.62379052262985
225,YNL258C,0.6235665988649751
226,YBL004W,0.6235121021414971
227,YOR305W,0.623386681737831
228,YDR020C,0.6233453273640699
229,YGR138C,0.6230420521787935
230,YMR136W,0.6229823725060485
231,YNL103W,0.622712611571519
232,YJL122W,0.6224917430158434
233,YHR190W,0.6223315745855329
234,YLR288C,0.6220623132580848
235,YKL139W,0.6218869521017126
236,YGR130C,0.6216829550861945
237,YIR021W,0.6214626578703544
238,YML004C,0.6214359292238713
239,YDR299W,0.6212586689071181
240,YDR303C,0.6211882819785495
241,YCL008C,0.6211109976667875
242,YDR316W,0.620928876857675
243,YOR226C,0.6206510076842127
244,YOL116W,0.6204252502317421
245,YOL039W,0.6203457390240963
246,YPL002C,0.6200225345709861
247,YNL188W,0.6199305892893143
248,YJL187C,0.6198204498925591
249,YLR313C,0.6195981533266767
250,YNR040W,0.6194116668128312
251,YML131W,0.6192857113175912
252,YCL001W-A,0.6191612062302952
253,YHR037W,0.6190189950688736
254,YLR424W,0.6190046708640073
255,YKL072W,0.6188167045756825
256,YAL033W,0.6185978164205929
257,YBR263W,0.618385695986732
258,YDL077C,0.6182844394531734
259,YGL084C,0.6180118774982492
260,YCL061C,0.6178587921461872
261,YBL093C,0.6176545061539231
262,YGL082W,0.6175819895894991
263,YLR216C,0.6173867315480358
264,YCR014C,0.617262073439996
265,YDR332W,0.6171726757226724
266,YBR184W,0.6169086968526071
267,YMR139W,0.6167391106628086
268,YER168C,0.6166362769920828
269,YLR020C,0.6164076392137814
270,YGR004W,0.6163475184756416
271,YAL054C,0.6162172098365757
272,YNL076W,0.6159448783452937
273,YMR252C,0.6158503852104821
274,YOR253W,0.6156701546579927
275,YJL024C,0.6154162896255072
276,YDR427W,0.615310851581009
277,YJL033W,0.6151608686050122
278,YLR360W,0.6150759207273997
279,YBR252W,0.6149441211234008
280,YNL278W,0.6147032442215423
281,YPR002W,0.6145522211373569
282,YLL022C,0.6144334346295379
283,YCL029C,0.6142806604660446
284,YOL137W,0.6140938658877589
285,YJL004C,0.613890064513151
286,YKR060W,0.6138723557963377
287,YLR389C,0.6138123247277034
288,YOR080W,0.6135889779009396
289,YGL259W,0.6134612682661668
290,YGR215W,0.6133964619550454
291,YMR295C,0.6133838695124448
292,YFR038W,0.6131761443678851
293,YOL002C,0.6129825612938463
294,YGR171C,0.6127934567887962
295,YIL107C,0.612667880701953
296,YOR144C,0.6124853532197514
297,YPR168W,0.6124123101863416
298,YDR113C,0.6123707253269507
299,YIR031C,0.6121942858350755
300,YNL032W,0.6120868072150091
301,YPL037C,0.6119528652012873
302,YEL032W,0.6117659067070308
303,YJL056C,0.6115946599216852
304,YNL088W,0.6115353209658408
305,YPL031C,0.6113835729044907
306,YPL194W,0.611169858549598
307,YHR008C,0.6110512257065049
308,YBR058C,0.6108858487121435
309,YOL095C,0.610713788800864
310,YDR163W,0.6105711540125303
311,YLR423C,0.6104272147063148
312,YOR185C,0.6102724330379505
313,YLR363C,0.6101867618788656
314,YOR386W,0.6100911432532561
315,YJL216C,0.6098845074096679
316,YLR418C,0.6097648242523027
317,YNL265C,0.6096112758658331
318,YKL025C,0.6095401265661397
319,YDR536W,0.6092887259376718
320,YGL245W,0.6091490705704573
321,YKL033W,0.6091285225536383
322,YDL231C,0.6089170021444459
323,YLR117C,0.6088406582514292
324,YMR296C,0.6087690663209785
325,YKL178C,0.6086485742440515
326,YBR243C,0.6085032752999368
327,YJL131C,0.6083998323750421
328,YEL052W,0.6082452230524543
329,YCL039W,0.6081317512473985
330,YHR123W,0.6079694380141882
331,YLR148W,0.607922429422366
332,YGL190C,0.6077813173128054
333,YIL043C,0.6077677217981643
334,YMR185W,0.607568930471614
335,YNL083W,0.6075324594874196
336,YLR227C,0.6073212523115855
337,YMR268C,0.6072663512014899
338,YBL068W,0.6071487931575879
339,YOR034C,0.6070721155866594
340,YKL222C,0.6068579356169749
341,YLR120C,0.6068415801883427
342,YPL140C,0.6066362936742647
343,YOR004W,0.6064890613892648
344,YFL052W,0.6063290960728895
345,YGR157W,0.6062479370773328
346,YPR042C,0.6061468530005913
347,YDR027C,0.6060346416898157
348,YGR052W,0.6058922444663526
349,YNL037C,0.605777102212063
350,YAL058W,0.6055766856857465
351,YPR147C,0.6054655448506236
352,YAR028W,0.6053335979594161
353,YGL093W,0.6052091977793683
354,YML029W,0.6050434702304412
355,YER091C,0.6049483450217302
356,YEL019C,0.6048449988485373
357,YDR120C,0.6047659391829127
358,YKL181W,0.6045730809417582
359,YLR401C,0.6045427793092163
360,YDR197W,0.6043798912173413
361,YDR046C,0.6042459371895235
362,YER094C,0.6040837837321533
363,YLR449W,0.6040671335593947
364,YGR198W,0.6039701681500924
365,YGR156W,0.6038650335333438
366,YHR081W,0.6037980607870912
367,YPL115C,0.6037657442150576
368,YPL203W,0.6035606919309898
369,YDR179W-A,0.6034665017385071
370,YNL158W,0.603279045517363
371,YLR238W,0.6031705818936024
372,YBR159W,0.6030311157949282
373,YDL233W,0.6029618298830285
374,YGL211W,0.6027971599678095
375,YGL001C,0.6026535843750039
376,YDR268W,0.6025745290926341
377,YIL019W,0.6024733572383627
378,YMR010W,0.6023933333771639
379,YGL243W,0.6022928840656353
380,YNL212W,0.6021842642752008
381,YCL042W,0.6020690304979455
382,YDL055C,0.6019789023196604
383,YKL162C,0.6019382328203197
384,YLR138W,0.6018276622772494
385,YGR021W,0.60168405898522
386,YDL107W,0.6015136625133846
387,YNR017W,0.6014258928672059
388,YPR179C,0.6012812638581916
389,YER093C-A,0.6012136530707256
390,YNL040W,0.6010842152316108
391,YAR008W,0.6009926534313421
392,YMR031C,0.6008681681879834
393,YDR501W,0.6008513403809345
394,YGR087C,0.6006557305377827
395,YNL010W,0.6005109747774096
396,YLR166C,0.6004321545786603
397,YGR037C,0.6003596254141865
398,YDR240C,0.6003289349583749
399,YNL152W,0.6001708365094242
400,YLR292C,0.6000721639274798
401,YCR090C,0.5999041607442684
402,YPL027W,0.599798460709424
403,YML128C,0.5997437264892472
404,YER140W,0.5997146113790291
405,YER082C,0.5995809080849444
406,YML002W,0.5994844943730318
407,YMR217W,0.5994467960565175
408,YHR006W,0.5993144958657007
409,YBR157C,0.5992318329680105
410,YBR074W,0.5991499338591649
411,YGR089W,0.5990962464075401
412,YGR270W,0.598982900081005
413,YML054C,0.5988513204452484
414,YPR093C,0.5987710847643888
415,YGR262C,0.5986746344979123
416,YDR312W,0.5985238257314359
417,YOL103W,0.5984780376188685
418,YKL050C,0.5983076568248508
419,YBR207W,0.5982566439841445
420,YMR144W,0.5981588723865665
421,YJL141C,0.5980355008094972
422,YHL019C,0.5979888203703215
423,YGL092W,0.5978517107057306
424,YBR112C,0.5976709149917835
425,YNL015W,0.5976301847331367
426,YBR069C,0.5975656625609611
427,YPL225W,0.5974598642551875
428,YBR087W,0.5973511944775323
429,YGR103W,0.5972906766456701
430,YKL082C,0.5972676985647274
431,YOR074C,0.597173174579149
432,YCR099C,0.5971573586632727
433,YHR064C,0.5970393870995476
434,YGL201C,0.5970203729180906
435,YMR233W,0.5968364373970698
436,YJL210W,0.5967719035627655
437,YGR218W,0.5967410939037129
