index,protein,bc
0,YFL026W,1628.6200019510288
1,YPR168W,0.0
2,YDR404C,137.56529674400653
3,YKL048C,5.779213563406926
4,YGR108W,46.98647578015928
5,YDR432W,460.2403016771748
6,YGL115W,1213.0588513337648
7,YPL085W,0.0
8,YNL312W,0.0
9,YLR327C,0.0
10,YOR093C,86.75825411217829
11,YJL098W,10780.955165099016
12,YJL048C,0.0
13,YML112W,0.0
14,YKL023W,37.05821593622141
15,YPR106W,367.7707019536824
16,YNL166C,51.1382192653393
17,YOR294W,1467.2089337165596
18,YDR452W,0.0
19,YLR187W,0.0
20,YPR023C,0.0
21,YPL203W,691.4795446174531
22,YPL233W,0.0
23,YBR126C,0.0
24,YPR054W,69.2733324026262
25,YBL025W,211.17853441718248
26,YGL227W,0.0
27,YJR138W,263.90023685548744
28,YBL101C,96.33565317663346
29,YLR131C,504.26131032231524
30,YNL197C,0.0
31,YJL057C,0.0
32,YJL080C,0.0
33,YJL106W,148.6111811367257
34,YHR097C,0.0
35,YOR039W,396.90384679991513
36,YPR019W,0.0
37,YJR007W,0.0
38,YBL016W,3161.6727469793036
39,YDR150W,1082.2301291010247
40,YNL071W,0.0
41,YHR076W,89.19953117535965
42,YAL034W-A,0.0
43,YNL110C,342.14932008793073
44,YJL083W,888.7622692424314
45,YLR256W,0.0
46,YMR124W,265.3713526641116
47,YNL058C,0.0
48,YGR116W,0.0
49,YER161C,0.0
50,YMR165C,0.0
51,YNL298W,0.0
52,YMR196W,0.0
53,YKL010C,0.0
54,YAL041W,37.85299656125164
55,YOR372C,0.0
56,YGR282C,0.0
57,YKR021W,415.64651035959935
58,YDR074W,0.0
59,YOR054C,1345.1211709001345
60,YML032C,0.0
61,YBL103C,1013.3887749701397
62,YNL049C,559.648119028553
63,YDR128W,97.47789001183308
64,YPR005C,0.0
65,YFR014C,0.0
66,YHR088W,32.81177387788866
67,YFR046C,0.0
68,YKL166C,17.560815295425744
69,YLR072W,136.21792279725744
70,YGL215W,0.0
71,YGR040W,293.6210267364321
72,YOL123W,3126.259529138597
73,YOL082W,3597.9816808599458
74,YCL017C,0.0
75,YJL111W,63.33399702680722
76,YCR004C,6805.528282327778
77,YIL142W,921.358051169043
78,YPR070W,0.0
79,YFR028C,32868.23166512041
80,YAR014C,584.5659336920456
81,YDR052C,0.0
82,YPR030W,321.9525660964042
83,YOR028C,0.0
84,YMR028W,95.16249305158816
85,YDR216W,4102.248113715917
86,YOL041C,2623.1601919229183
87,YHR019C,0.0
88,YER129W,1447.8957267524931
89,YMR290C,673.6825388915354
90,YBR140C,0.0
91,YJR019C,0.0
92,YJL154C,246.04730240135606
93,YJL165C,0.0
94,YPR160W,71.43543795811578
95,YHL018W,182.7502270602825
96,YOL081W,0.0
97,YMR229C,4154.93272450523
98,YKL159C,0.0
99,YHL032C,0.0
100,YDL149W,53.9453188409007
101,YMR246W,174.874341068543
102,YBR097W,0.0
103,YGR095C,0.0
104,YPL093W,2460.8309144964774
105,YOR267C,309.3884518678039
106,YBR135W,2577.5579727103973
107,YGR179C,0.0
108,YDR373W,0.0
109,YPL254W,71.93262229702948
110,YFR029W,0.0
111,YNL128W,0.0
112,YLR384C,0.0
113,YPL089C,199.43282833285602
114,YKL172W,805.4941690122567
115,YDR032C,193.84949151775808
116,YOR373W,241.92378528391998
117,YDL003W,0.0
118,YNL236W,0.0
119,YOR290C,0.0
120,YGR241C,34.91906157604004
121,YPR129W,0.0
122,YOR244W,0.0
123,YKL171W,1238.613830117859
124,YOL054W,2633.337058128459
125,YPL128C,0.0
126,YLR273C,0.0
127,YLR381W,0.0
128,YAL040C,53.354084305627296
129,YKL035W,580.2751184661365
130,YJL151C,0.0
131,YDR177W,0.0
132,YDR388W,88.02363373795833
133,YDL143W,891.3339970268073
134,YFL008W,0.0
135,YER032W,0.0
136,YBL066C,3021.053391073189
137,YBL085W,2656.6554104042384
138,YOR257W,1018.5753686044972
139,YHR082C,7832.0661289875925
140,YDL160C,0.0
141,YJL187C,4030.3557619317567
142,YMR199W,24.630373605640354
143,YGR271W,34.07673193903149
144,YLR079W,3200.028315919058
145,YBR079C,353.4753135965648
146,YJR072C,0.0
147,YER059W,496.39576688937314
148,YPR029C,0.0
149,YHR186C,4331.5708888285135
150,YDL134C,477.12484937847626
151,YOL069W,375.84750022054885
152,YCR086W,1493.6963536602814
153,YDL047W,536.4294039896861
154,YBR010W,0.0
155,YKL134C,0.0
156,YGR238C,584.5659336920456
157,YJL042W,0.0
158,YDL085W,0.0
159,YBR154C,108.04660661293603
160,YGL208W,40.766981672141426
161,YDR022C,0.0
162,YCR046C,0.0
163,YNL161W,490.98077599749496
164,YGL180W,0.0
165,YLR196W,3188.143374957955
166,YLR025W,412.50000000000006
167,YOL148C,245.85695778254708
168,YDR188W,63.33399702680722
169,YDR085C,0.0
170,YIL117C,0.0
171,YMR273C,0.0
172,YGR267C,0.0
173,YGL206C,138.62598883394833
174,YBR211C,0.0
175,YAL035W,0.0
176,YCR002C,124.83901119293617
177,YOL139C,0.0
178,YGR142W,0.0
179,YCL030C,0.0
180,YLL043W,0.0
181,YBR038W,591.2585874411349
182,YOR198C,1740.469362270068
183,YMR216C,223.05569036808942
184,YGR280C,84.99201976355215
185,YBL023C,0.0
186,YNL020C,76.36481737793834
187,YCL010C,71.93262229702948
188,YJR110W,16.248655712721103
189,YAR003W,0.0
190,YLR410W,0.0
191,YGR052W,5762.267285507522
192,YGL070C,0.0
193,YFR003C,1001.0540349913975
194,YLR006C,156.88953047293418
195,YIL106W,244.50256172205715
196,YNL056W,0.0
197,YAL021C,0.0
198,YGR200C,0.0
199,YIL002C,0.0
200,YNR031C,586.4745281894341
201,YJL074C,0.0
202,YCR091W,0.0
203,YMR308C,0.0
204,YMR276W,1059.7399865343848
205,YLR248W,67.75659752976688
206,YJL006C,0.0
207,YGR204W,0.0
208,YPL042C,1852.6429087582385
209,YDR516C,0.0
210,YER089C,0.0
211,YER164W,27.93640993057291
212,YBL056W,0.0
213,YMR171C,0.0
214,YBR028C,0.0
215,YPL043W,159.815068482374
216,YOR233W,5.482846592710539
217,YKL190W,68.37414109579261
218,YOL113W,7.135190548184426
219,YNL027W,0.0
220,YDL108W,41.33710226414429
221,YPL141C,0.0
222,YFR013W,0.0
223,YJL128C,1729.3009475785761
224,YDR167W,71.93262229702948
225,YKR024C,0.0
226,YNL289W,0.0
227,YMR311C,0.0
228,YPL267W,214.4589223518529
229,YER174C,0.0
230,YNL107W,409.4914811337899
231,YKR010C,1011.2917830361188
232,YNL085W,496.03933870630107
233,YOR018W,0.0
234,YBR160W,5721.356645533086
235,YMR033W,0.0
236,YFR019W,0.0
237,YPL219W,0.0
238,YJL010C,0.0
239,YEL055C,241.22081538362465
240,YNL118C,0.0
241,YGR071C,0.0
242,YGL090W,0.0
243,YHR107C,124.83901119293617
244,YMR102C,0.0
245,YLR373C,0.0
246,YER110C,0.0
247,YLL008W,948.8846097178941
248,YER052C,0.0
249,YBR081C,245.85695778254708
250,YLR019W,269.6399403375455
251,YJL184W,0.0
252,YOR151C,434.83085927216985
253,YNR023W,80.3094723500055
254,YJL076W,10116.201677041905
255,YMR275C,142.89227569692915
256,YOR201C,701.6921299694055
257,YDL159W,414.1254998012731
258,YPR041W,0.0
259,YHL007C,8.83726099864697
260,YOR090C,0.0
261,YPR163C,0.0
262,YNL006W,1513.7470401650683
263,YNL084C,82.64148195492591
264,YJL053W,0.0
265,YIL122W,0.0
266,YOR231W,944.0312260697813
267,YDR497C,2656.5936814731563
268,YBR039W,1078.0216635517463
269,YLR226W,0.0
270,YKL088W,0.0
271,YMR139W,59.71902591576305
272,YML111W,644.0366396026465
273,YGL205W,0.0
274,YGR002C,0.0
275,YGL003C,0.0
276,YML117W,474.2677072547594
277,YDL084W,0.0
278,YIL045W,386.1722420743253
279,YKL014C,0.0
280,YBR059C,2263.723934058392
281,YDR238C,0.0
282,YDL053C,2084.2952146928033
283,YGL197W,1922.0792547607416
284,YPR025C,41.33710226414429
285,YGL195W,1091.3289895538583
286,YER123W,0.0
287,YBR095C,0.0
288,YHR121W,225.11833460712026
289,YMR086W,0.0
290,YPR008W,101.27113943193898
291,YJL066C,3244.8319138505103
292,YHR058C,0.0
293,YMR047C,163.49372551551673
294,YER155C,2423.746355774699
295,YBL037W,0.0
296,YDR477W,2533.5235617938324
297,YDR348C,0.0
298,YKL064W,175.8331298581144
299,YER022W,0.0
300,YDR211W,5474.888633821934
301,YNL175C,588.3028350526281
302,YLR430W,0.0
303,YGR159C,0.0
304,YJR092W,17.10728822794636
305,YIL109C,0.0
306,YGL100W,97.47789001183308
307,YLR337C,34.91906157604004
308,YDL127W,0.0
309,YDL079C,158.36018833051088
310,YGL009C,0.0
311,YGL093W,0.0
312,YOL067C,0.0
313,YDL006W,184.74327727859966
314,YOR206W,84.36152469597637
315,YDR212W,2071.1109613959948
316,YFR024C-A,241.16718722097258
317,YFR002W,0.0
318,YNL183C,1673.6188669290188
319,YKL081W,0.0
320,YER178W,24.0
321,YHR135C,542.9114923196476
322,YPR016C,114.5154262951423
323,YPL031C,1493.5470272120237
324,YNL295W,0.0
325,YDR229W,4975.02996145375
326,YMR319C,0.0
327,YGR188C,0.0
328,YOR209C,0.0
329,YHR033W,0.0
330,YIL094C,134.75089945773647
331,YBR130C,0.0
332,YOR326W,426.72640171508783
333,YHR012W,0.0
334,YBR093C,0.0
335,YNL112W,0.0
336,YJL061W,793.8644517472503
337,YGR252W,71.93262229702948
338,YGR233C,23.62287735111981
339,YOR078W,0.0
340,YER105C,0.0
341,YKL074C,0.0
342,YCL028W,225.98233841242785
343,YAL014C,0.0
344,YGL111W,171.52663819040623
345,YGR162W,574.3409563924583
346,YGR070W,0.0
347,YLR116W,0.0
348,YNL265C,2066.5
349,YBL064C,0.0
350,YGR068C,598.9821983871777
351,YNL002C,478.68829397393733
352,YNL025C,854.3855401019828
353,YMR068W,0.0
354,YBR083W,49.76358371705552
355,YOR061W,9222.424905690212
356,YJL014W,1308.6821397259414
357,YOR046C,88.02363373795833
358,YOL010W,0.0
359,YGL059W,0.0
360,YNR016C,478.94936240910823
361,YER125W,1039.5446974183603
362,YGL099W,0.0
363,YDR145W,71.93262229702948
364,YER027C,21.482827104843455
365,YNL001W,86.15181576257487
366,YPR119W,278.4710042587982
367,YER041W,0.0
368,YLR362W,0.0
369,YMR214W,0.0
370,YNL307C,740.8942502856819
371,YOR224C,108.04660661293603
372,YKR038C,0.0
373,YDL161W,0.0
374,YDR127W,0.0
375,YPL140C,1091.2764387224915
376,YIL151C,204.62091415747116
377,YDL230W,32.07435640122191
378,YLR096W,10210.869942609725
379,YHR030C,6485.295761310051
380,YEL018W,0.0
381,YLR180W,1800.0146729848136
382,YFL024C,409.4914811337899
383,YGR005C,108.04660661293603
384,YJL095W,10461.699059960383
385,YBL051C,0.0
386,YJL005W,0.0
387,YMR116C,0.0
388,YJL039C,0.0
389,YLL001W,114.31882532128283
390,YOR171C,0.0
391,YCL035C,0.0
392,YGR231C,0.0
393,YDR490C,104.2850053273264
394,YPR133C,0.0
395,YOL005C,137.56529674400653
396,YPL180W,613.6436497771057
397,YCL032W,0.0
398,YCR073C,156.88953047293418
399,YOL078W,358.6321194727834
400,YIL144W,259.3579490312753
401,YBR125C,189.582361451331
402,YDR060W,0.0
403,YKL068W,163.49372551551673
404,YBR198C,71.93262229702948
405,YDR460W,41.33710226414429
406,YER165W,910.3251305009184
407,YPL118W,0.0
408,YER025W,2961.604705036181
409,YML025C,0.0
410,YDR443C,0.0
411,YJR082C,0.0
412,YCR008W,0.0
413,YER036C,56.83241153600647
414,YMR036C,1123.4766594217294
415,YIL113W,1.6163957061904148
416,YER040W,165.7900001883529
417,YPL209C,0.0
418,YJL172W,0.0
419,YOL036W,0.0
420,YAL043C,0.0
421,YIL095W,602.1366235582607
422,YDL031W,0.0
423,YOL116W,0.0
424,YOL138C,97.47789001183308
425,YKL161C,3442.7655478095967
426,YNL217W,0.0
427,YHR013C,0.0
428,YIL026C,0.0
429,YGR237C,0.0
430,YOR178C,671.494246999559
431,YHR016C,0.0
432,YIL129C,0.0
433,YDR168W,0.0
434,YER167W,1617.3543213005594
435,YHR128W,0.0
436,YGR196C,0.0
437,YGR270W,0.0
438,YER111C,0.0
439,YJR059W,0.5467297067548164
440,YGL049C,123.77079928514182
441,YPR191W,211.14556184726888
442,YIL125W,0.0
443,YDR176W,71.93262229702948
444,YOL016C,0.0
445,YKR058W,0.0
446,YGL105W,0.0
447,YHL025W,0.0
448,YER126C,0.0
449,YDR448W,197.9704682304841
450,YPL256C,184.8760269527636
451,YDL155W,2351.1463291847354
452,YPL237W,0.0
453,YPL086C,0.0
454,YAL031C,0.0
455,YGL151W,0.0
456,YPL137C,8.487767156534861
457,YOR174W,0.0
458,YDR515W,0.0
459,YJR089W,0.0
460,YJL141C,101.48736155144147
461,YGL019W,3691.4840005184137
462,YML074C,1782.612622803344
463,YAL016W,477.12484937847626
464,YFL049W,0.0
465,YLR133W,0.0
466,YAL017W,15.168477799846997
467,YJL084C,0.0
468,YML036W,1648.0
469,YJL041W,793.8644517472503
470,YCR028C-A,51.49034258539763
471,YHR143W-A,108.04660661293603
472,YPL204W,7176.508439185743
473,YPL016W,0.0
474,YHR102W,191.55732247117194
475,YKL080W,501.45413770064533
476,YCL043C,1751.4311669920835
477,YBR225W,976.8262073797462
478,YBR260C,320.4967824666832
479,YJL176C,892.7576768022205
480,YBR156C,0.0
481,YER183C,0.0
482,YBR142W,280.5549990161528
483,YML102W,0.0
484,YDR457W,0.0
485,YDR480W,49.76358371705552
486,YCR030C,2031.5015348663
487,YKR096W,789.3269979184001
488,YBR200W,420.68448587704313
489,YMR079W,0.0
490,YPL026C,0.0
491,YGR140W,0.0
492,YLR423C,969.9261404106767
493,YKL103C,2218.609793894995
494,YDR359C,409.4914811337899
495,YBR018C,349.02505033603035
496,YPL049C,347.62857699430555
497,YPR143W,306.90248905677527
498,YPR010C,4201.171680833578
499,YLR210W,14.985429223793888
500,YLL013C,817.0876956595224
501,YER166W,0.0
502,YGR203W,0.0
503,YJL157C,541.5945337271452
504,YDR038C,0.0
505,YGR250C,229.6602620999857
506,YKR028W,14.080773755939266
507,YPL211W,0.0
508,YIL115C,1559.0154284512682
509,YPR040W,48.28342841603941
510,YKL139W,0.0
511,YOR099W,0.0
512,YNL243W,114.1411205514495
513,YLR347C,584.0528347509108
514,YGL245W,0.0
515,YPR049C,1470.1814880709728
516,YNR032W,0.0
517,YGR185C,0.0
518,YCL011C,907.0397591524585
519,YDR436W,0.0
520,YML016C,0.0
521,YOR298C-A,0.0
522,YIL078W,0.0
523,YNL004W,907.0397591524585
524,YMR172W,223.02158551869263
525,YNR035C,0.0
526,YDR466W,87.97100737908274
527,YIL053W,0.0
528,YPR185W,0.0
529,YPR111W,621.1927595858996
530,YBL007C,241.4432365011234
531,YDR424C,213.2720849654879
532,YLR005W,0.0
533,YNL222W,0.0
534,YPL129W,0.0
535,YDR130C,0.0
536,YDR381W,498.9461431772486
537,YCR016W,0.0
538,YFL018C,0.0
539,YKR081C,867.4781781287512
540,YMR080C,0.0
541,YNL077W,0.0
542,YPR187W,108.04660661293603
543,YKL168C,89.90392175801739
544,YJL008C,0.0
545,YLR449W,114.5154262951423
546,YJR049C,0.0
547,YML103C,0.0
548,YDL140C,395.8798294001835
549,YML057W,307.09097323479216
550,YLL004W,0.0
551,YLR055C,245.85695778254708
552,YIL009W,0.0
553,YGL202W,0.0
554,YFL021W,0.0
555,YNR012W,0.0
556,YKL089W,0.0
557,YLR342W,5799.809579670324
558,YDL014W,0.0
559,YHR161C,34.91906157604004
560,YGR161C,1083.2482576290292
561,YBR109C,3190.2096932179934
562,YOR207C,0.0
563,YNR047W,0.0
564,YGL207W,222.76895490142974
565,YGR184C,0.0
566,YPL169C,64.71144068703953
567,YNL007C,124.1444958893426
568,YPR164W,128.06864566796278
569,YFR015C,5521.898685993779
570,YDL101C,411.2730861476043
571,YOR329C,0.0
572,YFL033C,232.80505551546656
573,YGR080W,7.5776684862337715
574,YOR208W,9.952682465708033
575,YPL120W,0.0
576,YGR103W,1681.0424593012137
577,YGR240C,511.4874894003331
578,YBL004W,0.0
579,YLR108C,0.0
580,YOR368W,0.0
581,YOL001W,706.1738340175024
582,YNL032W,0.0
583,YER132C,3116.8936993365164
584,YNL225C,0.0
585,YLR433C,0.0
586,YPL047W,0.0
587,YER114C,29.809870628992748
588,YDR308C,0.0
589,YGR090W,3339.0421676992537
590,YJL209W,0.0
591,YPR159W,0.0
592,YMR131C,0.0
593,YDR247W,2080.8822289231375
594,YEL062W,101.98693397064503
595,YDL225W,124.83901119293617
596,YLL003W,0.0
597,YPL179W,0.0
598,YDR499W,0.0
599,YDR475C,587.5540349913964
600,YNL099C,0.0
601,YMR205C,1399.6653008503513
602,YOL045W,0.0
603,YOL100W,0.0
604,YNL199C,0.0
605,YBL079W,659.9994830830578
606,YMR236W,0.0
607,YGL229C,29.934882767396466
608,YPL149W,0.0
609,YLR192C,0.0
610,YGR262C,1648.0
611,YPL078C,0.0
612,YKL203C,1837.0485141749132
613,YDR283C,1263.8538592609568
614,YIL033C,709.4589692563444
615,YFR001W,114.5154262951423
616,YMR049C,3557.284112918836
617,YGL120C,667.2028647932644
618,YPL153C,252.77417992434124
619,YDL214C,11.679211361010083
620,YKL140W,127.00771226706998
621,YBR133C,0.0
622,YDR383C,0.0
623,YDR251W,87.97100737908274
624,YJL173C,0.0
625,YDR439W,320.97126313532357
626,YIL042C,69.27333240262614
627,YOR353C,1236.3758389757813
628,YLR314C,124.83901119293617
629,YJL164C,17.560815295425744
630,YDL028C,2290.340266050991
631,YLR113W,1301.2546107435924
632,YOR069W,0.0
633,YNL138W,0.0
634,YER139C,0.0
635,YGL190C,3293.719538396792
636,YPR047W,0.0
637,YDL117W,0.0
638,YDL215C,0.0
639,YCL024W,629.4335490342016
640,YKL129C,0.0
641,YNL042W,0.0
642,YCL054W,114.5154262951423
643,YBR221C,0.0
644,YLR223C,328.66337747090654
645,YGR097W,8091.999238643627
646,YMR270C,341.5256763062251
647,YNL189W,4795.5267162788405
648,YBL047C,1010.5066551463253
649,YPR181C,652.4836565416
650,YLR182W,0.0
651,YCR009C,1614.1259806072571
652,YOR265W,0.0
653,YNL047C,0.0
654,YML006C,2435.4453841733844
655,YDR379W,0.0
656,YER062C,0.0
657,YKL101W,0.0
658,YDR206W,1671.476012196795
659,YLR368W,0.0
660,YKL062W,1490.2881428877185
661,YDR087C,1248.6496183073257
662,YPL012W,425.19136009903076
663,YMR291W,0.0
664,YBR084W,2662.454368223364
665,YIL051C,828.0
666,YCR081W,0.0
667,YGL073W,0.0
668,YDR507C,3068.573455796305
669,YMR076C,0.0
670,YER120W,0.0
671,YGR130C,546.4067356273154
672,YOL063C,0.0
673,YOR272W,37.75705363335304
674,YMR104C,0.0
675,YBL088C,0.0
676,YGR198W,0.0
677,YPR120C,298.8768913814487
678,YPL247C,101.48736155144147
679,YKL198C,0.0
680,YOR026W,0.0
681,YPR162C,0.0
682,YGL216W,0.0
683,YOL051W,0.0
684,YER133W,2814.7174646211
685,YPR042C,0.0
686,YIR023W,0.0
687,YKL193C,1001.0540349913975
688,YIL154C,1316.84234610618
689,YLR258W,2827.1356924016686
690,YNL061W,564.1461979265176
691,YBL050W,0.0
692,YDR195W,0.0
693,YCL031C,0.0
694,YNL053W,204.73090135511472
695,YDR299W,580.3134659938154
696,YNL233W,0.0
697,YJR076C,124.83901119293617
698,YGL158W,4848.171123004475
699,YGL127C,0.0
700,YMR012W,721.8694985563335
701,YIR026C,352.43721457714946
702,YDL132W,0.0
703,YGL106W,414.9517172442012
704,YJR053W,0.0
705,YHR170W,0.0
706,YER107C,163.49372551551673
707,YGR156W,0.0
708,YDR020C,0.0
709,YDL188C,124.76530642262243
710,YKL082C,5.909375741812749
711,YFR040W,24.44523896221351
712,YIR006C,184.5137891823977
713,YIR003W,0.0
714,YKL009W,0.0
715,YER095W,0.0
716,YHR099W,1049.698952175657
717,YOR017W,181.11518819451706
718,YER015W,402.1428610333779
719,YER028C,0.0
720,YLR240W,0.0
721,YHR052W,1883.616516143675
722,YJR057W,17.23252603952916
723,YPR161C,3.613642586578552
724,YMR261C,0.0
725,YML091C,4003.460856844735
726,YBL105C,24.909851134973717
727,YMR212C,0.0
728,YGL112C,2283.730256128647
729,YER033C,166.335763460785
730,YDR207C,0.0
731,YLR215C,0.0
732,YLR067C,702.3210937596841
733,YNL267W,0.0
734,YOR127W,0.0
735,YDL179W,64.35636934958193
736,YAR007C,0.0
737,YMR100W,0.0
738,YMR223W,71.93262229702948
739,YAL025C,0.0
740,YDL060W,0.0
741,YJL123C,0.0
742,YDR239C,86.75825411217829
743,YHR158C,632.5367929468217
744,YDR028C,434.7221871063659
745,YCL014W,17.10728822794636
746,YGL066W,71.93262229702948
747,YPL217C,0.0
748,YOR227W,0.0
749,YCR079W,0.0
750,YNL132W,453.35485124128894
751,YML109W,0.0
752,YNL229C,426.04452745383986
753,YGL119W,0.0
754,YPL235W,1512.1622203743898
755,YIL105C,798.643152537798
756,YGL134W,990.5923832604926
757,YDL066W,1104.4282643199676
758,YMR295C,524.1056204010592
759,YFL047W,0.0
760,YDL025C,0.0
761,YJR064W,0.0
762,YOR081C,0.0
