index,protein,dc
0,YFL026W,71.99181191346302
1,YPR168W,138.8972993968344
2,YDR404C,129.38102021763285
3,YKL048C,85.2554022077614
4,YGR108W,41.546306818067976
5,YDR432W,91.71191411779812
6,YGL115W,101.039775503666
7,YPL085W,57.50891657124107
8,YNL312W,24.69464890366042
9,YLR327C,31.339258250103107
10,YOR093C,146.8648236180345
11,YJL098W,300.87495279064024
12,YJL048C,33.477275862259866
13,YML112W,15.496709009128468
14,YKL023W,46.286970906837915
15,YPR106W,61.2762674614382
16,YNL166C,59.706406379054314
17,YOR294W,315.0190156726759
18,YDR452W,18.40347882794827
19,YLR187W,50.37337810552989
20,YPR023C,96.16784421671028
21,YPL203W,108.23274463569656
22,YPL233W,85.83369961959161
23,YBR126C,9.51569694110539
24,YPR054W,46.768668601557
25,YBL025W,143.09630582138914
26,YGL227W,22.1284655320808
27,YJR138W,151.48126539528405
28,YBL101C,100.94418511428789
29,YLR131C,157.23765919771557
30,YNL197C,97.24981582730658
31,YJL057C,19.28807852517247
32,YJL080C,31.339258250103107
33,YJL106W,83.34649775641842
34,YHR097C,82.93520530838359
35,YOR039W,160.8129515030555
36,YPR019W,10.5952240499648
37,YJR007W,154.71753636611245
38,YBL016W,285.5276478224031
39,YDR150W,135.8524925165837
40,YNL071W,25.818642042856936
41,YHR076W,128.94766851628611
42,YAL034W-A,85.83369961959161
43,YNL110C,69.58355564019998
44,YJL083W,52.74983313051018
45,YLR256W,18.77894507910048
46,YMR124W,99.70510280490517
47,YNL058C,68.77182571873094
48,YGR116W,87.76934346291279
49,YER161C,25.896651522773237
50,YMR165C,9.20704838257563
51,YNL298W,13.42422365212999
52,YMR196W,34.47615580937692
53,YKL010C,59.94331926138804
54,YAL041W,31.968402292239062
55,YOR372C,62.68287990478616
56,YGR282C,12.75081151646841
57,YKR021W,135.2919349925249
58,YDR074W,9.51569694110539
59,YOR054C,81.66683526402466
60,YML032C,3.26058902035031
61,YBL103C,179.44407177174338
62,YNL049C,66.85322215843766
63,YDR128W,115.95675666243433
64,YPR005C,27.828130032684108
65,YFR014C,18.357684695418392
66,YHR088W,98.34891663047567
67,YFR046C,85.83369961959161
68,YKL166C,88.57531942900545
69,YLR072W,107.35714502131992
70,YGL215W,7.44940142933574
71,YGR040W,116.17579034539577
72,YOL123W,145.08496823074378
73,YOL082W,124.40330005028419
74,YCL017C,15.77080486186047
75,YJL111W,69.22261910164605
76,YCR004C,36.173199831747766
77,YIL142W,85.75129410097728
78,YPR070W,138.8972993968344
79,YFR028C,612.6936377154932
80,YAR014C,198.91573901272284
81,YDR052C,3.26058902035031
82,YPR030W,139.61126536220476
83,YOR028C,66.67332479486542
84,YMR028W,47.29197484337424
85,YDR216W,265.73589917936266
86,YOL041C,181.9396323742288
87,YHR019C,31.77801900828595
88,YER129W,242.02678590351883
89,YMR290C,265.2328698713593
90,YBR140C,97.24981582730658
91,YJR019C,27.56438679155409
92,YJL154C,74.47514140742754
