index,protein,ec
0,YFL026W,0.01098124832122452
1,YPR168W,0.025098869192927264
2,YDR404C,0.014008547753708467
3,YKL048C,0.03226377400609553
4,YGR108W,0.006596206293216649
5,YDR432W,0.029571669518107007
6,YGL115W,0.03124092634159384
7,YPL085W,0.002898641574357624
8,YNL312W,7.180472863335881e-05
9,YLR327C,0.005770747158192924
10,YOR093C,0.0543394319392856
11,YJL098W,0.0637716375926575
12,YJL048C,0.00158299767201001
13,YML112W,0.0010367676579975135
14,YKL023W,0.015716476054000707
15,YPR106W,0.015937921685815228
16,YNL166C,0.004606277085143576
17,YOR294W,0.11766855249157776
18,YDR452W,0.0004538990286680774
19,YLR187W,0.005219662240779837
20,YPR023C,0.015502045365704088
21,YPL203W,0.013067327381229094
22,YPL233W,0.0052487870964871225
23,YBR126C,5.1349722875052615e-40
24,YPR054W,0.008942538364418363
25,YBL025W,0.046159802959079774
26,YGL227W,0.003141257772960489
27,YJR138W,0.04436335535183854
28,YBL101C,0.018456407214088866
29,YLR131C,0.04548479835498513
30,YNL197C,0.018911933493159724
31,YJL057C,0.0008152122882882581
32,YJL080C,0.005770747158192924
33,YJL106W,0.03305913882010309
34,YHR097C,0.010184913533095509
35,YOR039W,0.05338198081201109
36,YPR019W,0.0008810054304878161
37,YJR007W,0.06769092480909047
38,YBL016W,0.08820220260117911
39,YDR150W,0.026195486280659052
40,YNL071W,3.357412441368678e-39
41,YHR076W,0.0525154826833441
42,YAL034W-A,0.0052487870964871225
43,YNL110C,0.013627472998122602
44,YJL083W,0.010734926199714683
45,YLR256W,0.0010746321764810586
46,YMR124W,0.031182702527640584
47,YNL058C,0.013124173640875517
48,YGR116W,0.008214039212713275
49,YER161C,0.006614795135676597
50,YMR165C,0.0008619706885787309
51,YNL298W,0.001072884051202097
52,YMR196W,0.0031195161847208776
53,YKL010C,0.019880842045067713
54,YAL041W,0.002757483937831628
55,YOR372C,0.013816136462121197
56,YGR282C,0.0005201002841899393
57,YKR021W,0.037359199418648376
58,YDR074W,5.1349722875052615e-40
59,YOR054C,0.026756951715186172
60,YML032C,4.87593398611892e-79
61,YBL103C,0.03671302041844984
62,YNL049C,0.02063939988345883
63,YDR128W,0.03224888379277258
64,YPR005C,0.0040683448994533015
65,YFR014C,0.0034218844382282523
66,YHR088W,0.03633670807568884
67,YFR046C,0.0052487870964871225
68,YKL166C,0.008170741926740492
69,YLR072W,0.02886325718691167
