selected_frac,energy_cost,strategy
0.05,110589.32064944651,Random
0.1,42122.19184287113,Random
0.15,18834.147973870386,Random
0.2,12249.348932031453,Random
0.25,8157.686556406268,Random
0.3,5293.563340698779,Random
0.35,4448.285022866238,Random
0.4,3632.3674281096064,Random
0.45,2837.505620457756,Random
0.5,2455.163100303401,Random
0.55,2256.6068018624887,Random
0.6,1997.9438038429007,Random
0.65,1821.0567710250293,Random
0.7,1616.3750521378133,Random
0.75,1511.147034323657,Random
0.8,1330.2147005990519,Random
0.85,1198.9091523643135,Random
0.9,1127.5797855265632,Random
0.95,956.9461383279711,Random
1.0,900.8014884098749,Random
0.05,169662.8059690613,DC
0.1,35614.80706818131,DC
0.15,18217.899085567176,DC
0.2,9503.231585417961,DC
0.25,6820.340130886962,DC
0.3,4794.974776652214,DC
0.35,3823.3228876880517,DC
0.4,3107.175182396524,DC
0.45,2589.7724033915447,DC
0.5,2189.417013411843,DC
0.55,1860.6689442388235,DC
0.6,1627.843905139439,DC
0.65,1454.066676642552,DC
0.7,1323.6774220808775,DC
0.75,1212.6590792925017,DC
0.8,1118.1593301600587,DC
0.85,1044.0097377985599,DC
0.9,986.809491132355,DC
0.95,940.0694437926165,DC
1.0,900.8014884098748,DC
0.05,76937.83783597506,BC
0.1,21945.5230817149,BC
0.15,11147.934429679235,BC
0.2,7306.920395328729,BC
0.25,5283.740407379294,BC
0.3,4205.070977055243,BC
0.35,3393.120725492755,BC
0.4,2683.5036591326075,BC
0.45,2304.0612013418386,BC
0.5,1966.3204408778527,BC
0.55,1709.464343261371,BC
0.6,1524.722325580693,BC
0.65,1389.8920377758423,BC
0.7,1279.7596049994456,BC
0.75,1188.8577508606736,BC
0.8,1112.2400741693293,BC
0.85,1046.910937172016,BC
0.9,990.8451078897007,BC
0.95,944.1580240358517,BC
1.0,900.8014884098749,BC
0.05,134149.91307670873,EC
0.1,23978.37984018594,EC
0.15,13462.99061605825,EC
0.2,8954.453055923575,EC
0.25,7255.62175282713,EC
0.3,5543.094263104298,EC
0.35,4137.438195205131,EC
0.4,3246.8317850972107,EC
0.45,2626.073884052734,EC
0.5,2196.863106212908,EC
0.55,1871.9702248143303,EC
0.6,1654.6445500639857,EC
0.65,1448.8205732889287,EC
0.7,1307.9526803244134,EC
0.75,1203.003460209858,EC
0.8,1114.6406639785796,EC
0.85,1042.7734223568862,EC
0.9,985.9767939167439,EC
0.95,939.5614167607614,EC
1.0,900.8014884098748,EC
0.05057471264367816,30315.759852415707,HyperDriver (Full)
0.1,11889.750902472848,HyperDriver (Full)
0.14942528735632185,7055.161827477009,HyperDriver (Full)
0.2,4949.550064907893,HyperDriver (Full)
0.25057471264367814,3817.943544827936,HyperDriver (Full)
0.3,3107.107437202906,HyperDriver (Full)
0.34942528735632183,2616.3471053113944,HyperDriver (Full)
0.05,55010317.81135034,w/o Greedy
0.1,22211133.961650405,w/o Greedy
0.15,6918333.99164244,w/o Greedy
0.2,3453592.9232767182,w/o Greedy
0.25,2187510.1106825704,w/o Greedy
0.3,1334289.7022957513,w/o Greedy
0.35,879430.9144057194,w/o Greedy
0.4,578908.8456943202,w/o Greedy
0.45,413140.16912077623,w/o Greedy
0.5,318643.47621530853,w/o Greedy
0.55,232605.76091842836,w/o Greedy
0.6,191065.17602037376,w/o Greedy
0.65,148003.32580771844,w/o Greedy
0.7,116721.21342908048,w/o Greedy
0.75,99134.72652767842,w/o Greedy
0.8,58116.093543896735,w/o Greedy
0.85,30284.849968593284,w/o Greedy
0.9,14741.784994922895,w/o Greedy
0.95,6440.707436890783,w/o Greedy
1.0,900.8014884098749,w/o Greedy
0.05057471264367816,114341.32297605815,w/o Hypergraph
0.1,13738.338613877531,w/o Hypergraph
0.14942528735632185,5288.16945448613,w/o Hypergraph
0.2,2797.3972365774844,w/o Hypergraph
0.25057471264367814,1795.0588093535766,w/o Hypergraph
0.3,1297.0858430886706,w/o Hypergraph
0.34942528735632183,1007.1846435022292,w/o Hypergraph
0.05057471264367816,12128408.161628649,w/o Dynamics
0.1,1884128.7765668817,w/o Dynamics
0.14942528735632185,595170.2945520827,w/o Dynamics
0.2,276494.06496865745,w/o Dynamics
0.25057471264367814,159651.0403935077,w/o Dynamics
0.3,105224.23527661964,w/o Dynamics
0.34942528735632183,77388.15065709606,w/o Dynamics
