selected_frac,energy,strategy
0.05,90625.70871675038,Random
0.1,41330.77273432001,Random
0.15,23932.572476504625,Random
0.2,15308.583667790466,Random
0.25,7244.848528994269,Random
0.3,5024.461743753295,Random
0.35,4223.453276004406,Random
0.4,3503.83177757719,Random
0.45,2999.066834752779,Random
0.5,2408.116095296179,Random
0.55,2176.4728531408564,Random
0.6,2005.5317403517174,Random
0.65,1833.5168836138644,Random
0.7,1615.205535174798,Random
0.75,1508.3487785421908,Random
0.8,1391.3550204807675,Random
0.85,1288.065260971855,Random
0.9,1167.8742947433996,Random
0.95,1063.32919132781,Random
1.0,999.0663128579878,Random
0.05,329849.1254871504,DC
0.1,77230.46858124167,DC
0.15,35922.09745974605,DC
0.2,20127.99853623825,DC
0.25,12392.760470671423,DC
0.3,7386.396261534684,DC
0.35,5567.64868176866,DC
0.4,4332.388656880171,DC
0.45,3533.4257795500316,DC
0.5,2901.006061850938,DC
0.55,2454.2156760614535,DC
0.6,2083.8434400840824,DC
0.65,1822.9666237451556,DC
0.7,1590.9470176345958,DC
0.75,1415.7377642356364,DC
0.8,1279.0049706454752,DC
0.85,1177.602167312728,DC
0.9,1104.7281154926943,DC
0.95,1043.260070658774,DC
1.0,999.0663128579878,DC
0.05,122295.81656474582,BC
0.1,28486.288526909404,BC
0.15,14154.930726291943,BC
0.2,8942.463669543238,BC
0.25,6375.838890460534,BC
0.3,4804.0224030649215,BC
0.35,3769.6943234601868,BC
0.4,3026.578485353961,BC
0.45,2602.6029154366997,BC
0.5,2248.5756928594674,BC
0.55,1940.4342933610988,BC
0.6,1720.1901888278157,BC
0.65,1552.4417362376785,BC
0.7,1429.1099249291972,BC
0.75,1319.8759356045234,BC
0.8,1232.5136340398801,BC
0.85,1160.492164318592,BC
0.9,1098.683389692351,BC
0.95,1045.2653847665897,BC
1.0,999.0663128579878,BC
0.05,274464.3574349899,EC
0.1,47138.26927040481,EC
0.15,25172.623402681747,EC
0.2,16931.203210257278,EC
0.25,13714.022343002664,EC
0.3,9668.139460356788,EC
0.35,6399.553447828546,EC
0.4,4620.99157234716,EC
0.45,3794.6497232997117,EC
0.5,3113.7691918877663,EC
0.55,2569.444408839531,EC
0.6,2105.227323672155,EC
0.65,1792.1678484897407,EC
0.7,1588.6054048835042,EC
0.75,1425.2217121186977,EC
0.8,1289.0933626309152,EC
0.85,1173.9044609084453,EC
0.9,1098.2333910637035,EC
0.95,1041.4878740605047,EC
1.0,999.0663128579878,EC
0.04948216340621404,33112.50933560192,HyperDriver
0.1001150747986191,12472.87378116989,HyperDriver
0.14959723820483314,7658.470577839859,HyperDriver
0.2002301495972382,5426.952801014468,HyperDriver
0.24971231300345226,4207.736788532445,HyperDriver
0.3003452243958573,3436.52269330551,HyperDriver
0.34982738780207134,2911.32916444948,HyperDriver
0.05,2453870058.3084574,w/o Greedy
0.1,22949161.34115987,w/o Greedy
0.15,7617109.333589318,w/o Greedy
0.2,4630174.517040273,w/o Greedy
0.25,2588822.2717459192,w/o Greedy
0.3,1702645.7254096672,w/o Greedy
0.35,1277000.0914077251,w/o Greedy
0.4,912683.1493892982,w/o Greedy
0.45,672101.5706786022,w/o Greedy
0.5,512584.56091650005,w/o Greedy
0.55,359656.3403974391,w/o Greedy
0.6,254962.5950390972,w/o Greedy
0.65,178063.39669573877,w/o Greedy
0.7,135937.75630659703,w/o Greedy
0.75,94946.22387246788,w/o Greedy
0.8,57771.435807977556,w/o Greedy
0.85,33114.87494250792,w/o Greedy
0.9,20190.777011250157,w/o Greedy
0.95,9608.580872381755,w/o Greedy
1.0,999.0663128579877,w/o Greedy
0.04948216340621404,181661.68808508402,w/o Hypergraph
0.1001150747986191,19532.21655416134,w/o Hypergraph
0.14959723820483314,7284.7877850588375,w/o Hypergraph
0.2002301495972382,3865.902042576063,w/o Hypergraph
0.24971231300345226,2506.583597882598,w/o Hypergraph
0.3003452243958573,1812.0476879650687,w/o Hypergraph
0.34982738780207134,1412.3596411987185,w/o Hypergraph
0.04948216340621404,19698450.21823635,w/o Dynamics
0.1001150747986191,1491866.6995390905,w/o Dynamics
0.14959723820483314,417332.4460860749,w/o Dynamics
0.2002301495972382,194141.77109526098,w/o Dynamics
0.24971231300345226,122815.85280213265,w/o Dynamics
0.3003452243958573,86856.17528636756,w/o Dynamics
0.34982738780207134,66333.43609643096,w/o Dynamics
