protein,score
YDR071C,0.9999999999965314
YOR323C,0.9578331003996514
YOR061W,0.9563016458768852
YLR342W,0.9424663174930642
YNL307C,0.9155307692910335
YPR115W,0.9133108695845947
YML074C,0.9118348474043648
YNL183C,0.9080339491615034
YDR477W,0.8934557085368439
YOR178C,0.8902601288283895
YER155C,0.8860600854664743
YOR039W,0.8815411479280062
YOL082W,0.8810269955514347
YDR497C,0.8789499810966863
YOR267C,0.8781553919700604
YPL260W,0.8729424571929099
YFR001W,0.8728147636522604
YER177W,0.8691342899351491
YJL042W,0.8684443108873691
YKL103C,0.8681245505477977
YDR150W,0.8664234897341624
YCR086W,0.8654463765793128
YGL019W,0.8611224739353441
YGR161C,0.8605234376676754
YPL031C,0.8590061879406761
YDL053C,0.8579469925413842
YMR311C,0.8565145394123652
YAL017W,0.852496632532391
YKL142W,0.850915946990564
YKR096W,0.8492902816764961
YBL047C,0.8486142899207063
YLR113W,0.8480490832699548
YDL066W,0.8477112874899434
YKL064W,0.8456801854429045
YMR295C,0.8444257897669804
YJL066C,0.8430899889169358
YBR039W,0.8426315635880245
YOR290C,0.8418616020482391
YOR265W,0.8417688796507258
YBL101C,0.8402919574507524
YCL011C,0.839966677860593
YHL025W,0.837508022243755
YAL014C,0.8366850313141094
YIL033C,0.835879095692843
YPL180W,0.8349149276448564
YOL081W,0.8347742117839974
YIL050W,0.8344470627375793
YGR240C,0.8343890617565962
YOL051W,0.8342084567421288
YDR128W,0.8335630646903874
YNL229C,0.8333523942406827
YBL051C,0.8326397834737371
YGL115W,0.8323726417572938
YAL016W,0.8313086575017286
YKL080W,0.8307901848950117
YPR023C,0.8297203660040076
YPR008W,0.8287103661494554
YJR144W,0.828595262611414
YPR030W,0.8275873191078333
YDL047W,0.8274389735674487
YNL027W,0.8274295692944518
YJL151C,0.8269429206087465
YDR388W,0.8259704974454674
YDR457W,0.82556914583097
YNR031C,0.8241200400666635
YCL030C,0.8238385824332648
YOR198C,0.8234934985936856
YDR424C,0.8221699630659064
YDR216W,0.8219410726563953
YDL134C,0.8214209382331774
YHR097C,0.8212929869579667
YOR227W,0.8212924287503813
YHR135C,0.821072839322832
YKL010C,0.8207475689123904
YJL141C,0.8207385416385597
YPR191W,0.8198510769189024
YCR030C,0.8188545259659789
YGL070C,0.8187212333490883
YER164W,0.8184192923607341
YKR072C,0.818354055980369
YML117W,0.8180427510380739
YDL188C,0.8171772750077229
YCR009C,0.8171576871109548
YIL042C,0.816910542900679
YGR130C,0.8166425266649663
YDR195W,0.8165687104320264
YDL079C,0.8165142950561912
YJR090C,0.8165138349506523
YBR083W,0.8161546334492887
YER107C,0.8160380252413361
YAL031C,0.8160080932663274
YBL103C,0.8158863393709873
YHR121W,0.8157877608051517
YPL109C,0.8156429836790944
YFR024C-A,0.8153734074811977
YGL195W,0.8151507406829966
YDR127W,0.8147078105136757
YPL089C,0.8146142962909615
YPL129W,0.8142107470060168
YPL247C,0.8140782536485587
