rank,protein,driver_score
1,YNL020C,0.9999999999466653
2,YGR109C,0.8997021097829214
3,YKL074C,0.8624935657499453
4,YDR475C,0.8475586638418943
5,YPL209C,0.8115045455359878
6,YMR172W,0.807780040477243
7,YOL041C,0.7878120767706388
8,YDL160C,0.7805293999722518
9,YIL117C,0.7737903346543009
10,YIL095W,0.7637938287672276
11,YGR188C,0.756594497883336
12,YPL047W,0.7523009232717314
13,YBL016W,0.7479561442443956
14,YNL025C,0.7408023142024756
15,YNL243W,0.738813189047759
16,YKL101W,0.7363633986440936
17,YAL025C,0.7246175704947957
18,YOR014W,0.7217499672263357
19,YLR067C,0.7204005361998987
20,YMR308C,0.7167399660742676
21,YGR186W,0.7122910207140296
22,YOR294W,0.7106362441717776
23,YKL048C,0.7056561553075767
24,YOR069W,0.7040792786661069
25,YMR236W,0.7015818074196287
26,YGR040W,0.6993742030690007
27,YDR168W,0.6959783613906597
28,YIR010W,0.6943771138558394
29,YJL061W,0.6883534838754966
30,YMR100W,0.6868740018847296
31,YJL084C,0.6836656300639027
32,YBR130C,0.679832721560614
33,YLR305C,0.6784278906358281
34,YLL013C,0.6777426823195217
35,YPR054W,0.6751589345766732
36,YDR452W,0.6738472558202898
37,YLR187W,0.6720138520342439
38,YBL007C,0.6676006380186295
39,YNL076W,0.6674403952804763
40,YGR052W,0.6661521050656822
41,YER033C,0.6637452729907912
42,YER032W,0.6633262346319203
43,YER015W,0.6624779961286223
44,YMR079W,0.6618155803208449
45,YOR206W,0.661036175713543
46,YDL179W,0.6582516230749729
47,YJR053W,0.6570853858702018
48,YPL109C,0.6556689420223992
49,YPL137C,0.6552916570113542
50,YKR010C,0.654949408503978
51,YLR190W,0.6534377019093259
52,YER052C,0.6506104099717662
53,YHR013C,0.6497396671016101
54,YFL024C,0.6487297412410316
55,YKL161C,0.6474759484528524
56,YOL081W,0.6472066416409865
57,YPL153C,0.6450327471235284
58,YPL129W,0.6443700257933157
59,YDR460W,0.6436688240339524
60,YOR295W,0.641803390803744
61,YDR217C,0.6413755028797615
62,YLR256W,0.6405126533441343
63,YDR480W,0.6400111247303213
64,YIL106W,0.638531040637125
65,YHR170W,0.6373380503415387
66,YGR238C,0.6367611571826302
67,YGR271W,0.6358918256437822
68,YGR184C,0.6355251201204736
69,YHR084W,0.6331965455546461
70,YGL106W,0.6331014951761906
71,YDL149W,0.6329146058960168
72,YDL085W,0.6317671602956214
73,YJL005W,0.6304894543444023
74,YGL151W,0.6299662342252366
75,YKR028W,0.6287594154493236
76,YGL100W,0.6285024455640914
77,YIL026C,0.6277888092390173
78,YPL118W,0.6259009678372618
79,YOR018W,0.6245485041695407
80,YGR156W,0.6243894133797968
81,YJL164C,0.6234887882335662
82,YKL014C,0.6231327974993968
83,YJR049C,0.6219506108660289
84,YJR057W,0.621738111987505
85,YAL017W,0.6209338045356178
86,YDR085C,0.6203015638951107
87,YLR386W,0.6198542658281786
88,YMR246W,0.6193405668532015
89,YDR356W,0.6189030871443699
90,YJR138W,0.6185483413884312
91,YGR071C,0.6176417383009506
92,YBR028C,0.6170094978078394
93,YDR388W,0.6164785019255932
94,YKL089W,0.6143875484049909
95,YJR089W,0.6142809147387764
96,YLR430W,0.6141755751740491
97,YPR168W,0.6137051262505742
98,YER129W,0.613594528793625
99,YPR187W,0.6135561732211198
100,YJR076C,0.6125235007948416
101,YGR142W,0.6112037812865125
102,YIL122W,0.6105770972790353
103,YEL055C,0.6103090508783297
104,YGL158W,0.6102784126263727
105,YKL010C,0.6098411820307247
106,YMR064W,0.6092773487856787
107,YDL117W,0.6085011567282144
108,YBL056W,0.6081463310859379
109,YLR071C,0.6078752989323087
110,YJL154C,0.607341680755482
111,YML111W,0.6069221080961623
112,YPR025C,0.6065744198001183
113,YLL008W,0.6063671046630211
114,YJL098W,0.6059443798197442
115,YBL004W,0.604874178007644
116,YML010W,0.6048555337686743
117,YBR095C,0.6043346959425364
118,YGL049C,0.6038003297511997
119,YJL181W,0.6032404578458381
120,YMR124W,0.6029424137946886
121,YLR433C,0.6027932340822104
122,YGR231C,0.6016972872039568
123,YPR042C,0.6015027948378152
124,YPL141C,0.6011159346855524
125,YHL018W,0.6008114136145462
126,YGR241C,0.6005500535417386
127,YOL148C,0.5994753764332418
128,YDL215C,0.5994285307460876
129,YOL010W,0.5990608656039985
130,YPL089C,0.5988564904591313
131,YJL106W,0.5984858212223818
132,YKL204W,0.5975715235521001
133,YDL031W,0.5970447594055103
134,YMR001C,0.5967706910586873
135,YBR081C,0.5964397903206278
136,YDR148C,0.5960838697777802
137,YNL132W,0.5959044331890938
138,YDR087C,0.5957497451366822
139,YDR379W,0.5950550171255454
140,YKR058W,0.5943886527673751
141,YDR162C,0.5942134654188815
142,YPR162C,0.5938708405261679
143,YNL071W,0.5937501438103121
144,YDR176W,0.5936970500969975
145,YOR227W,0.5932204758695113
146,YGR097W,0.5924079987733242
147,YOR209C,0.5921599822739021
148,YPR111W,0.5917425912346825
149,YLR384C,0.5916805196304991
