selected_frac,energy_cost,strategy
0.05,994865.3266251617,Random
0.1,371915.0023516427,Random
0.15,171082.3544909051,Random
0.2,125180.40770132307,Random
0.25,70108.37823005018,Random
0.3,56913.75885896648,Random
0.35,37338.3083998732,Random
0.4,33003.08519835965,Random
0.45,25193.769664433792,Random
0.5,17926.653410900646,Random
0.55,13200.25274674964,Random
0.6,12241.513815495877,Random
0.65,11451.99528476056,Random
0.7,10747.722062588575,Random
0.75,7505.076943788974,Random
0.8,5681.223933404232,Random
0.85,3165.4811990899966,Random
0.9,2880.8680917892793,Random
0.95,2692.4507552408368,Random
1.0,2516.130696431709,Random
0.05,836704.5544669388,DC
0.1,131439.97415240516,DC
0.15,62488.613290415524,DC
0.2,27702.932097973233,DC
0.25,18829.388551118423,DC
0.3,14362.72375676587,DC
0.35,11286.37729022179,DC
0.4,8757.192469554993,DC
0.45,7115.551948482873,DC
0.5,5941.603885810514,DC
0.55,5121.5717258563345,DC
0.6,4533.203293521106,DC
0.65,4062.226313334326,DC
0.7,3689.555308968745,DC
0.75,3383.8275631721976,DC
0.8,3121.8850405510793,DC
0.85,2913.9202976027273,DC
0.9,2749.628648055015,DC
0.95,2621.6021685518167,DC
1.0,2516.130696431709,DC
0.05,335143.2987329156,BC
0.1,62408.89165840013,BC
0.15,30181.089702908197,BC
0.2,19917.969526387307,BC
0.25,14593.85299751766,BC
0.3,11113.284505061249,BC
0.35,8918.790497717024,BC
0.4,7364.784976713726,BC
0.45,6214.76053584245,BC
0.5,5435.551295032088,BC
0.55,4857.233100196889,BC
0.6,4348.517908329872,BC
0.65,3985.696356582689,BC
0.7,3623.359052238354,BC
0.75,3316.0562470673985,BC
0.8,3083.404359418109,BC
0.85,2895.627049464596,BC
0.9,2745.6367948661823,BC
0.95,2623.390678557085,BC
1.0,2516.1306964317087,BC
0.05,661626.553182459,EC
0.1,133584.05156032427,EC
0.15,63737.28447434057,EC
0.2,31879.769307683724,EC
0.25,21390.943446264937,EC
0.3,13223.561553701918,EC
0.35,10629.580058352767,EC
0.4,8530.23837370491,EC
0.45,6953.8149509217865,EC
0.5,5862.102035096824,EC
0.55,5096.472265822192,EC
0.6,4534.423443516081,EC
0.65,4051.7691316393543,EC
0.7,3656.7123732247073,EC
0.75,3349.4322843580276,EC
0.8,3101.324183415859,EC
0.85,2901.8414499575747,EC
0.9,2745.7201487084662,EC
0.95,2622.603297708444,EC
1.0,2516.130696431709,EC
0.049941014549744395,75523.42455522821,HyperDriver (Full)
0.09988202909948879,29525.759999693102,HyperDriver (Full)
0.14982304364923318,17898.26031340711,HyperDriver (Full)
0.20015729453401496,12810.392113663176,HyperDriver (Full)
0.25009830908375935,10006.192489566587,HyperDriver (Full)
0.3000393236335037,8213.55093278487,HyperDriver (Full)
0.34998033818324814,6969.593127612514,HyperDriver (Full)
0.05,928761048.6780158,w/o Greedy
0.1,88759207.16698061,w/o Greedy
0.15,34752389.646947496,w/o Greedy
0.2,18566100.400293168,w/o Greedy
0.25,10339295.89523109,w/o Greedy
0.3,6404661.64312094,w/o Greedy
0.35,4414227.91678341,w/o Greedy
0.4,3131717.6805044953,w/o Greedy
0.45,2317091.068309234,w/o Greedy
0.5,1855787.9848386303,w/o Greedy
0.55,1446935.9854801558,w/o Greedy
0.6,1163005.109114056,w/o Greedy
0.65,1033728.9511160108,w/o Greedy
0.7,929402.9960906422,w/o Greedy
0.75,825263.159821788,w/o Greedy
0.8,673405.2340528293,w/o Greedy
0.85,384250.10802989156,w/o Greedy
0.9,196751.51379519675,w/o Greedy
0.95,80265.33475174276,w/o Greedy
1.0,2516.130696431709,w/o Greedy
0.049941014549744395,358733.94724529947,w/o Hypergraph
0.09988202909948879,38527.57976372166,w/o Hypergraph
0.14982304364923318,12824.967334747638,w/o Hypergraph
0.20015729453401496,6695.796180606305,w/o Hypergraph
0.25009830908375935,4313.976771502447,w/o Hypergraph
0.3000393236335037,3129.1856928785674,w/o Hypergraph
0.34998033818324814,2442.2006820779816,w/o Hypergraph
0.049941014549744395,16239601.576075895,w/o Dynamics
0.09988202909948879,2990476.8692312893,w/o Dynamics
0.14982304364923318,1138623.5888195646,w/o Dynamics
0.20015729453401496,602506.9399134992,w/o Dynamics
0.25009830908375935,391957.898767698,w/o Dynamics
0.3000393236335037,283898.13999371324,w/o Dynamics
0.34998033818324814,220814.11949648487,w/o Dynamics
