selected_frac,energy,strategy
0.05,217408.81025244453,Random
0.1,88781.86075392466,Random
0.15,53712.017574807505,Random
0.2,39228.65177795077,Random
0.25,24518.281491029808,Random
0.3,19626.5675445971,Random
0.35,16365.831321858099,Random
0.4,13016.931141957977,Random
0.45,10453.616782228277,Random
0.5,9580.344843313003,Random
0.55,8708.766992700132,Random
0.6,6876.1153248134215,Random
0.65,5956.646578127855,Random
0.7,5030.791069766294,Random
0.75,4458.719965829247,Random
0.8,4115.771396565285,Random
0.85,3834.2532429998028,Random
0.9,3586.8594994517007,Random
0.95,3324.764914550803,Random
1.0,2630.0339817534496,Random
0.05,375643.7617099639,DC
0.1,97785.21943587261,DC
0.15,36355.65090423114,DC
0.2,21390.33048585044,DC
0.25,15561.793771408744,DC
0.3,12279.2489206238,DC
0.35,10043.181219557984,DC
0.4,8344.589727924142,DC
0.45,7135.487089407188,DC
0.5,6140.119005858659,DC
0.55,5355.677097513879,DC
0.6,4778.7996859344985,DC
0.65,4304.968122566204,DC
0.7,3883.8047860155298,DC
0.75,3551.270674309538,DC
0.8,3283.6859211408464,DC
0.85,3063.088981050533,DC
0.9,2888.136022998967,DC
0.95,2746.375905918595,DC
1.0,2630.0339817534496,DC
0.05,399043.6575289015,BC
0.1,63712.652086046124,BC
0.15,28815.708088140986,BC
0.2,17101.93685499991,BC
0.25,12904.769990452838,BC
0.3,10470.47612809813,BC
0.35,8804.930833123037,BC
0.4,7585.640481378285,BC
0.45,6621.67574841422,BC
0.5,5805.0974370772165,BC
0.55,5159.433025216707,BC
0.6,4607.630439142347,BC
0.65,4191.637756829318,BC
0.7,3813.2695286115195,BC
0.75,3492.0576400751224,BC
0.8,3245.6406767914405,BC
0.85,3046.051959949351,BC
0.9,2882.4445519619285,BC
0.95,2745.9483980324667,BC
1.0,2630.0339817534496,BC
0.05,389330.8487265928,EC
0.1,98477.78077023706,EC
0.15,30996.2603030809,EC
0.2,20127.553142065954,EC
0.25,14488.499180912888,EC
0.3,11148.08985056607,EC
0.35,9096.029234175827,EC
0.4,7743.038654062716,EC
0.45,6632.630515301046,EC
0.5,5782.568161778563,EC
0.55,5101.763052618602,EC
0.6,4570.856746089005,EC
0.65,4143.971910215825,EC
0.7,3788.49977432152,EC
0.75,3488.6310723351808,EC
0.8,3245.1090410150546,EC
0.85,3046.621606429553,EC
0.9,2883.8412798877953,EC
0.95,2746.657187876334,EC
1.0,2630.0339817534496,EC
0.049980322707595434,67395.72238855153,HyperDriver
0.09996064541519087,29456.66003955174,HyperDriver
0.14994096812278632,18598.779793376598,HyperDriver
0.19992129083038174,13565.309307829826,HyperDriver
0.24990161353797719,10689.160091149472,HyperDriver
0.29988193624557263,8812.472295073541,HyperDriver
0.349862258953168,7492.773528756923,HyperDriver
0.05,14359627423.716799,w/o Greedy
0.1,141717723.1794735,w/o Greedy
0.15,54940497.49404766,w/o Greedy
0.2,17322313.477419835,w/o Greedy
0.25,10799582.869862635,w/o Greedy
0.3,7535623.362968337,w/o Greedy
0.35,6191115.048447587,w/o Greedy
0.4,5045920.770744817,w/o Greedy
0.45,4023703.585345566,w/o Greedy
0.5,3232027.6216560923,w/o Greedy
0.55,2294865.9969179067,w/o Greedy
0.6,1885104.6439489506,w/o Greedy
0.65,1438901.974029864,w/o Greedy
0.7,1137940.8270493369,w/o Greedy
0.75,873109.387420053,w/o Greedy
0.8,598652.462766416,w/o Greedy
0.85,330895.79289075354,w/o Greedy
0.9,162108.62765117598,w/o Greedy
0.95,55213.77306103455,w/o Greedy
1.0,2630.0339817534496,w/o Greedy
0.049980322707595434,518394.11767754005,w/o Hypergraph
0.09996064541519087,31387.966041818727,w/o Hypergraph
0.14994096812278632,9055.30574685476,w/o Hypergraph
0.19992129083038174,4623.821508949976,w/o Hypergraph
0.24990161353797719,3011.587720078093,w/o Hypergraph
0.29988193624557263,2197.0231703938434,w/o Hypergraph
0.349862258953168,1748.7481504260081,w/o Hypergraph
0.049980322707595434,15161818.561136194,w/o Dynamics
0.09996064541519087,2391877.741633185,w/o Dynamics
0.14994096812278632,878588.4996435838,w/o Dynamics
0.19992129083038174,485577.6592068232,w/o Dynamics
0.24990161353797719,318839.6325308499,w/o Dynamics
0.29988193624557263,233380.35836310298,w/o Dynamics
0.349862258953168,184578.2075174986,w/o Dynamics
