protein,score
YGR085C,0.9999999999996858
YNL067W,0.8947077312381976
YNL069C,0.8356478274299942
YPL198W,0.8229949480856356
YBR067C,0.815071538975433
YOR007C,0.8039133203102717
YGR214W,0.7888006796714367
YBR177C,0.7850537733804616
YMR186W,0.7796760655153792
YLR441C,0.7775983324398229
YDR214W,0.7741860243971969
YKL006W,0.773086973855634
YLR043C,0.7720239902503959
YOR230W,0.769363013269644
YFR053C,0.7683158698428488
YBL072C,0.7677522836753831
YNL052W,0.7667567526581724
YLR448W,0.7636581046080728
YOR388C,0.7608178932538016
YPL058C,0.7607955683557351
YHL033C,0.7601024148857015
YPL081W,0.7599475393520424
YLR333C,0.7577626489359234
YLL041C,0.7559160566755485
YDR471W,0.755839702029693
YCR004C,0.754600978794938
YER141W,0.754166320568631
YPL106C,0.7535896902697466
YDR127W,0.7488538514938008
YBR221C,0.7482329067297695
YCR073W-A,0.748094604510835
YJL136C,0.7479839407289374
YPL206C,0.746019116358357
YDL075W,0.7459124196999677
YLR150W,0.7455329362244697
YML028W,0.7441118924138229
YOR332W,0.7437604050681522
YER007C-A,0.7437324602160768
YAL039C,0.7422788526966867
YKL150W,0.741916802209652
YDL066W,0.7414330312680273
YNL255C,0.7410169383356042
YGL125W,0.7409531226708014
YKL080W,0.7409439196857982
YPL004C,0.7406093009025468
YMR205C,0.7403853426307634
YNL071W,0.740376683300599
YER086W,0.7402800238250817
YMR307W,0.739208494834223
YIL125W,0.7390017556345932
YMR173W,0.7383560785479546
YBR159W,0.7383358424141134
YGR234W,0.7383175543403522
YBL099W,0.7383119484838812
YPL061W,0.7382327008895
YKL003C,0.7377248765055104
YAR002C-A,0.7375649316000494
YJR104C,0.7374225222648363
YGR250C,0.7373505339177464
YGR204W,0.7371830160887552
YJL130C,0.7369184103724854
YBL027W,0.7368014715575464
YLR264W,0.7364282558065172
YPR004C,0.736420077659153
YLR325C,0.7361410376529375
YOR096W,0.7357964435255515
YDR502C,0.7357553033191461
