rank,protein,driver_score
1,YER127W,0.9999999999531918
2,YHR092C,0.9042066801291135
3,YDL051W,0.873013602551615
4,YKR090W,0.849826843621484
5,YMR061W,0.8209613005876395
6,YOL069W,0.8126388024327165
7,YMR230W,0.7989675540683948
8,YBR139W,0.7975234711462149
9,YLR321C,0.7821988713381248
10,YKR020W,0.7729630322527122
11,YNL175C,0.7662469395530099
12,YER156C,0.7625971748239736
13,YOL041C,0.7524570366162681
14,YML095C,0.7506482766304229
15,YBR143C,0.745021543310552
16,YGR278W,0.7446016774163294
17,YMR263W,0.7397556523425878
18,YBR222C,0.7349198266820638
19,YAL034W-A,0.730364921598076
20,YER157W,0.7255794267195861
21,YIL161W,0.7249773736201172
22,YHR081W,0.7223051037482349
23,YGR180C,0.7182102247503604
24,YPR112C,0.7173943471598639
25,YMR153W,0.7135151565062415
26,YIL104C,0.7127110431367768
27,YOR206W,0.7096587040487259
28,YDR430C,0.7090577247771269
29,YNL187W,0.7067176262252071
30,YNL168C,0.7040106713702409
31,YIR031C,0.7011105321484304
32,YHR085W,0.700135617508872
33,YKL192C,0.698685461291892
34,YFL024C,0.6971116638800823
35,YDR299W,0.6961528809914924
36,YGR179C,0.6955663199966887
37,YNL183C,0.6944639358300415
38,YNL082W,0.6921006772915302
39,YDR240C,0.6901323752332381
40,YFL048C,0.6890756200038901
41,YOR205C,0.6884514083707777
42,YPR056W,0.687275739738257
43,YCR057C,0.6866745058521698
44,YDR502C,0.6856415074917639
45,YDR137W,0.6832188012646438
46,YJL005W,0.6831185291230539
47,YBR034C,0.6807907121223964
48,YML112W,0.6787653242833955
49,YML056C,0.6787541591194656
50,YGL190C,0.6784491955672982
51,YNL106C,0.677601640609339
52,YLR249W,0.6769208819333216
53,YDR080W,0.6760548841709916
54,YJL176C,0.6748034332188941
55,YPR086W,0.6740672516091184
56,YNL103W,0.6721351400178903
57,YMR223W,0.6713848521938771
58,YHR034C,0.670844431052708
59,YNL277W,0.6694955489195336
60,YOL097C,0.6677022965870792
61,YBL004W,0.6667886411273987
62,YDR243C,0.666206651782188
63,YLR052W,0.6651161391117805
64,YCL009C,0.6648963515488733
65,YMR075W,0.6637155644439333
66,YBR200W,0.663361032151017
67,YHR066W,0.6623867236383255
68,YBL041W,0.6617330727181913
69,YFL052W,0.6606712153523713
70,YGL101W,0.6597271742820711
71,YDL209C,0.6594358554946693
72,YNL253W,0.6581857249251486
73,YIL035C,0.6580638467131884
74,YOR274W,0.6575390190770622
75,YOR344C,0.6564917195088127
76,YGR203W,0.6561632520188145
77,YER172C,0.6557232023241517
78,YMR225C,0.6554173579227857
79,YEL013W,0.6549309611625841
80,YDR365C,0.6546366146234703
81,YOR340C,0.6537174206022017
82,YBR048W,0.6534508150319881
83,YKR031C,0.6522852009334581
84,YER122C,0.6511097361429509
85,YIR002C,0.6504736079481331
86,YGR163W,0.6502394382657571
87,YOR027W,0.6492742389114614
88,YDR362C,0.6482164634074821
89,YHR206W,0.6478163786911042
90,YMR021C,0.6472126462068818
91,YIL001W,0.6467715904300777
92,YBL074C,0.6460605207979635
93,YMR091C,0.645990616660762
94,YLR105C,0.6457307272730639
95,YMR138W,0.6449491599529282
96,YER151C,0.6443354687306756
97,YPR102C,0.6443011585416967
98,YPR168W,0.6440432201271555
99,YNL273W,0.643252435717722
100,YCL037C,0.6426341970078567
101,YMR311C,0.6424013564509536
102,YDR478W,0.6419615424273714
103,YNL132W,0.6418669901540894
104,YHR042W,0.6411929310027789
105,YER013W,0.6404521307341563
106,YMR047C,0.6402191890970654
107,YKL172W,0.639819455744866
108,YMR099C,0.6392920601661993
109,YOL078W,0.6390600841248456
110,YMR089C,0.638392929796706
111,YPL085W,0.6376294200764312
112,YBL033C,0.6371722175861467
113,YLR215C,0.6368929923266168
114,YDL150W,0.6366014601420844
115,YML029W,0.6363975314931752
116,YLR191W,0.6361495239717931
117,YER052C,0.6352667277533448
118,YOR026W,0.6346545493246333
119,YCL059C,0.6341624167612426
120,YML094W,0.6339610171224799
121,YGL251C,0.6335373907482121
122,YEL022W,0.6335013164721689
123,YDR150W,0.6329751530452968
124,YJR084W,0.6329538338517805
125,YLR207W,0.6322188230180036
126,YKL143W,0.6319342057988838
127,YOR303W,0.6317677185844086
128,YDR228C,0.6312727492195396
129,YIL078W,0.6310495946896899
130,YCL032W,0.6303644831458483
131,YGR200C,0.6301781934234149
132,YMR193W,0.6297349223545086
133,YOR089C,0.6295261369529721
134,YJL184W,0.6290533181257958
135,YMR128W,0.6286202922349419
136,YBR044C,0.6283978335052142
137,YNL014W,0.6282515212856005
138,YAL029C,0.6280413552764132
139,YBR151W,0.6275416038643449
140,YHR015W,0.6270089075654366
141,YJR093C,0.6267462888119306
142,YOR293W,0.6266379158160387
143,YKL088W,0.6260398185766644
144,YFL022C,0.625910187911068
145,YLR210W,0.6253697156173552
146,YBR065C,0.6252113152348225
147,YDR496C,0.6248705667690567
148,YFR010W,0.6247507339312972
149,YOR298W,0.624406005982575
150,YOL146W,0.6239035094050103
151,YPR006C,0.6237537568433015
152,YHL029C,0.6231827985161146
153,YKL029C,0.6231577222900897
