index,protein,bc
0,YER127W,0.0
1,YLR424W,0.3157894736842105
2,YMR099C,0.0
3,YDR334W,0.0
4,YPL213W,0.0
5,YNL245C,0.0
6,YKL095W,0.0
7,YLR452C,0.0
8,YEL019C,1.0
9,YER029C,0.3157894736842105
10,YJL072C,0.0
11,YNL107W,0.0
12,YDR365C,0.0
13,YGR198W,0.0
14,YNL282W,0.0
15,YJL010C,0.0
16,YPL233W,0.0
17,YER133W,0.0
18,YOL136C,0.0
19,YBL018C,0.0
20,YLR132C,0.0
21,YER110C,0.0
22,YOR254C,0.0
23,YKL193C,0.0
24,YIL140W,0.0
25,YJL184W,0.0
26,YLR084C,0.0
27,YDR299W,0.0
28,YLR383W,1.0
29,YBR065C,0.3157894736842105
30,YLR007W,0.0
31,YAL034W-A,0.0
32,YHR196W,0.0
33,YKL088W,0.0
34,YNL124W,0.0
35,YML124C,0.0
36,YLR043C,0.0
37,YDR359C,0.0
38,YOL086C,0.0
39,YGR002C,0.0
40,YLR145W,0.0
41,YDL209C,0.3157894736842105
42,YPR182W,0.0
43,YER172C,0.3157894736842105
44,YOL034W,1.0
45,YHR099W,0.0
46,YKR022C,0.3157894736842105
47,YGR145W,0.0
48,YOR054C,0.0
49,YNR055C,0.0
50,YDL065C,0.0
51,YER038C,0.0
52,YDR489W,0.0
53,YAL032C,0.3157894736842105
54,YJR012C,0.0
55,YPL151C,0.3157894736842105
56,YDR211W,0.0
57,YHR019C,0.0
58,YDR013W,0.0
59,YGR209C,0.0
60,YEL026W,0.0
61,YGR159C,0.0
62,YPL235W,0.0
63,YDL105W,1.0
64,YNL260C,0.0
65,YGR179C,0.0
66,YGR278W,0.0
67,YOR341W,0.0
68,YLL034C,0.0
69,YLR147C,0.3157894736842105
70,YGR046W,0.0
71,YGL128C,0.3157894736842105
72,YKR079C,0.0
73,YBR257W,0.0
74,YOR244W,0.0
75,YDR364C,0.3157894736842105
76,YJR050W,0.0
77,YGL129C,0.0
78,YNL221C,0.0
79,YJL033W,0.0
80,YJR112W,0.0
81,YMR203W,3.0
82,YLR381W,0.0
83,YLR117C,5.81578947368421
84,YMR213W,0.3157894736842105
85,YPL018W,0.0
86,YNL313C,0.0
87,YLR309C,0.0
88,YHR062C,0.0
89,YGR074W,0.0
90,YJR135C,0.0
91,YKR072C,0.0
92,YLR175W,0.0
93,YPL063W,0.0
94,YLL061W,0.0
95,YHR085W,0.0
96,YDR478W,0.0
97,YJR136C,0.0
98,YIR010W,0.0
99,YOL146W,0.0
100,YDR288W,0.0
101,YKR038C,0.0
102,YGR030C,0.0
103,YDR170C,0.0
104,YJR100C,0.0
105,YJR067C,0.0
106,YKL173W,5.81578947368421
107,YDR190C,0.0
108,YKL195W,0.0
109,YDL074C,0.0
110,YLR305C,0.0
111,YAL033W,0.0
112,YEL018W,0.0
113,YGL120C,0.3157894736842105
114,YFL024C,0.0
115,YHR090C,0.0
116,YDR142C,0.0
117,YJL081C,0.0
118,YBL045C,0.0
119,YJL034W,0.0
120,YNL182C,0.0
121,YPR169W,0.0
122,YDR383C,0.0
123,YBR211C,0.0
124,YJL091C,0.0
125,YOR310C,0.0
126,YHR165C,5.81578947368421
127,YLR039C,0.0
128,YDL138W,0.0
129,YFR003C,0.0
130,YLL036C,57.81578947368422
131,YGR129W,0.0
132,YBR158W,0.0
133,YLR259C,0.0
134,YDR254W,0.0
135,YML023C,0.0
136,YHR197W,0.0
137,YBR121C,0.0
138,YPR101W,0.3157894736842105
139,YDR416W,0.3157894736842105
140,YJL208C,0.0
141,YCL061C,0.0
142,YMR008C,0.0
