index,protein,dc
0,YER127W,25.120200000000004
1,YLR424W,104.66750000000003
2,YMR099C,8.3734
3,YDR334W,46.05370000000001
4,YPL213W,100.48080000000003
5,YNL245C,16.7468
6,YKL095W,100.48080000000003
7,YLR452C,50.240400000000015
8,YEL019C,29.306900000000006
9,YER029C,104.66750000000003
10,YJL072C,12.5601
11,YNL107W,46.05370000000001
12,YDR365C,25.120200000000004
13,YGR198W,4.1867
14,YNL282W,33.49360000000001
15,YJL010C,12.5601
16,YPL233W,41.86700000000001
17,YER133W,8.3734
18,YOL136C,50.240400000000015
19,YBL018C,33.49360000000001
20,YLR132C,8.3734
21,YER110C,12.5601
22,YOR254C,20.933500000000002
23,YKL193C,8.3734
24,YIL140W,50.240400000000015
25,YJL184W,4.1867
26,YLR084C,50.240400000000015
27,YDR299W,25.120200000000004
28,YLR383W,29.306900000000006
29,YBR065C,104.66750000000003
30,YLR007W,20.933500000000002
31,YAL034W-A,41.86700000000001
32,YHR196W,25.120200000000004
33,YKL088W,8.3734
34,YNL124W,4.1867
35,YML124C,12.5601
36,YLR043C,50.240400000000015
37,YDR359C,46.05370000000001
38,YOL086C,12.5601
39,YGR002C,46.05370000000001
40,YLR145W,33.49360000000001
41,YDL209C,104.66750000000003
42,YPR182W,79.54730000000002
43,YER172C,104.66750000000003
44,YOL034W,29.306900000000006
45,YHR099W,46.05370000000001
46,YKR022C,104.66750000000003
47,YGR145W,25.120200000000004
48,YOR054C,8.3734
49,YNR055C,16.7468
50,YDL065C,50.240400000000015
51,YER038C,20.933500000000002
52,YDR489W,12.5601
53,YAL032C,104.66750000000003
54,YJR012C,16.7468
55,YPL151C,104.66750000000003
56,YDR211W,12.5601
57,YHR019C,20.933500000000002
58,YDR013W,12.5601
59,YGR209C,50.240400000000015
60,YEL026W,12.5601
61,YGR159C,12.5601
62,YPL235W,46.05370000000001
63,YDL105W,29.306900000000006
64,YNL260C,4.1867
65,YGR179C,41.86700000000001
66,YGR278W,100.48080000000003
67,YOR341W,50.240400000000015
68,YLL034C,50.240400000000015
69,YLR147C,104.66750000000003
70,YGR046W,4.1867
71,YGL128C,104.66750000000003
72,YKR079C,8.3734
73,YBR257W,33.49360000000001
74,YOR244W,46.05370000000001
75,YDR364C,104.66750000000003
76,YJR050W,100.48080000000003
77,YGL129C,4.1867
78,YNL221C,33.49360000000001
79,YJL033W,25.120200000000004
80,YJR112W,41.86700000000001
81,YMR203W,16.7468
82,YLR381W,41.86700000000001
83,YLR117C,108.85420000000003
84,YMR213W,104.66750000000003
85,YPL018W,41.86700000000001
86,YNL313C,12.5601
87,YLR309C,50.240400000000015
88,YHR062C,33.49360000000001
89,YGR074W,100.48080000000003
90,YJR135C,41.86700000000001
91,YKR072C,8.3734
92,YLR175W,4.1867
93,YPL063W,4.1867
94,YLL061W,16.7468
95,YHR085W,8.3734
96,YDR478W,33.49360000000001
97,YJR136C,4.1867
98,YIR010W,41.86700000000001
99,YOL146W,12.5601
100,YDR288W,20.933500000000002
101,YKR038C,4.1867
102,YGR030C,33.49360000000001
103,YDR170C,20.933500000000002
104,YJR100C,20.933500000000002
105,YJR067C,4.1867
106,YKL173W,108.85420000000003
107,YDR190C,46.05370000000001
108,YKL195W,12.5601
109,YDL074C,4.1867
110,YLR305C,4.1867
111,YAL033W,33.49360000000001
112,YEL018W,46.05370000000001
113,YGL120C,104.66750000000003
114,YFL024C,46.05370000000001
115,YHR090C,46.05370000000001
116,YDR142C,16.7468
117,YJL081C,46.05370000000001
118,YBL045C,8.3734
119,YJL034W,12.5601
120,YNL182C,8.3734
121,YPR169W,4.1867
122,YDR383C,41.86700000000001
123,YBR211C,41.86700000000001
124,YJL091C,20.933500000000002
125,YOR310C,25.120200000000004
126,YHR165C,108.85420000000003
127,YLR039C,50.240400000000015
128,YDL138W,50.240400000000015
129,YFR003C,8.3734
130,YLL036C,117.22760000000004
131,YGR129W,100.48080000000003
132,YBR158W,50.240400000000015
133,YLR259C,4.1867
134,YDR254W,41.86700000000001
135,YML023C,20.933500000000002
136,YHR197W,8.3734
137,YBR121C,12.5601
138,YPR101W,104.66750000000003
139,YDR416W,104.66750000000003
140,YJL208C,8.3734
141,YCL061C,20.933500000000002
142,YMR008C,16.7468
