index,protein,ec
0,YER127W,6.978208543439383e-13
1,YLR424W,0.19869595752255895
2,YMR099C,3.081096310394911e-22
3,YDR334W,4.8998984345416935e-08
4,YPL213W,0.19270206915136653
5,YNL245C,0.032514140309241366
6,YKL095W,0.19270206915136653
7,YLR452C,2.964827854474477e-07
8,YEL019C,6.093355939533477e-13
9,YER029C,0.19869595752255895
10,YJL072C,1.2158263571879225e-18
11,YNL107W,4.8998984345416935e-08
12,YDR365C,6.978208543439398e-13
13,YGR198W,3.2596996517752177e-28
14,YNL282W,9.556834226874399e-11
15,YJL010C,5.811943467549721e-19
16,YPL233W,7.57078739605097e-09
17,YER133W,7.05889377780595e-22
18,YOL136C,2.964827854474477e-07
19,YBL018C,9.556834226874399e-11
20,YLR132C,0.008493714165667287
21,YER110C,1.883029128366637e-18
22,YOR254C,1.8499258919919717e-14
23,YKL193C,7.058919366119351e-22
24,YIL140W,2.964827854474477e-07
25,YJL184W,1.7041455721281956e-27
26,YLR084C,2.964827854474477e-07
27,YDR299W,6.978208543439397e-13
28,YLR383W,6.093355939533478e-13
29,YBR065C,0.19869595752255895
30,YLR007W,4.757548558067427e-13
31,YAL034W-A,7.57078739605097e-09
32,YHR196W,6.978208543439402e-13
33,YKL088W,3.540456404540139e-22
34,YNL124W,2.702980284636642e-27
35,YML124C,1.1738337431655111e-18
36,YLR043C,2.964827854474477e-07
37,YDR359C,4.8998984345416935e-08
38,YOL086C,1.8830291276929683e-18
39,YGR002C,4.8998984345416935e-08
40,YLR145W,9.556834226874399e-11
41,YDL209C,0.19869595752255895
42,YPR182W,0.15356801874286835
43,YER172C,0.19869595752255895
44,YOL034W,6.093355939533478e-13
45,YHR099W,4.8998984345416935e-08
46,YKR022C,0.19869595752255895
47,YGR145W,6.978208543439381e-13
48,YOR054C,3.540445288215666e-22
49,YNR055C,3.982530610006326e-16
50,YDL065C,2.964827854474477e-07
51,YER038C,4.757548558067418e-13
52,YDR489W,1.215826356586066e-18
53,YAL032C,0.19869595752255895
54,YJR012C,3.9825306099975686e-16
55,YPL151C,0.19869595752255895
56,YDR211W,5.811943460560223e-19
57,YHR019C,1.8499258919919944e-14
58,YDR013W,1.215826356517138e-18
59,YGR209C,2.964827854474477e-07
60,YEL026W,5.811943467939702e-19
61,YGR159C,5.811943468790352e-19
62,YPL235W,4.8998984345416935e-08
63,YDL105W,6.09335593953347e-13
64,YNL260C,2.1618197126404e-28
65,YGR179C,7.57078739605097e-09
66,YGR278W,0.19270206915136653
67,YOR341W,2.964827854474477e-07
68,YLL034C,2.964827854474477e-07
69,YLR147C,0.19869595752255895
70,YGR046W,1.573006536016234e-28
71,YGL128C,0.19869595752255895
72,YKR079C,3.0810997262736163e-22
73,YBR257W,9.556834226874399e-11
74,YOR244W,4.8998984345416935e-08
75,YDR364C,0.19869595752255895
76,YJR050W,0.19270206915136653
77,YGL129C,4.6151636838960715e-28
78,YNL221C,9.556834226874399e-11
79,YJL033W,6.978208543439391e-13
80,YJR112W,7.57078739605097e-09
81,YMR203W,2.0452162080792923e-18
82,YLR381W,7.57078739605097e-09
83,YLR117C,0.19996501164655067
84,YMR213W,0.19869595752255895
85,YPL018W,7.57078739605097e-09
86,YNL313C,1.173833741546988e-18
87,YLR309C,2.964827854474477e-07
88,YHR062C,9.556834226874399e-11
89,YGR074W,0.19270206915136653
90,YJR135C,7.57078739605097e-09
91,YKR072C,3.540451645022039e-22
92,YLR175W,7.266803640568257e-28
93,YPL063W,6.627111644387996e-19
94,YLL061W,3.9825306099993253e-16
95,YHR085W,5.940920041528676e-22
96,YDR478W,9.556834226874399e-11
97,YJR136C,1.025874888066141e-27
98,YIR010W,7.57078739605097e-09
99,YOL146W,1.2158263550153689e-18
100,YDR288W,4.757548558067419e-13
101,YKR038C,8.318229072022819e-28
102,YGR030C,9.556834226874399e-11
103,YDR170C,1.849925891992006e-14
104,YJR100C,1.8499258919920383e-14
105,YJR067C,1.6500231207861883e-27
106,YKL173W,0.19996501164655067
107,YDR190C,4.8998984345416935e-08
108,YKL195W,1.883029126960993e-18
109,YDL074C,8.22364453182061e-28
110,YLR305C,5.587790802567986e-28
111,YAL033W,9.556834226874399e-11
112,YEL018W,4.8998984345416935e-08
113,YGL120C,0.19869595752255892
114,YFL024C,4.8998984345416935e-08
115,YHR090C,4.8998984345416935e-08
116,YDR142C,3.9825306099981134e-16
117,YJL081C,4.8998984345416935e-08
118,YBL045C,0.008493714165667287
119,YJL034W,1.1738337432003681e-18
120,YNL182C,5.940931743093508e-22
121,YPR169W,1.8278547473712945e-28
122,YDR383C,7.57078739605097e-09
123,YBR211C,7.57078739605097e-09
124,YJL091C,1.849925891991959e-14
125,YOR310C,6.978208543439394e-13
126,YHR165C,0.1999650116465507
127,YLR039C,2.964827854474477e-07
128,YDL138W,2.964827854474477e-07
129,YFR003C,7.058909962545526e-22
130,YLL036C,0.20062804519979424
131,YGR129W,0.19270206915136653
132,YBR158W,2.964827854474477e-07
133,YLR259C,5.456437052398411e-28
134,YDR254W,7.57078739605097e-09
135,YML023C,4.757548558067419e-13
136,YHR197W,5.940920356937571e-22
137,YBR121C,1.1738337411810581e-18
138,YPR101W,0.19869595752255892
139,YDR416W,0.19869595752255892
140,YJL208C,3.0810903474286583e-22
141,YCL061C,1.849925891992079e-14
142,YMR008C,3.982530609997912e-16
