selected_frac,energy_cost,strategy
0.05,46262.12614862293,Random
0.1,8865.754716817097,Random
0.15,4576.31666575594,Random
0.2,2303.0661909799474,Random
0.25,1378.5758188849425,Random
0.3,1026.0862994081274,Random
0.35,792.8289183664914,Random
0.4,692.3866690123142,Random
0.45,451.30250237333337,Random
0.5,394.7353096405085,Random
0.55,307.7194945770073,Random
0.6,268.675425604013,Random
0.65,240.89399535188733,Random
0.7,221.6833647090586,Random
0.75,203.44652812998874,Random
0.8,181.98136247527083,Random
0.85,161.58391564934186,Random
0.9,149.96928100168958,Random
0.95,141.30117270633303,Random
1.0,134.3782523152825,Random
0.05,584518.9431638521,DC
0.1,157909.9016559469,DC
0.15,118871.11912905594,DC
0.2,13144.255750999977,DC
0.25,4411.857135779733,DC
0.3,2815.5169549988277,DC
0.35,1966.2337764461452,DC
0.4,1560.5643661804488,DC
0.45,1300.443096323231,DC
0.5,1123.8626110942143,DC
0.55,787.0239731750016,DC
0.6,628.7917247141363,DC
0.65,537.838858037841,DC
0.7,453.4595744853942,DC
0.75,198.30110868132655,DC
0.8,177.44176862220803,DC
0.85,160.7611781102869,DC
0.9,148.96890811595318,DC
0.95,141.0086281346798,DC
1.0,134.3782523152825,DC
0.05,76791.29358537482,BC
0.1,31878.78107832865,BC
0.15,25085.507654770747,BC
0.2,9537.235348232956,BC
0.25,5239.783468368509,BC
0.3,891.9710594977539,BC
0.35,619.0864362428309,BC
0.4,479.38998684458625,BC
0.45,403.4658758160247,BC
0.5,331.131009373574,BC
0.55,281.16554086657595,BC
0.6,249.27070831113463,BC
0.65,225.47910102568864,BC
0.7,204.78132856959573,BC
0.75,189.42727062743143,BC
0.8,174.25078549690176,BC
0.85,160.05221452956923,BC
0.9,150.25005926081906,BC
0.95,141.5724436002647,BC
1.0,134.3782523152825,BC
0.05,584518.9431638521,EC
0.1,157909.9016559469,EC
0.15,118871.11912905594,EC
0.2,17066.200749969412,EC
0.25,3958.1481094198675,EC
0.3,2502.3493881376553,EC
0.35,1750.2314139853595,EC
0.4,1334.160266697786,EC
0.45,1192.2340465091338,EC
0.5,999.407396103076,EC
0.55,713.6632913560956,EC
0.6,621.914019294044,EC
0.65,517.5506656745287,EC
0.7,435.5398365566159,EC
0.75,205.18922419068872,EC
0.8,180.5735207050286,EC
0.85,160.14317621280338,EC
0.9,148.96688625620908,EC
0.95,140.97471431266035,EC
1.0,134.3782523152825,EC
0.04895104895104895,11244.18403598167,HyperDriver (Full)
0.0979020979020979,3081.9622595778515,HyperDriver (Full)
0.14685314685314685,1507.4921473912818,HyperDriver (Full)
0.20279720279720279,916.2275115599825,HyperDriver (Full)
0.2517482517482518,668.0657120862184,HyperDriver (Full)
0.3006993006993007,527.1945684512107,HyperDriver (Full)
0.34965034965034963,432.0507988215695,HyperDriver (Full)
0.05,145910.75520942715,w/o Greedy
0.1,94850.94688635538,w/o Greedy
0.15,77148.81512121216,w/o Greedy
0.2,19223.903909537337,w/o Greedy
0.25,5466.939251655914,w/o Greedy
0.3,3057.4654553441533,w/o Greedy
0.35,1961.5985167386484,w/o Greedy
0.4,1568.218353341495,w/o Greedy
0.45,1185.7237832934143,w/o Greedy
0.5,993.5087776589155,w/o Greedy
0.55,677.8660413798507,w/o Greedy
0.6,595.7965917277696,w/o Greedy
0.65,500.96000489208126,w/o Greedy
0.7,417.6253085909426,w/o Greedy
0.75,369.0432537948303,w/o Greedy
0.8,345.7440407998366,w/o Greedy
0.85,324.7108376542616,w/o Greedy
0.9,149.12925398406696,w/o Greedy
0.95,141.01610332412386,w/o Greedy
1.0,134.3782523152825,w/o Greedy
0.04895104895104895,36999554096863.86,w/o Hypergraph
0.0979020979020979,12999999207264.094,w/o Hypergraph
0.14685314685314685,2999998414297.4414,w/o Hypergraph
0.20279720279720279,3855.641028349777,w/o Hypergraph
0.2517482517482518,882.7007564320875,w/o Hypergraph
0.3006993006993007,363.50982821113405,w/o Hypergraph
0.34965034965034963,261.97078359820927,w/o Hypergraph
0.04895104895104895,4442229.990034221,w/o Dynamics
0.0979020979020979,252572.2381521207,w/o Dynamics
0.14685314685314685,52371.73100907543,w/o Dynamics
0.20279720279720279,21176.334524266545,w/o Dynamics
0.2517482517482518,10581.30445989848,w/o Dynamics
0.3006993006993007,6160.632925646016,w/o Dynamics
0.34965034965034963,3971.823353117109,w/o Dynamics
