selected_frac,energy,strategy
0.05,23020.596632586738,Random
0.1,5107.048194148699,Random
0.15,3243.6202881559348,Random
0.2,1632.8591909463894,Random
0.25,1298.7858150845614,Random
0.3,1038.484062058379,Random
0.35,863.4051259718304,Random
0.4,709.370525946294,Random
0.45,524.7241862457819,Random
0.5,444.07959457273796,Random
0.55,372.53309213394675,Random
0.6,319.2117947036483,Random
0.65,295.20945309095566,Random
0.7,276.0302844581671,Random
0.75,223.13230403610757,Random
0.8,198.6634413371633,Random
0.85,174.1611089656461,Random
0.9,162.18208860777492,Random
0.95,152.60218646156198,Random
1.0,144.75962893938154,Random
0.05,160474.93703279877,DC
0.1,79184.49613151637,DC
0.15,57090.66937169301,DC
0.2,12422.568031318431,DC
0.25,3103.3265646819955,DC
0.3,2021.7003101931746,DC
0.35,1389.327909233481,DC
0.4,912.0200016255803,DC
0.45,782.9141909199595,DC
0.5,672.8073174164629,DC
0.55,546.4212242300102,DC
0.6,440.4028501618309,DC
0.65,325.44711067269157,DC
0.7,248.89698378757387,DC
0.75,215.84144541715324,DC
0.8,192.17251834648764,DC
0.85,173.28753211412516,DC
0.9,160.930875550747,DC
0.95,151.76380388177188,DC
1.0,144.75962893938154,DC
0.05,45970.733636400706,BC
0.1,11458.171393425931,BC
0.15,9227.42695752035,BC
0.2,3267.062432189533,BC
0.25,1855.8816500195048,BC
0.3,1101.8739871464402,BC
0.35,697.9580179258858,BC
0.4,564.2253980840069,BC
0.45,489.5877843362074,BC
0.5,420.52869475821467,BC
0.55,384.34552144441017,BC
0.6,283.56468956931406,BC
0.65,237.65405201706545,BC
0.7,217.85810715806196,BC
0.75,202.20604066325916,BC
0.8,188.49699035004494,BC
0.85,174.633195298519,BC
0.9,162.96769782313388,BC
0.95,153.55763896459592,BC
1.0,144.7596289393815,BC
0.05,160474.93703279877,EC
0.1,79184.49613151637,EC
0.15,57090.66937169301,EC
0.2,13616.949982438702,EC
0.25,3366.1972384433802,EC
0.3,1573.90437552788,EC
0.35,1190.6974700690353,EC
0.4,832.1228192398394,EC
0.45,647.2922692200648,EC
0.5,549.3277441164499,EC
0.55,455.9089540215853,EC
0.6,407.59857033558467,EC
0.65,313.25688599359614,EC
0.7,247.77218212338727,EC
0.75,214.839142216005,EC
0.8,190.59131484991912,EC
0.85,172.70734822132846,EC
0.9,160.937276833579,EC
0.95,151.6691737234509,EC
1.0,144.75962893938154,EC
0.04895104895104895,11015.782231241104,HyperDriver
0.0979020979020979,2757.6172712760967,HyperDriver
0.14685314685314685,1501.487955552976,HyperDriver
0.20279720279720279,954.8060209376421,HyperDriver
0.2517482517482518,697.0545562507373,HyperDriver
0.3006993006993007,558.7080691250142,HyperDriver
0.34965034965034963,462.68872951641987,HyperDriver
0.05,64697008.46309497,w/o Greedy
0.1,30198497.545041423,w/o Greedy
0.15,899410.3371928276,w/o Greedy
0.2,302761.68282448396,w/o Greedy
0.25,142344.47160488265,w/o Greedy
0.3,79505.57934237132,w/o Greedy
0.35,52678.00380302034,w/o Greedy
0.4,41696.62030379242,w/o Greedy
0.45,34342.13528902262,w/o Greedy
0.5,21931.417909840147,w/o Greedy
0.55,19334.538326340637,w/o Greedy
0.6,15257.957987031663,w/o Greedy
0.65,12342.415582682344,w/o Greedy
0.7,8966.83170386421,w/o Greedy
0.75,6543.263483277476,w/o Greedy
0.8,5409.8106660337735,w/o Greedy
0.85,4078.1558526861813,w/o Greedy
0.9,1106.6625607300543,w/o Greedy
0.95,321.70036609084036,w/o Greedy
1.0,144.7596289393815,w/o Greedy
0.04895104895104895,2610286740033.4165,w/o Hypergraph
0.0979020979020979,498176768650.3136,w/o Hypergraph
0.14685314685314685,43561669640.97482,w/o Hypergraph
0.20279720279720279,3898.0099925911586,w/o Hypergraph
0.2517482517482518,1106.519854377811,w/o Hypergraph
0.3006993006993007,485.6902652934683,w/o Hypergraph
0.34965034965034963,235.11024662442713,w/o Hypergraph
0.04895104895104895,6076856.12673421,w/o Dynamics
0.0979020979020979,185466.46173241612,w/o Dynamics
0.14685314685314685,30857.421861720923,w/o Dynamics
0.20279720279720279,7879.897783902485,w/o Dynamics
0.2517482517482518,4577.4076790963445,w/o Dynamics
0.3006993006993007,3286.919850200804,w/o Dynamics
0.34965034965034963,2528.7177319524085,w/o Dynamics
