selected_frac,energy_cost,strategy
0.05,149365.99721717526,Random
0.1,70294.79064454915,Random
0.15,29934.901080239353,Random
0.2,24054.97225104931,Random
0.25,13519.445492873656,Random
0.3,8815.733662302919,Random
0.35,7508.123606353051,Random
0.4,5840.294932381979,Random
0.45,5015.633803576478,Random
0.5,4316.701650896941,Random
0.55,3711.6992149202206,Random
0.6,3169.750243354596,Random
0.65,2867.6913266617526,Random
0.7,2402.0256707636395,Random
0.75,2004.043488280218,Random
0.8,1840.754454544121,Random
0.85,1722.1192238241824,Random
0.9,1630.4853778593842,Random
0.95,1534.1342856397978,Random
1.0,1452.2918653458905,Random
0.05,202755.2680538728,DC
0.1,39029.85838321896,DC
0.15,20982.29102639102,DC
0.2,13881.99033664423,DC
0.25,9488.695132957127,DC
0.3,7082.529553810171,DC
0.35,5787.309682269864,DC
0.4,4766.461132577537,DC
0.45,4078.5754962964384,DC
0.5,3455.291473116682,DC
0.55,3018.254466268191,DC
0.6,2681.3459617172557,DC
0.65,2389.4474561387715,DC
0.7,2157.1146260327387,DC
0.75,1981.2261010631487,DC
0.8,1829.2771194572283,DC
0.85,1702.937469664742,DC
0.9,1603.558576939561,DC
0.95,1520.0915378766972,DC
1.0,1452.2918653458905,DC
0.05,160061.85390532596,BC
0.1,30940.966990584886,BC
0.15,16830.292856896223,BC
0.2,10626.260700804556,BC
0.25,7567.539740946442,BC
0.3,5973.154871302633,BC
0.35,4936.657202862087,BC
0.4,4164.919393786267,BC
0.45,3539.2555777835923,BC
0.5,3113.189067553235,BC
0.55,2792.459225286738,BC
0.6,2541.9033684406986,BC
0.65,2313.9308688325145,BC
0.7,2119.772804024149,BC
0.75,1943.5131075584939,BC
0.8,1806.7898926167913,BC
0.85,1694.082579130485,BC
0.9,1601.532538445304,BC
0.95,1520.2370789248507,BC
1.0,1452.2918653458908,BC
0.05,180097.06775489292,EC
0.1,44629.03133868218,EC
0.15,21894.103888224286,EC
0.2,13010.438054127259,EC
0.25,9297.039622002312,EC
0.3,7211.742606065099,EC
0.35,5832.107057934463,EC
0.4,4768.627124506866,EC
0.45,3998.667792238568,EC
0.5,3490.2100862982293,EC
0.55,3015.9340983143484,EC
0.6,2651.473078211374,EC
0.65,2366.4695342910563,EC
0.7,2143.4390184768436,EC
0.75,1967.4719376376088,EC
0.8,1822.6481257470218,EC
0.85,1702.2839962141384,EC
0.9,1603.171059981631,EC
0.95,1520.157182464296,EC
1.0,1452.2918653458908,EC
0.04970948999354422,38847.507056447444,HyperDriver (Full)
0.1000645577792124,16804.681798263344,HyperDriver (Full)
0.14977404777275663,10613.770151105917,HyperDriver (Full)
0.2001291155584248,7677.600416796694,HyperDriver (Full)
0.24983860555196902,6020.1964204454525,HyperDriver (Full)
0.3001936733376372,4938.383952336224,HyperDriver (Full)
0.34990316333118143,4194.159542407051,HyperDriver (Full)
0.05,31571899.911762666,w/o Greedy
0.1,5982952.687241965,w/o Greedy
0.15,2025100.146656337,w/o Greedy
0.2,984812.0575919299,w/o Greedy
0.25,605818.513244823,w/o Greedy
0.3,396336.09733585664,w/o Greedy
0.35,273207.746813072,w/o Greedy
0.4,191649.2381637679,w/o Greedy
0.45,152489.5997988605,w/o Greedy
0.5,112004.90073157618,w/o Greedy
0.55,86138.06059922843,w/o Greedy
0.6,72659.17750912395,w/o Greedy
0.65,60718.23156860181,w/o Greedy
0.7,54634.530276480866,w/o Greedy
0.75,49361.91255827812,w/o Greedy
0.8,45887.46694537517,w/o Greedy
0.85,36314.38853228892,w/o Greedy
0.9,21821.965578892417,w/o Greedy
0.95,10954.19700409211,w/o Greedy
1.0,1452.2918653458908,w/o Greedy
0.04970948999354422,71217.92607419053,w/o Hypergraph
0.1000645577792124,11470.407479367617,w/o Hypergraph
0.14977404777275663,4514.273081369353,w/o Hypergraph
0.2001291155584248,2523.1844872094175,w/o Hypergraph
0.24983860555196902,1680.7512437147182,w/o Hypergraph
0.3001936733376372,1231.526504896674,w/o Hypergraph
0.34990316333118143,972.5813222148736,w/o Hypergraph
0.04970948999354422,6184768.099675749,w/o Dynamics
0.1000645577792124,1082403.0509477663,w/o Dynamics
0.14977404777275663,438713.90663328546,w/o Dynamics
0.2001291155584248,232539.66967738167,w/o Dynamics
0.24983860555196902,151875.4194206054,w/o Dynamics
0.3001936733376372,109159.70756691475,w/o Dynamics
0.34990316333118143,85377.29943897246,w/o Dynamics
