selected_frac,energy,strategy
0.05,169413.4415665289,Random
0.1,56924.44995033623,Random
0.15,31879.61598407274,Random
0.2,21065.555238098415,Random
0.25,17824.787366818335,Random
0.3,13196.838793617713,Random
0.35,11154.951359001952,Random
0.4,9859.150165535459,Random
0.45,7193.357235506632,Random
0.5,5041.694774277616,Random
0.55,4225.627740227215,Random
0.6,3464.6550240122283,Random
0.65,3157.2489614446167,Random
0.7,2619.821937364155,Random
0.75,2144.5408562591697,Random
0.8,1996.1363597093675,Random
0.85,1872.1176349680509,Random
0.9,1760.2772492544773,Random
0.95,1633.2895426075754,Random
1.0,1475.5824264834823,Random
0.05,76445.11957296057,DC
0.1,27709.105542754147,DC
0.15,14097.55257676363,DC
0.2,9676.843318235951,DC
0.25,7315.887227693395,DC
0.3,5825.908076706988,DC
0.35,4992.69345969632,DC
0.4,4354.59955433766,DC
0.45,3742.1544878187005,DC
0.5,3265.8877106138716,DC
0.55,2895.289784992414,DC
0.6,2615.04702735607,DC
0.65,2372.943484383054,DC
0.7,2172.4945538993024,DC
0.75,2001.010072776548,DC
0.8,1858.3881680307518,DC
0.85,1734.616703609824,DC
0.9,1633.0232657383244,DC
0.95,1546.4045464386832,DC
1.0,1475.5824264834823,DC
0.05,83098.69824816698,BC
0.1,25658.405020795894,BC
0.15,14065.881060258616,BC
0.2,9381.035112935006,BC
0.25,6978.904622130383,BC
0.3,5600.92062798931,BC
0.35,4647.137150052933,BC
0.4,3951.3381651653135,BC
0.45,3451.7195687505982,BC
0.5,3068.707454212069,BC
0.55,2758.6648988500083,BC
0.6,2526.551658823294,BC
0.65,2311.7046996433273,BC
0.7,2121.140702927515,BC
0.75,1965.5838628354347,BC
0.8,1835.5989074534136,BC
0.85,1723.8970090822713,BC
0.9,1629.3574864210475,BC
0.95,1547.1867074559889,BC
1.0,1475.5824264834823,BC
0.05,91163.83341417748,EC
0.1,24028.17783587025,EC
0.15,14287.456497412104,EC
0.2,9845.446377841805,EC
0.25,7710.865565610468,EC
0.3,6122.20475079286,EC
0.35,5165.605175482456,EC
0.4,4390.959396884608,EC
0.45,3788.00851661302,EC
0.5,3313.293331558727,EC
0.55,2913.5236608132946,EC
0.6,2600.995038602367,EC
0.65,2352.671122098154,EC
0.7,2145.5853126870807,EC
0.75,1982.7291975296898,EC
0.8,1844.9970397227328,EC
0.85,1729.5954130587663,EC
0.9,1630.5221644643623,EC
0.95,1546.2089439110387,EC
1.0,1475.5824264834823,EC
0.04974160206718346,37895.38248875104,HyperDriver
0.10012919896640828,16620.914390423233,HyperDriver
0.14987080103359174,10577.644641472809,HyperDriver
0.20025839793281655,7726.427198433909,HyperDriver
0.25,6101.993972394746,HyperDriver
0.2997416020671835,5028.534636168863,HyperDriver
0.05,36099431.6338138,w/o Greedy
0.1,10584855.954189314,w/o Greedy
0.15,4275327.119640449,w/o Greedy
0.2,2042884.4809435813,w/o Greedy
0.25,1461517.3846306526,w/o Greedy
0.3,1110585.238948279,w/o Greedy
0.35,882978.8975605341,w/o Greedy
0.4,639200.5622768215,w/o Greedy
0.45,472068.66443412885,w/o Greedy
0.5,391725.30126161594,w/o Greedy
0.55,305716.03988428414,w/o Greedy
0.6,223780.47004726127,w/o Greedy
0.65,169791.1190206198,w/o Greedy
0.7,129733.27524606268,w/o Greedy
0.75,95164.83668677525,w/o Greedy
0.8,73577.94509803296,w/o Greedy
0.85,47693.749324883145,w/o Greedy
0.9,26389.248145766865,w/o Greedy
0.95,11156.05392836378,w/o Greedy
1.0,1475.5824264834823,w/o Greedy
0.04974160206718346,103219.46360580795,w/o Hypergraph
0.10012919896640828,10133.932663717358,w/o Hypergraph
0.14987080103359174,3577.2857392236847,w/o Hypergraph
0.20025839793281655,1909.1463992849476,w/o Hypergraph
0.25,1279.1397220607919,w/o Hypergraph
0.2997416020671835,953.8997888200637,w/o Hypergraph
0.04974160206718346,4083295.9918804606,w/o Dynamics
0.10012919896640828,746529.3235101989,w/o Dynamics
0.14987080103359174,319262.5305113194,w/o Dynamics
0.20025839793281655,189884.6219096761,w/o Dynamics
0.25,130867.51635465455,w/o Dynamics
0.2997416020671835,98885.23261602335,w/o Dynamics
