protein,score
YDR342C,0.9976391358698098
YNL208W,0.9591700838364035
YKR046C,0.9383827703368594
YMR226C,0.9014723281787704
YDR388W,0.8707888152457177
YCL030C,0.8660546763364013
YGL026C,0.8655785341113125
YBR126C,0.859876452116611
YBL015W,0.8583558629227104
YMR105C,0.8478544032611005
YGL105W,0.8408981833763212
YGL062W,0.8339537921379434
YHR096C,0.8271297815501403
YFL018C,0.8258573516468631
YNR058W,0.8256017670020955
YLL026W,0.8234594949031131
YEL024W,0.8177859278304729
YBR025C,0.8137108879089734
YOR142W,0.8083456501877
YDR127W,0.8079123428502645
YOR184W,0.8072474849073138
YLL039C,0.8038085773073282
YNL037C,0.8003557450064797
YOR230W,0.7998214334500865
YMR108W,0.7986339962487232
YBR010W,0.7975312705332691
YHR051W,0.7959989522369743
YNL157W,0.7941469499259365
YOR120W,0.7924027407256765
YMR012W,0.7880041692364654
YMR246W,0.7877631338386685
YMR307W,0.7844290301405367
YKL080W,0.7839777560345684
YFR044C,0.7824627977661848
YNL135C,0.7810037171255984
YDL200C,0.7780289702573309
YKL007W,0.7773978390114948
YHR200W,0.7772895363860627
YBL022C,0.7769775411172531
YGR256W,0.7766852686246913
YMR022W,0.7761355584117107
YBL051C,0.7756707976175222
YHR183W,0.7748882312059895
YOL058W,0.7745276765388357
YGR161C,0.7745259359800746
YPL037C,0.7744860560617027
YKL054C,0.7715251870272172
YLL029W,0.7714546972647945
YGR204W,0.7705890886173442
YBL091C,0.7700441110861531
YJL080C,0.7686148277349119
YDR158W,0.7680275656179708
YGR086C,0.767467882106166
YLR152C,0.7673281257160871
YLR216C,0.7672227963707329
YDR225W,0.766601110664633
YMR315W,0.7650881962082237
YBR218C,0.7649443687859102
YFL007W,0.7641509731574776
YIL070C,0.7640563888985645
YER073W,0.7632421746591183
YGL023C,0.7624164185601722
YPL013C,0.7623825222165413
YMR056C,0.7623176630496795
YMR145C,0.760735374926558
YGR250C,0.7606224292429845
YGR209C,0.7605086369153078
YBR249C,0.7601846811806156
YEL037C,0.757901450554513
YGL121C,0.7571242475559901
YKL016C,0.7566500372684861
YGR033C,0.756127389858141
YGR184C,0.7558985803460778
YBR078W,0.7558051227179368
YKL190W,0.7553314888265393
YGR232W,0.7542865365818625
YBR082C,0.7541730283411034
YGL156W,0.7535588367999858
YDL192W,0.7525219005450405
YPL078C,0.7524528907546882
YHR087W,0.7521924439854947
YLR438W,0.7520692753303612
YGR136W,0.7517911533683591
YDL215C,0.7515950078258178
YPR023C,0.7512593249434073
YFL014W,0.7510212844568157
YOL126C,0.7507317516147646
YHR089C,0.7504146593401774
YBR103W,0.7503092188780326
YNR031C,0.7499557264805768
YLR354C,0.7492964946064486
YCL035C,0.7492717602769425
YPL127C,0.749264466394524
YLR231C,0.7481073684949641
YGR135W,0.7480587203791979
YGL117W,0.7477051997378859
YLR174W,0.7474701198449855
YKL157W,0.7474027530568587
YLL027W,0.7471342309026836
YCR077C,0.7466184955007479
YCR053W,0.7466132667575429
YPR069C,0.7465935639161748
YDL052C,0.7465290108762656
YGL020C,0.7462171032110294
YKL204W,0.7460280852967642
YFR001W,0.7460245570458917
YDR343C,0.745967274079267
YDR139C,0.7457956914531321
YGL019W,0.7455338385534369
YLL041C,0.7454624886634689
YHR008C,0.7453802913827984
YIR003W,0.7451208625965253
YOR323C,0.7449799847781112
YEL060C,0.7447997858242104
YOR220W,0.7446521832727919
YFR024C-A,0.7445999048724832
YFR030W,0.7445893140904455
YPR167C,0.7438940266518467
YML022W,0.743876857079102
YER089C,0.7428316659787887
YKR067W,0.7426053583039781
YLR429W,0.7425158817907112
YMR318C,0.7423375145269515
YOR089C,0.7420838038080673
YLR421C,0.7414285687398051
YML074C,0.7412709053504307
YEL051W,0.7411929071917353
YJR105W,0.7409195519940223
YAL017W,0.7408543172614013
YLR113W,0.7405354169280678
YGL205W,0.7404570950829116
YNL160W,0.7400162110638128
YOR317W,0.7398231068414822
YKR018C,0.7397959564621126
YBL047C,0.7393483118137337
YBR276C,0.7392935671808126
YBR083W,0.7392125962514687
YOR043W,0.7385471950263943
YDL124W,0.7385271925870124
YDR155C,0.7384415566674762
YLL040C,0.7382706608189972
YJL042W,0.7380283060861791
YPL262W,0.7379622752851213
YBR130C,0.7379500705698463
YDL086W,0.737716009545275
YBL049W,0.7376057876029904
YOL051W,0.7374622114435722
YJR144W,0.7374314602740639
YKL214C,0.7373713483165163
YNL334C,0.7373520876526073
YLR370C,0.7372341607651828
YML078W,0.7371550388440757
YER030W,0.7371509844143083
YML100W,0.7369682572325411
YBR039W,0.7368380557725913
YKL085W,0.7364539756456716
YLR450W,0.7364309673187058
YGR233C,0.736417162773639
YJL138C,0.7362435477100014
YKL120W,0.7359826768086738
YMR323W,0.7359775899192167
YMR304W,0.7358589653452989
YDL188C,0.7358536154080231
YNL329C,0.7357897296116853
YER178W,0.7356386422970026
YNL169C,0.7352789598462948
YML048W,0.735185196658799
YDR477W,0.7350312131275095
YEL013W,0.735003157537387
YPL129W,0.7345694780006609
YNL016W,0.734383863470437
YFL030W,0.734374155663492
YKL135C,0.734259755807666
YOL044W,0.7339364199047895
YOR145C,0.7337554655494363
YOL012C,0.7337401119696816
YKR096W,0.733588801380261
YMR058W,0.7333073218079891
YCR076C,0.73315801971571
YDR128W,0.7331200999453098
YDR306C,0.7331190903944624
YDL160C,0.7329536233582709
YPR067W,0.7329207591076378
YDL100C,0.7327114440024172
YOL081W,0.7325527896645779
YMR205C,0.7325080874349537
YNL323W,0.732500382273894
YMR109W,0.7323198635122468
YDL204W,0.7322763327029156
YDR071C,0.732113981819091
YJR052W,0.7318773303451366
YLR247C,0.73184812737162
YKL150W,0.7316989669034336
YLR328W,0.7314713131160778
YOR035C,0.7310944367189085
YDR017C,0.7309784308651762
YGR142W,0.7309338916763052
YDL042C,0.7308259657437652
